
[00:00:00.000 --> 00:00:02.000]  各位大家卿卿 平安
[00:00:02.000 --> 00:00:04.000]  今天很開心
[00:00:04.000 --> 00:00:06.000]  放鬆
[00:00:06.000 --> 00:00:08.000]  聚集的時候
[00:00:08.000 --> 00:00:10.000]  第一次見到你們
[00:00:10.000 --> 00:00:12.000]  很開心 盼望神
[00:00:12.000 --> 00:00:14.000]  在當中帶動我們的心
[00:00:14.000 --> 00:00:16.000]  更加活躍
[00:00:16.000 --> 00:00:18.000]  像以前一樣更加愛主
[00:00:18.000 --> 00:00:20.000]  愛神 愛人
[00:00:20.000 --> 00:00:22.000]  我們一起祈禱
[00:00:22.000 --> 00:00:24.000]  主耶穌我們每一生都感謝祢
[00:00:24.000 --> 00:00:26.000]  當我們來到祢殿中的時候
[00:00:26.000 --> 00:00:28.000]  我們心中真的歡喜快樂
[00:00:28.000 --> 00:00:30.000]  願祢真是祢的靈魂與我們同在
[00:00:30.000 --> 00:00:32.000]  也願我們心中有什麼
[00:00:32.000 --> 00:00:34.000]  不滿意的
[00:00:34.000 --> 00:00:36.000]  求祢來開
[00:00:36.000 --> 00:00:38.000]  以致我們能夠專一地
[00:00:38.000 --> 00:00:40.000]  去仰望祢
[00:00:40.000 --> 00:00:42.000]  仰望祢在當中對我們說話
[00:00:42.000 --> 00:00:44.000]  以致我們心裡
[00:00:44.000 --> 00:00:46.000]  能夠有祢給我們的
[00:00:46.000 --> 00:00:48.000]  力量 我們如何去奔跑
[00:00:48.000 --> 00:00:50.000]  前面的路 也願孩子
[00:00:50.000 --> 00:00:52.000]  口中的言語
[00:00:52.000 --> 00:00:54.000]  心中的意念滿意如納
[00:00:54.000 --> 00:00:56.000]  我們這樣祈禱交託
[00:00:56.000 --> 00:00:58.000]  祢所記得名頭 阿們
[00:00:58.000 --> 00:01:00.000]  (回應觀眾)
[00:01:00.000 --> 00:01:02.000]  (回應觀眾)
[00:01:02.000 --> 00:01:04.000]  (回應觀眾)
[00:01:04.000 --> 00:01:06.000]  當我們在疫情之下
