
[00:00:00.000 --> 00:00:02.000]  (字幕提供:陳志全)
[00:00:02.000 --> 00:00:04.000]  (陳志全) 頂智妹很感恩
[00:00:04.000 --> 00:00:08.200]  能夠和大家一齊見面
[00:00:08.200 --> 00:00:15.600]  在疫症讓崇拜進行的時候
[00:00:15.600 --> 00:00:16.800]  我們能夠聚集
[00:00:16.800 --> 00:00:19.200]  亦有頂智妹在網上
[00:00:19.200 --> 00:00:21.400]  一齊和我們在家中敬拜
[00:00:21.400 --> 00:00:25.400]  這個我們相信是一個
[00:00:25.400 --> 00:00:28.000]  今天經常用的字眼叫做新常態
[00:00:28.000 --> 00:00:30.200]  不知道大家有沒有聽過
[00:00:30.400 --> 00:00:33.000]  其實也是一個很講究一種
[00:00:33.000 --> 00:00:36.600]  似乎在一個世紀疫症之後
[00:00:36.600 --> 00:00:41.400]  對於一個不只是教會的崇拜
[00:00:41.400 --> 00:00:44.600]  其實是整個人類的生活
[00:00:44.600 --> 00:00:47.400]  全球的人類生活的一種影響
[00:00:47.400 --> 00:00:51.800]  究竟我們能不能夠在當中去適應呢?
[00:00:51.800 --> 00:00:55.400]  又或者其實我們當要轉變
[00:00:55.400 --> 00:00:57.000]  或者被轉變的時候
[00:00:57.200 --> 00:01:02.400]  其實我們的生命又能夠怎樣在
[00:01:02.400 --> 00:01:07.000]  這種我們不能夠把握
[00:01:07.000 --> 00:01:10.400]  不能夠在用人的力量去控制的
[00:01:10.400 --> 00:01:13.400]  一個大的挑戰之下
[00:01:13.400 --> 00:01:15.400]  我們作為上帝的子民
[00:01:15.400 --> 00:01:17.600]  我們作為上帝呼召的群體
[00:01:17.600 --> 00:01:18.600]  作為教會
[00:01:18.600 --> 00:01:22.400]  我們又能夠怎樣去在信仰當中實踐
[00:01:22.400 --> 00:01:24.200]  又或者是
[00:01:24.200 --> 00:01:27.000]  老傳道邀請我講的一個盼望的主題
[00:01:27.200 --> 00:01:29.000]  就是怎樣能夠持守盼望
[00:01:29.000 --> 00:01:32.000]  繼續向前行呢?
[00:01:32.000 --> 00:01:35.400]  特別是剛才陳傳道跟我們禱告
[00:01:35.400 --> 00:01:37.600]  在香港當中也有很多的挑戰
[00:01:37.600 --> 00:01:40.000]  在政治上有很多的壓力
[00:01:40.000 --> 00:01:42.000]  究竟我們作為教會的群體
[00:01:42.000 --> 00:01:44.200]  怎樣把握我們有的自由
[00:01:44.200 --> 00:01:45.600]  應該有的自由
[00:01:45.600 --> 00:01:46.600]  信仰的自由
[00:01:46.600 --> 00:01:47.400]  宗教的自由
[00:01:47.400 --> 00:01:50.200]  繼續去為主在我們這個社區當中
[00:01:50.200 --> 00:01:52.800]  在我們身處的地方當中作見證呢?
[00:01:52.800 --> 00:01:55.800]  我相信也是我們在一個新常態環境之下
[00:01:55.800 --> 00:01:57.600]  對於我們教會的群體
[00:01:57.600 --> 00:01:58.800]  一個很大的挑戰
[00:01:58.800 --> 00:02:00.200]  求主憐憫幫助
[00:02:00.200 --> 00:02:02.400]  讓我們今天聚集
[00:02:02.400 --> 00:02:06.200]  我們更加用一種珍惜的心懷去面對
[00:02:06.200 --> 00:02:07.600]  也都是更加去
[00:02:07.600 --> 00:02:09.400]  躺開我們的心靈
[00:02:09.400 --> 00:02:11.000]  去問上帝
[00:02:11.000 --> 00:02:13.000]  今天我們要
[00:02:13.000 --> 00:02:15.200]  能夠怎樣為祂作供呢?
[00:02:15.200 --> 00:02:17.400]  在一種今時今日的狀態當中
[00:02:17.400 --> 00:02:19.800]  我們一群人聚集的時候
[00:02:19.800 --> 00:02:22.400]  好像有一種不是必然的感覺
[00:02:22.400 --> 00:02:23.600]  怎樣能夠繼續
[00:02:23.600 --> 00:02:25.000]  祂為主去
[00:02:26.000 --> 00:02:27.200]  實踐祂的使命呢?
[00:02:27.200 --> 00:02:28.600]  去聆聽祂的話
[00:02:28.600 --> 00:02:30.600]  去回應祂的呼召呢?
[00:02:30.600 --> 00:02:32.600]  下幕今天我們藉著
[00:02:32.600 --> 00:02:34.000]  詩篇一百二十六篇
[00:02:34.000 --> 00:02:35.400]  這個詩篇
[00:02:35.400 --> 00:02:37.200]  一首上行之詩
[00:02:37.200 --> 00:02:41.600]  一首都是猶太人他們經歷很大的苦難
[00:02:41.600 --> 00:02:43.000]  經歷很大的創傷
[00:02:43.000 --> 00:02:46.200]  歸回他們的地方的時候唱的詩歌
[00:02:46.200 --> 00:02:48.200]  成為我們一個
[00:02:48.200 --> 00:02:52.600]  屬靈上面的一個提醒
[00:02:52.800 --> 00:02:56.200]  一個能夠給我們一些屬靈上面的資源
[00:02:56.200 --> 00:02:58.200]  去讓我們的生命當中
[00:02:58.200 --> 00:03:01.000]  怎樣去回應他們的主
[00:03:01.000 --> 00:03:04.200]  也認識更深我們的主
[00:03:04.200 --> 00:03:06.400]  是怎樣去保守祂的子民
[00:03:06.400 --> 00:03:07.600]  去向前走下去
[00:03:07.600 --> 00:03:09.200]  我們也一起有個禱告
[00:03:09.200 --> 00:03:12.400]  然後去聆聽今天這首詩篇
[00:03:12.400 --> 00:03:13.400]  上帝的話
[00:03:13.400 --> 00:03:16.000]  天上的多謝祢讓我們今天
[00:03:16.000 --> 00:03:19.200]  我們能夠聚集
[00:03:19.200 --> 00:03:21.400]  也是隔了一段時間
[00:03:21.600 --> 00:03:26.400]  我們又在一個可以放寬的形勢之下
[00:03:26.400 --> 00:03:27.000]  可以聚集
[00:03:27.000 --> 00:03:28.000]  但是我們知道
[00:03:28.000 --> 00:03:30.600]  我們仍然面對很嚴峻的疫症
