
[00:00:00.000 --> 00:00:02.080]  關於過關
[00:00:02.080 --> 00:00:04.440]  過關通常想起兩款
[00:00:04.440 --> 00:00:06.960]  一款就是打遊戲機的過關
[00:00:06.960 --> 00:00:09.360]  另一款就是回鄉症的過關
[00:00:09.360 --> 00:00:11.360]  就是今天說的回鄉症的過關
[00:00:11.360 --> 00:00:14.000]  我想大家如果住洪水橋
[00:00:14.000 --> 00:00:16.640]  大都過關應該都會過吧
[00:00:16.640 --> 00:00:19.120]  應該是深圳灣過吧
[00:00:19.120 --> 00:00:21.200]  我媽媽也是住天水圍的
[00:00:21.200 --> 00:00:23.200]  她也是在深圳灣過去
[00:00:23.200 --> 00:00:28.160]  發覺聖經裡面有沒有一些講過關的經文呢?
[00:00:28.160 --> 00:00:32.640]  發覺原來有一段是說以色列人過關
[00:00:32.640 --> 00:00:36.800]  就是到了一個邊境要過關的經文
[00:00:36.800 --> 00:00:40.160]  和大家一起來看這段經文
[00:00:40.160 --> 00:00:44.240]  剛才主席庫奧德他讀出經文
[00:00:44.240 --> 00:00:49.280]  大家都大概知道整個經文裡面的內容
[00:00:49.280 --> 00:00:51.280]  我們開始說,我們一起祈禱
[00:00:51.280 --> 00:00:54.560]  天父多謝你讓我們今天來敬拜你
[00:00:54.560 --> 00:00:56.080]  我們在崇拜裡面
[00:00:56.080 --> 00:00:58.560]  我們來獻上我們的身心靈
[00:00:58.560 --> 00:01:01.440]  我們願意獻上我們的專注
[00:01:01.440 --> 00:01:02.400]  我們的耳朵
[00:01:02.400 --> 00:01:06.160]  我們來認識、明白你的說話
[00:01:06.160 --> 00:01:08.800]  求主你幫助孩子有清晰的說話
[00:01:08.800 --> 00:01:10.640]  能夠說出你的恩言
[00:01:10.640 --> 00:01:11.600]  奉主命求
[00:01:11.600 --> 00:01:12.720]  阿們
[00:01:12.720 --> 00:01:15.760]  今天的過關經文
[00:01:15.760 --> 00:01:18.960]  是發生在以色列人在抗疫十年裡面
[00:01:18.960 --> 00:01:20.720]  最後一年的時間
[00:01:20.720 --> 00:01:24.400]  大家都知道以色列人出埃及之後
[00:01:24.400 --> 00:01:27.840]  漂流在曠野有四十年那麼久
[00:01:27.840 --> 00:01:32.240]  經文正正是說他們整個曠野漂流四十年裡面
[00:01:32.240 --> 00:01:34.640]  最後一年發生的事情
[00:01:34.640 --> 00:01:36.080]  有幾件事大家要知道
[00:01:36.080 --> 00:01:41.840]  其實這篇經文沒有詳細記載整個四十年的事情
[00:01:41.840 --> 00:01:46.160]  整個摩西五經裡面大概都是記載了頭幾年
[00:01:46.160 --> 00:01:51.040]  開始漂流的那幾年和最後那幾年的事情
[00:01:51.040 --> 00:01:54.560]  中間那三十多年基本上是跳過了
[00:01:54.560 --> 00:01:56.560]  是沒有說過
[00:01:56.560 --> 00:02:00.880]  技術上就是在昭合記的下半部
[00:02:00.880 --> 00:02:05.520]  整個書卷的下半部分都是那個曠野開始的時間
[00:02:05.520 --> 00:02:08.080]  和文素記頭十四章的經文
[00:02:08.080 --> 00:02:10.080]  就是開頭那幾年
[00:02:10.080 --> 00:02:14.080]  去到二十章之後就發覺是在說最後那一兩年的時間
