
[00:00:00.000 --> 00:00:10.000]  大家好,大約半年就有機會來一次紅恩堂跟大家分享神的話語
[00:00:10.000 --> 00:00:15.000]  很高興見到大家,見到很多老朋友
[00:00:15.000 --> 00:00:20.000]  特別今天見到福音樂曲隊獻唱
[00:00:20.000 --> 00:00:30.000]  又見到輝哥和姊妹一起用音樂來敬拜
[00:00:30.000 --> 00:00:34.000]  我知道你們都有師班
[00:00:34.000 --> 00:00:38.000]  其實是三個不同的方向
[00:00:38.000 --> 00:00:42.000]  可以用樂曲,可以用敬拜讚美
[00:00:42.000 --> 00:00:46.000]  又可以用傳統的師班,傳統的師歌來敬拜神
[00:00:46.000 --> 00:00:51.000]  真是很多元,亦看到不同的弟兄姊妹
[00:00:51.000 --> 00:00:58.000]  有不同的恩賜,都可以一起配搭來侍奉
[00:00:58.000 --> 00:01:02.000]  真是叫神的命得成長
[00:01:02.000 --> 00:01:09.000]  今天老牧師叫我和大家分享恩賜
[00:01:09.000 --> 00:01:11.000]  所以我選了這一段經文
[00:01:11.000 --> 00:01:18.000]  來到才發覺原來你們今年的年提是毀身侍奉
[00:01:18.000 --> 00:01:23.000]  大家用大家的恩賜來一起合作侍奉
[00:01:23.000 --> 00:01:27.000]  今日希望和大家分享一個簡單的訊息
[00:01:27.000 --> 00:01:32.000]  希望大家可以聽得入去,亦可以走出來
[00:01:32.000 --> 00:01:33.000]  我們低頭祈禱
[00:01:33.000 --> 00:01:36.000]  天主上求你使用孩子今日的講道
[00:01:36.000 --> 00:01:40.000]  去幫助會中,叫他們有一個能聽的耳朵
[00:01:40.000 --> 00:01:44.000]  有一個能夠把你的話語藏在心中的心
[00:01:44.000 --> 00:01:47.000]  亦有一個明白你的說話的頭腦
[00:01:47.000 --> 00:01:52.000]  更加明白之後,用他們的手和腳走出來
[00:01:52.000 --> 00:01:54.000]  以致你的命可以被高舉
[00:01:54.000 --> 00:01:57.000]  你的教會得以建立
[00:01:57.000 --> 00:02:01.000]  聽我們的祈禱,奉耶穌基督的名求
[00:02:01.000 --> 00:02:06.000]  剛才說過,恩賜其實有很多種
[00:02:06.000 --> 00:02:11.000]  所以很多時候恩賜會帶來教會一個很豐盛
[00:02:11.000 --> 00:02:13.000]  很好的成長
[00:02:13.000 --> 00:02:17.000]  但如果處理得不好,會怎樣?會吵架
[00:02:17.000 --> 00:02:20.000]  所以我們今天看第一個重點
[00:02:20.000 --> 00:02:26.000]  就是會說恩賜的合一根基
[00:02:26.000 --> 00:02:30.000]  經文其實在第七節裏面
[00:02:30.000 --> 00:02:38.000]  說我們各人蒙恩,都是照基督所量給各人的恩賜
[00:02:38.000 --> 00:02:41.000]  所以首先說一點
[00:02:41.000 --> 00:02:43.000]  恩賜是從哪裡來的?
[00:02:43.000 --> 00:02:46.000]  恩賜不是我從小就生出來的
[00:02:46.000 --> 00:02:50.000]  又或者是從不同的地方學回來的
[00:02:50.000 --> 00:02:56.000]  這裡說得很清楚,恩賜的來源是基督
[00:02:56.000 --> 00:03:05.000]  可以看到是一個很合一的根基
[00:03:05.000 --> 00:03:07.000]  因此我們可以看
[00:03:07.000 --> 00:03:09.000]  恩賜的來源是基督
[00:03:09.000 --> 00:03:17.000]  在《耳福所書》第四章第四至第六節裏
[00:03:17.000 --> 00:03:23.000]  告訴我們原來來源是有一個合一的根基
[00:03:23.000 --> 00:03:26.000]  因為第四章第四節裏說
[00:03:26.000 --> 00:03:28.000]  身體只有一個,聖靈只有一個
[00:03:28.000 --> 00:03:31.000]  正如你們蒙召,同有一個指望
[00:03:31.000 --> 00:03:34.000]  一主一信一使一神
[00:03:34.000 --> 00:03:37.000]  就算眾人的父超乎眾人之上
[00:03:37.000 --> 00:03:42.000]  貫乎眾人之中,也住在眾人之內
[00:03:42.000 --> 00:03:47.000]  所以我們可以看到原來恩賜來源是基督的時候
[00:03:47.000 --> 00:03:50.000]  它有七個合一的根基
[00:03:50.000 --> 00:03:55.000]  今天重點不是說這裡,而是簡單地說
[00:03:55.000 --> 00:03:59.000]  身體只有一個,教會是基督奧秘的身體
[00:03:59.000 --> 00:04:04.000]  在《耳福所書》前面第一章已經看到
[00:04:04.000 --> 00:04:07.000]  身體只有一個,但有很多不同的肢體
[00:04:07.000 --> 00:04:10.000]  有眼耳口鼻,手腳等等
[00:04:10.000 --> 00:04:15.000]  肢體雖然多,但卻仍然只有一個身體
[00:04:15.000 --> 00:04:18.000]  身體是不可以分割的
[00:04:18.000 --> 00:04:21.000]  所以這裡告訴你,我們身體只有一個
[00:04:21.000 --> 00:04:24.000]  也告訴我們,聖靈只有一個
[00:04:24.000 --> 00:04:27.000]  因為這是身體的成因和內容
[00:04:27.000 --> 00:04:29.000]  聖靈只有一個位置
[00:04:29.000 --> 00:04:33.000]  所以身體和身體只有一個是不可以分割的
[00:04:33.000 --> 00:04:39.000]  所以其實基督透過聖靈給我們很多不同的東西
[00:04:39.000 --> 00:04:43.000]  同時我們也同有一個指望
[00:04:43.000 --> 00:04:48.000]  在《耳福所書》第一、第二章裡有提及
[00:04:48.000 --> 00:04:50.000]  我們夢照的時候
[00:04:50.000 --> 00:04:54.000]  聖靈告訴我們將來會有基業
[00:04:54.000 --> 00:04:57.000]  我們在神裡面會有得著
[00:04:57.000 --> 00:05:00.000]  直到我們得熟進入榮耀
[00:05:00.000 --> 00:05:02.000]  這是夢照的指望
[00:05:02.000 --> 00:05:06.000]  基於基督奧秘的身體
[00:05:06.000 --> 00:05:11.000]  我們在靈裡面更加明白指望的事
[00:05:11.000 --> 00:05:13.000]  我們知道末後的時候
[00:05:13.000 --> 00:05:16.000]  我們大家都有同一個指望
[00:05:16.000 --> 00:05:20.000]  就是我們知道末後每個人都會有我們的基業
[00:05:20.000 --> 00:05:22.000]  我們還有一主
[00:05:22.000 --> 00:05:25.000]  大家都知道我們只有一位主人
[00:05:25.000 --> 00:05:28.000]  一位救世主和一位生命的主
[00:05:28.000 --> 00:05:31.000]  就是主耶穌基督
[00:05:31.000 --> 00:05:35.000]  所以我們在生活上,在教會的屬靈裡
[00:05:35.000 --> 00:05:37.000]  也只有一位主
[00:05:37.000 --> 00:05:40.000]  我們只有一個信,因為恩信稱義
[00:05:40.000 --> 00:05:42.000]  我們不是相信行為
[00:05:42.000 --> 00:05:43.000]  我們是因為信
[00:05:43.000 --> 00:05:45.000]  我們相信耶穌基督是神的義子
[00:05:45.000 --> 00:05:49.000]  祂為世人的罪被釘死在十字架上
[00:05:49.000 --> 00:05:53.000]  所以我們都是同一信念
[00:05:53.000 --> 00:05:54.000]  還有一洗
[00:05:54.000 --> 00:05:57.000]  雖然不同教會有不同的洗禮方式
[00:05:57.000 --> 00:05:59.000]  有些教會可能是嬰兒洗
[00:05:59.000 --> 00:06:00.000]  有些教會是成人洗
[00:06:00.000 --> 00:06:02.000]  有些教會可能是灑水禮
[00:06:02.000 --> 00:06:04.000]  有些教會是浸禮
[00:06:04.000 --> 00:06:07.000]  但是形式不是最重要
[00:06:07.000 --> 00:06:12.000]  最重要的是祂所表明的實體意義
[00:06:12.000 --> 00:06:13.000]  實質的意義
[00:06:13.000 --> 00:06:16.000]  我們同有一個洗禮
[00:06:16.000 --> 00:06:18.000]  最後第七個根基
[00:06:18.000 --> 00:06:21.000]  我們只有一位神
[00:06:21.000 --> 00:06:22.000]  一位神
[00:06:22.000 --> 00:06:24.000]  就是眾人之父
[00:06:24.000 --> 00:06:25.000]  超乎眾人之上
[00:06:25.000 --> 00:06:27.000]  貫乎眾人之中
[00:06:27.000 --> 00:06:31.000]  也住在眾人之內
[00:06:31.000 --> 00:06:33.000]  所以保羅看來
[00:06:33.000 --> 00:06:35.000]  其實基督徒不能夠合一
[00:06:35.000 --> 00:06:36.000]  是不可以理解的
[00:06:36.000 --> 00:06:38.000]  但是我們稍後會說到
[00:06:38.000 --> 00:06:42.000]  有很多恩賜的時候
[00:06:42.000 --> 00:06:45.000]  我們會發覺不能夠合一的東西
[00:06:45.000 --> 00:06:47.000]  已經存在
[00:06:47.000 --> 00:06:49.000]  我們很多時候都會有困難
[00:06:49.000 --> 00:06:54.000]  但是保羅在這裡說
[00:06:54.000 --> 00:06:58.000]  我們要保守聖靈所賜合而為一的心
[00:06:58.000 --> 00:07:00.000]  是需要保守的
[00:07:00.000 --> 00:07:02.000]  因為這個合一已經賜給我們
[00:07:02.000 --> 00:07:04.000]  是根基
[00:07:04.000 --> 00:07:08.000]  我們接著再去看
[00:07:08.000 --> 00:07:10.000]  剛才那段經文
[00:07:10.000 --> 00:07:12.000]  我們各人蒙恩
[00:07:12.000 --> 00:07:19.000]  都是照基督所量給每一位信徒的恩賜
[00:07:19.000 --> 00:07:21.000]  所以很重要的一點
[00:07:21.000 --> 00:07:27.000]  恩賜是基督量給信徒的
