
[00:00:00.000 --> 00:00:02.000]  各位朋友 各位頂姐妹
[00:00:02.000 --> 00:00:10.000]  剛才大家聽了惠妮姐妹過去的經歷
[00:00:10.000 --> 00:00:13.840]  我相信坐在這裡聽的時候
[00:00:13.840 --> 00:00:17.320]  你很想聽前半部分
[00:00:17.320 --> 00:00:20.080]  20歲不到就找到一桶金
[00:00:20.080 --> 00:00:22.160]  那個時候是一百萬
[00:00:22.160 --> 00:00:23.160]  不是現在
[00:00:23.160 --> 00:00:25.160]  現在一百萬 三十歲
[00:00:25.160 --> 00:00:29.040]  但是後期的你想不想過
[00:00:29.880 --> 00:00:31.880]  又不想過 那就很矛盾
[00:00:31.880 --> 00:00:35.440]  到底想前還是想後
[00:00:35.440 --> 00:00:42.200]  我今天想跟大家透過王孔這兩個字來看你的心態
[00:00:42.200 --> 00:00:44.760]  什麼叫王
[00:00:44.760 --> 00:00:49.280]  經常不上不下
[00:00:49.280 --> 00:00:52.280]  心怯怯
[00:00:52.280 --> 00:00:54.640]  什麼叫安
[00:00:54.640 --> 00:00:56.080]  或者孔
[00:00:56.080 --> 00:00:58.280]  驚 很驚青
[00:00:59.360 --> 00:01:02.480]  無論你現在是什麼處境 什麼環境
[00:01:02.480 --> 00:01:05.200]  你現在坐在這裡聽
[00:01:05.200 --> 00:01:07.680]  都算是很平安的了
[00:01:07.680 --> 00:01:10.280]  當我這幾天看到
[00:01:10.280 --> 00:01:12.960]  電視畫面上我偶爾看一下
[00:01:12.960 --> 00:01:16.400]  那些難民要回家沙地帶的時候
[00:01:16.400 --> 00:01:19.240]  請問你回不回去
[00:01:19.240 --> 00:01:20.800]  我想我都不會回去了
[00:01:20.800 --> 00:01:22.800]  回去不知道怎麼收拾產局
[00:01:22.800 --> 00:01:25.360]  爛了地方
[00:01:26.960 --> 00:01:28.960]  不像實質區那樣的環境
[00:01:28.960 --> 00:01:32.760]  有瓦遮不住頭
[00:01:32.760 --> 00:01:34.960]  恐懼
[00:01:34.960 --> 00:01:37.960]  如果說得貼切一點
[00:01:37.960 --> 00:01:40.400]  各位朋友
[00:01:40.400 --> 00:01:43.120]  其實你現在的人生
[00:01:43.120 --> 00:01:45.120]  是很不放心
[00:01:45.120 --> 00:01:48.600]  什麼叫放心
[00:01:48.600 --> 00:01:50.600]  睡得著就放心
[00:01:50.600 --> 00:01:52.720]  睡不著就不放心
[00:01:52.720 --> 00:01:55.400]  不要說打仗那些
[00:01:55.400 --> 00:01:57.400]  社會環境
[00:01:57.400 --> 00:01:59.400]  留心自己健康都不放心
[00:01:59.400 --> 00:02:01.400]  是不是
[00:02:01.400 --> 00:02:04.400]  那怎麼辦
[00:02:04.400 --> 00:02:06.400]  平安
[00:02:06.400 --> 00:02:08.400]  這兩個字更加矛盾
[00:02:08.400 --> 00:02:10.400]  希不希望和約簽成功
[00:02:10.400 --> 00:02:12.400]  不打仗了
[00:02:12.400 --> 00:02:13.400]  行不行
[00:02:13.400 --> 00:02:15.400]  和約簽了
[00:02:15.400 --> 00:02:17.400]  大家可以
[00:02:17.400 --> 00:02:18.400]  不打仗
[00:02:18.400 --> 00:02:20.400]  你信不信
[00:02:20.400 --> 00:02:22.400]  不信那簽了幹什麼
[00:02:24.400 --> 00:02:26.400]  簽了又不好
[00:02:26.400 --> 00:02:28.400]  簽了又不信
[00:02:28.400 --> 00:02:30.400]  用一個很直率的話
[00:02:30.400 --> 00:02:32.400]  和約就會簽好
