
[00:00:00.000 --> 00:00:02.000]  各位頂智的平安
[00:00:02.000 --> 00:00:04.000]  很久沒見你們了
[00:00:04.000 --> 00:00:07.000]  上一次颱風也來不了
[00:00:07.000 --> 00:00:10.000]  今天很開心見到你們
[00:00:10.000 --> 00:00:12.000]  今天充滿陽光
[00:00:12.000 --> 00:00:15.000]  希望我們的心靈能夠打開開放
[00:00:15.000 --> 00:00:18.000]  願意神在當中保守我們
[00:00:18.000 --> 00:00:21.000]  讓我們在神的懷疑之前一起祈禱
[00:00:21.000 --> 00:00:24.000]  因主的本身感謝你
[00:00:24.000 --> 00:00:26.000]  讓我們在這麼好的環境裡
[00:00:26.000 --> 00:00:28.000]  我們敬拜你
[00:00:28.000 --> 00:00:30.000]  給我們恩典
[00:00:30.000 --> 00:00:32.000]  求你的話語進入我們的心
[00:00:32.000 --> 00:00:35.000]  讓我們願意聽你的旨意
[00:00:35.000 --> 00:00:37.000]  以致我們所行的
[00:00:37.000 --> 00:00:39.000]  是行在你的心意當中
[00:00:39.000 --> 00:00:40.000]  求你保守
[00:00:40.000 --> 00:00:42.000]  求你帶領某樣孩子
[00:00:42.000 --> 00:00:43.000]  在當中所說的
[00:00:43.000 --> 00:00:45.000]  能夠蒙你月立
[00:00:45.000 --> 00:00:47.000]  願你讓我們眾人
[00:00:47.000 --> 00:00:48.000]  我們聽到的時候
[00:00:48.000 --> 00:00:50.000]  若然有不合理心意的
[00:00:50.000 --> 00:00:52.000]  求你剔除
[00:00:52.000 --> 00:00:54.000]  以致我們能夠尊心一意的
[00:00:54.000 --> 00:00:55.000]  只見耶穌
[00:00:55.000 --> 00:00:57.000]  奉主耶穌基督的名求
[00:00:57.000 --> 00:01:06.000]  我們看《主經文》的時候
[00:01:06.000 --> 00:01:07.000]  好像很簡單
[00:01:07.000 --> 00:01:09.000]  其他人都是求自己的事
[00:01:09.000 --> 00:01:11.000]  並不求耶穌基督的事
[00:01:11.000 --> 00:01:14.000]  我們今天就去看看
[00:01:14.000 --> 00:01:16.000]  如何求耶穌基督的事
[00:01:16.000 --> 00:01:19.000]  其實很簡單
[00:01:19.000 --> 00:01:21.000]  大家都在做的
[00:01:21.000 --> 00:01:22.000]  就是服侍主
[00:01:22.000 --> 00:01:25.000]  服侍主必須承受主的託付
[00:01:25.000 --> 00:01:28.000]  然後就會跟從主的腳踪
[00:01:28.000 --> 00:01:30.000]  最後就發現
[00:01:30.000 --> 00:01:34.000]  你真正在做耶穌基督的事
[00:01:34.000 --> 00:01:36.000]  我們想起耶穌基督
[00:01:36.000 --> 00:01:37.000]  祂有三年半的時間
[00:01:37.000 --> 00:01:39.000]  跟門徒一起
[00:01:39.000 --> 00:01:41.000]  第一年祂可能教他
[00:01:41.000 --> 00:01:43.000]  如何做得人如膚
