
[00:00:00.000 --> 00:00:08.800]  (自動翻譯)
[00:00:08.800 --> 00:00:10.000]  各位姐妹平安
[00:00:10.000 --> 00:00:11.000]  平安
[00:00:11.000 --> 00:00:16.000]  我們都知道人都是有限制的
[00:00:16.000 --> 00:00:19.000]  好像我們身體的感官系統一樣
[00:00:19.000 --> 00:00:23.000]  限制了我們接觸另一個領域和空間
[00:00:23.000 --> 00:00:27.000]  我們的眼睛沒有鷹看得那麼遠
[00:00:27.000 --> 00:00:29.000]  也不像蒼蠅一樣
[00:00:29.000 --> 00:00:32.000]  可以有360度的視野
[00:00:32.000 --> 00:00:36.000]  我們的耳朵沒有狗一樣靈敏
[00:00:36.000 --> 00:00:41.000]  它們的聽力可以聽到超音波的聲音
[00:00:41.000 --> 00:00:45.000]  甚至狗的嗅覺都比人優勝
[00:00:45.000 --> 00:00:48.000]  起碼我們聞不到毒品
[00:00:48.000 --> 00:00:51.000]  我們的腦也沒有導航系統
[00:00:51.000 --> 00:00:53.000]  不像是後鳥一樣
[00:00:53.000 --> 00:00:59.000]  它們可以跨越大西洋、太平洋、印度洋
[00:00:59.000 --> 00:01:01.000]  而不會迷路
[00:01:01.000 --> 00:01:06.000]  而蝙蝠更加可以用超音波回聲定位的訊號
[00:01:06.000 --> 00:01:11.000]  去尋找食物、探測距離、確定目標
[00:01:11.000 --> 00:01:15.000]  上述生物所擁有的能力
[00:01:15.000 --> 00:01:18.000]  都是人所沒有的
[00:01:18.000 --> 00:01:26.000]  當我們人類只能夠接觸到長、闊、高的三維世界的時候
[00:01:26.000 --> 00:01:32.000]  它們只能夠領受從這個有限的空間所發出來的訊息
[00:01:32.000 --> 00:01:38.000]  它們不能夠感受到更加遠、更加高、更加深的世界
[00:01:38.000 --> 00:01:40.000]  我們所見到的
[00:01:40.000 --> 00:01:44.000]  就只是一個有限度的距離
[00:01:44.000 --> 00:01:49.000]  究竟人類能不能夠超越這些限制呢?
[00:01:49.000 --> 00:01:53.000]  人類的腦袋比較奇妙
[00:01:53.000 --> 00:01:55.000]  它發明了很多東西
[00:01:55.000 --> 00:01:58.000]  科技上不斷有新的發明
[00:01:58.000 --> 00:02:02.000]  以不同的機器、晶片、電腦
[00:02:02.000 --> 00:02:06.000]  去彌補了我們一些的不足和限制
[00:02:06.000 --> 00:02:08.000]  不過沒有一樣的發明
[00:02:08.000 --> 00:02:13.000]  能夠讓我們可以探索到生命的價值
[00:02:13.000 --> 00:02:16.000]  我們為甚麼要生?
[00:02:16.000 --> 00:02:18.000]  我們為何而活呢?
[00:02:18.000 --> 00:02:20.000]  我們將要何處呢?
[00:02:20.000 --> 00:02:24.000]  至今都沒有任何一種科技
[00:02:24.000 --> 00:02:27.000]  可以提供答案給我們
[00:02:27.000 --> 00:02:30.000]  人類仍然都要為這些生命的問題
[00:02:30.000 --> 00:02:33.000]  去尋找答案
[00:02:33.000 --> 00:02:36.000]  或者尋找生命的途徑
[00:02:36.000 --> 00:02:40.000]  並不能夠用我們有限的感官去尋找
[00:02:40.000 --> 00:02:43.000]  而是需要戴上一副屬靈的眼鏡
[00:02:43.000 --> 00:02:46.000]  才能夠超越我們的限制
[00:02:46.000 --> 00:02:49.000]  今天我想透過《約翰福音》第九章
[00:02:49.000 --> 00:02:51.000]  一個核子的故事
[00:02:51.000 --> 00:02:54.000]  去探索一個生命的故事
[00:02:54.000 --> 00:02:57.000]  我們以祈禱開始今天的講道
[00:02:57.000 --> 00:03:00.000]  親主我們感謝祢
[00:03:00.000 --> 00:03:03.000]  我們人類雖然有很多的限制
[00:03:03.000 --> 00:03:06.000]  但祢沒有限制我們渴求祢的心
[00:03:06.000 --> 00:03:11.000]  祢也沒有限制我們用心靈去感受和敬拜祢
[00:03:11.000 --> 00:03:16.000]  祢更加沒有限制我們一生去跟從祢
[00:03:16.000 --> 00:03:19.000]  因此求主祢開開我們的眼睛
[00:03:19.000 --> 00:03:22.000]  讓我們能夠看得見祢的榮耀
[00:03:22.000 --> 00:03:24.000]  看得見祢的美善
[00:03:24.000 --> 00:03:28.000]  看得見祢是怎樣去愛我們
[00:03:28.000 --> 00:03:30.000]  我們獻上感恩祈禱
[00:03:30.000 --> 00:03:32.000]  奉靠主耶穌基督得勝明智祈求
[00:03:32.000 --> 00:03:33.000]  阿們
[00:03:35.000 --> 00:03:37.000]  《約翰福音》的作者
[00:03:37.000 --> 00:03:40.000]  用了整整一章
[00:03:40.000 --> 00:03:42.000]  四十一節的經文
[00:03:42.000 --> 00:03:45.000]  去講述這個核子被醫治的故事
[00:03:45.000 --> 00:03:48.000]  這個神跡的醫治故事
[00:03:48.000 --> 00:03:51.000]  是要讓人知道耶穌的身份、能力
[00:03:51.000 --> 00:03:54.000]  以及生命成長的過程
