
[00:00:00.000 --> 00:00:01.480]  各位訂閱姊妹,平安
[00:00:01.480 --> 00:00:07.100]  不知道大家有沒有試過幫助別人
[00:00:07.100 --> 00:00:09.140]  我猜應該有吧
[00:00:09.140 --> 00:00:12.060]  但你有沒有試過在你
[00:00:12.060 --> 00:00:15.040]  正在經歷很艱難的時侯
[00:00:15.040 --> 00:00:19.580]  你仍然有心力去關心或幫助別人
[00:00:19.580 --> 00:00:22.740]  又或者相反,你知道有人正在
[00:00:22.740 --> 00:00:24.620]  經歷很艱難的時侯
[00:00:24.620 --> 00:00:28.320]  但他仍然會過來關心你或問你的需要
[00:00:28.320 --> 00:00:29.820]  不知道大家有沒有試過
[00:00:30.120 --> 00:00:33.660]  今天和大家分享的訊息
[00:00:33.660 --> 00:00:38.140]  這段經文是講向有需要者施恩有關
[00:00:38.140 --> 00:00:40.500]  開始之前,我們有個祈禱
[00:00:40.500 --> 00:00:45.680]  親愛的天父,我們真的感謝你
[00:00:45.680 --> 00:00:48.480]  因為你賜下你的話語
[00:00:48.480 --> 00:00:51.900]  讓我們真的能夠知道
[00:00:51.900 --> 00:00:55.500]  我們在地上如何去做
[00:00:55.500 --> 00:00:58.160]  才能得蒙你的喜悅
[00:00:58.680 --> 00:01:02.420]  主啊,可能我們在生活裏面
[00:01:02.420 --> 00:01:04.060]  都有很多不同的困難
[00:01:04.060 --> 00:01:05.700]  或者有很多的不足
[00:01:05.700 --> 00:01:09.540]  求你幫助我們,讓我們
[00:01:09.540 --> 00:01:11.340]  藉著你的話語
[00:01:11.340 --> 00:01:12.840]  我們能夠
[00:01:12.840 --> 00:01:15.860]  可以被你更新
[00:01:15.860 --> 00:01:18.740]  主啊,求你的聖靈幫助我們
[00:01:18.740 --> 00:01:21.620]  讓我們有一個柔軟的心
[00:01:21.620 --> 00:01:24.420]  去接受你話語的提醒
[00:01:24.420 --> 00:01:26.240]  吩咐和激勵
[00:01:26.240 --> 00:01:29.220]  我們這樣祈禱,奉主耶穌基德聖名,致祈求
[00:01:29.220 --> 00:01:30.220]  阿門
[00:01:30.220 --> 00:01:34.320]  今天和大家分享一個熟悉的故事
[00:01:34.320 --> 00:01:36.280]  就是《魯德記》
[00:01:36.280 --> 00:01:41.660]  《魯德記》背景是一個很混亂的時代
[00:01:41.660 --> 00:01:44.340]  當時正值饑荒
[00:01:44.340 --> 00:01:49.280]  正值饑荒
[00:01:49.280 --> 00:01:52.660]  有一個主人翁叫做伊麗米勒
[00:01:52.980 --> 00:01:56.280]  她是一個猶太人
[00:01:56.280 --> 00:02:02.460]  因為饑荒,她就帶了她的妻子蘭娥米
[00:02:02.460 --> 00:02:06.720]  和她的兩個兒子離開了伯利恆
[00:02:06.720 --> 00:02:07.980]  去了摩亞
[00:02:07.980 --> 00:02:10.880]  今天想和大家分享一下
[00:02:10.880 --> 00:02:12.920]  這個故事的開頭
[00:02:12.920 --> 00:02:15.420]  其實引申了我們這個故事
[00:02:15.420 --> 00:02:18.600]  繼續會有五個人物或者五組人物
[00:02:18.600 --> 00:02:21.260]  在裏面經歷著神的恩典
[00:02:21.260 --> 00:02:23.920]  又會向有需要的人施恩
[00:02:23.920 --> 00:02:27.560]  讓我們一起聽下去
