
[00:00:00.000 --> 00:00:04.820]  感謝天父上帝讓我們可以回到祂的家裡
[00:00:04.820 --> 00:00:07.440]  去敬拜祂 親近祂
[00:00:07.440 --> 00:00:10.080]  我們開始的時候再有一個禱告
[00:00:10.080 --> 00:00:15.920]  天父我們來到祢的面前
[00:00:15.920 --> 00:00:21.280]  知道祢深深的認識我們每一個
[00:00:21.280 --> 00:00:23.240]  在這一刻
[00:00:23.240 --> 00:00:26.640]  我們在祢的面前無所遁形
[00:00:27.480 --> 00:00:29.960]  裡面的好與不好
[00:00:29.960 --> 00:00:34.320]  都顯露在祢的眼中
[00:00:34.320 --> 00:00:39.240]  天父我求祢再一次赦免
[00:00:39.240 --> 00:00:43.760]  我們裡面一切得罪祢 得罪人的地方
[00:00:43.760 --> 00:00:47.560]  很願意耶穌基督以祢的補血
[00:00:47.560 --> 00:00:49.960]  潔淨 遮蓋我們
[00:00:49.960 --> 00:00:54.360]  免得這些罪惡攔阻我們到祢的面前
[00:00:55.240 --> 00:00:58.760]  又願意聖靈在我們眾人心裡面去工作
[00:00:58.760 --> 00:01:02.240]  讓我們今天有一個很開放的心靈
[00:01:02.240 --> 00:01:04.760]  聽上帝祢的聲音
[00:01:04.760 --> 00:01:08.360]  我們就去切切地回應祢
[00:01:08.360 --> 00:01:10.120]  求祢賜福
[00:01:10.120 --> 00:01:13.720]  奉耶穌基督的名字祈禱
[00:01:13.720 --> 00:01:15.080]  阿們
[00:01:15.080 --> 00:01:21.920]  這段時間我在喪禮當中很多體會
[00:01:22.760 --> 00:01:26.040]  其中一個喪禮是我們教會籌備的
[00:01:26.040 --> 00:01:27.040]  已經完成了
[00:01:27.040 --> 00:01:30.480]  我看到在座的一些弟兄姊妹
[00:01:30.480 --> 00:01:32.360]  在過去一段時間都和我一起
[00:01:32.360 --> 00:01:34.160]  去籌備一個喪禮
[00:01:34.160 --> 00:01:37.080]  是天婆婆的安息禮拜
[00:01:37.080 --> 00:01:38.360]  沒有多久之前
[00:01:38.360 --> 00:01:43.240]  在當中我看到上帝透過弟兄姊妹
[00:01:43.240 --> 00:01:47.520]  將愛傾倒在家人的心裡面
[00:01:47.520 --> 00:01:51.160]  在那一天分別有三個不同的群體
[00:01:51.560 --> 00:01:54.000]  在安息禮拜裡面獻屍
[00:01:54.000 --> 00:01:56.920]  過程中很大轉外
[00:01:56.920 --> 00:02:02.080]  感恩那一天有人幫我們做一些協調的工作
[00:02:02.080 --> 00:02:06.680]  所以幾個師班坐的位置剛剛好
[00:02:06.680 --> 00:02:09.640]  是更加方便獻屍的服侍
[00:02:09.640 --> 00:02:12.400]  而那一天除了獻屍
[00:02:12.400 --> 00:02:15.800]  還有主禮、祈禱、讀經、講道
[00:02:15.800 --> 00:02:18.480]  還有之前預備程序表
[00:02:18.480 --> 00:02:21.280]  還有陪伴喪家的弟兄姊妹
[00:02:21.760 --> 00:02:25.480]  很多人一起都有美好的配搭
[00:02:25.480 --> 00:02:28.920]  大家一起努力將喪禮搞好
[00:02:28.920 --> 00:02:32.000]  這一個就是神的家
[00:02:32.000 --> 00:02:34.000]  是神的家
[00:02:34.000 --> 00:02:37.280]  我心裡面覺得是很感動、很溫暖
[00:02:37.280 --> 00:02:41.920]  另一個喪禮是我爸爸的喪禮在籌備當中
[00:02:41.920 --> 00:02:45.360]  雖然我來到洪恩家不到一年
[00:02:45.360 --> 00:02:47.840]  但是弟兄姊妹很關心我
[00:02:47.840 --> 00:02:50.680]  給我很多慰問和關懷
[00:02:51.280 --> 00:02:54.440]  有些人很專心在背後為我禱告
[00:02:54.440 --> 00:02:58.520]  有些人要在我爸爸的安息禮拜裡幫忙
[00:02:58.520 --> 00:03:03.960]  在這裡我很感受到眾弟兄姊妹對我的那份愛
[00:03:03.960 --> 00:03:07.000]  更加是上帝的愛
[00:03:07.000 --> 00:03:09.080]  是很滿滿的愛
[00:03:09.080 --> 00:03:11.760]  在這裡衷心地多謝大家
[00:03:11.760 --> 00:03:14.480]  也多謝我是天上的父神
[00:03:14.480 --> 00:03:18.840]  祂讓我們可以在神的家裡生活
[00:03:19.680 --> 00:03:22.640]  在神的家裡生活很開心
[00:03:22.640 --> 00:03:26.280]  神的家就是基督的身體
[00:03:26.280 --> 00:03:29.480]  是非常寶貴和榮耀的
[00:03:29.480 --> 00:03:34.600]  上帝希望我們怎樣去對待基督的身體呢?
[00:03:34.600 --> 00:03:38.320]  這正是今天我很想和大家分享的
[00:03:38.320 --> 00:03:42.120]  第一件事很明顯的
[00:03:42.120 --> 00:03:49.360]  就是神很希望我們同心合意地建立基督的身體
[00:03:50.320 --> 00:03:54.600]  是同心合意地建立基督的身體
[00:03:54.600 --> 00:03:56.840]  在這裡聖經說道
[00:03:56.840 --> 00:03:59.080]  上帝首先把五類人
[00:03:59.080 --> 00:04:03.360]  是和上帝的說話有相關恩賜的人
[00:04:03.360 --> 00:04:04.840]  賜給了教會
[00:04:04.840 --> 00:04:09.720]  他們分別是使徒、先知、傳福音的牧者和教師
[00:04:09.720 --> 00:04:13.880]  使徒很快地說是有廣義和合義之分的
[00:04:13.880 --> 00:04:18.240]  廣義是說受到教會委派的代表
[00:04:18.560 --> 00:04:22.120]  例如聖經裡有些人物是提多、以巴忽提
[00:04:22.120 --> 00:04:25.640]  我記得我在這裡說過以巴忽提這個人物
[00:04:25.640 --> 00:04:28.440]  又或者是一些巡迴的宣教士
[00:04:28.440 --> 00:04:32.920]  而合義的意思就是夢神呼召和委任
[00:04:32.920 --> 00:04:36.520]  對於基督的復活作見證和傳福音的
[00:04:36.520 --> 00:04:39.920]  包括了十二使徒和保羅等人
