
[00:00:00.000 --> 00:00:05.000]  「弟兄姊妹平安」
[00:00:05.000 --> 00:00:09.520]  在踏入2022年農曆新年第一個月裏
[00:00:09.520 --> 00:00:12.420]  在這裏祝賀基督教宣導會
[00:00:12.420 --> 00:00:14.020]  紅恩堂的弟兄姊妹
[00:00:14.020 --> 00:00:17.920]  新年蒙福 主恩更多
[00:00:17.920 --> 00:00:23.020]  我去看了一個四格的花生漫畫
[00:00:23.020 --> 00:00:25.920]  主角伴茶李在新年的時候
[00:00:25.920 --> 00:00:27.120]  他見到Lucy
[00:00:27.120 --> 00:00:30.920]  他說 Lucy 祝你新年快樂
[00:00:30.920 --> 00:00:32.720]  很自然的
[00:00:32.720 --> 00:00:38.920]  誰知Lucy並沒有同樣地回祝他新年快樂
[00:00:38.920 --> 00:00:40.420]  她反而問他
[00:00:40.420 --> 00:00:43.920]  喂 你說了就是了嗎
[00:00:43.920 --> 00:00:46.720]  然後他說 是不是你說了新年快樂
[00:00:46.720 --> 00:00:50.920]  就叫我在新的一年裏面真的快樂
[00:00:50.920 --> 00:00:59.720]  是不是你單單說了事情就成了
[00:00:59.720 --> 00:01:02.220]  這是不是一個保證
[00:01:02.220 --> 00:01:04.720]  是不是 是不是 是不是
[00:01:04.720 --> 00:01:06.720]  伴茶李沒有辦法
[00:01:06.720 --> 00:01:07.720]  只可以用一句
[00:01:07.720 --> 00:01:11.220]  哦 我的天來回應
[00:01:11.220 --> 00:01:14.720]  當我剛才祝賀大家新年蒙福的時候
[00:01:14.720 --> 00:01:20.220]  大家未必一定會和Lucy有同樣的反應
[00:01:20.220 --> 00:01:24.020]  不過不知道大家心裏所想到的有福
[00:01:24.020 --> 00:01:27.020]  是甚麼意思呢
[00:01:27.020 --> 00:01:32.020]  我最近在網上看到這幅圖畫
[00:01:32.020 --> 00:01:34.020]  是百感交集的
[00:01:34.020 --> 00:01:39.520]  香港的老弱竟然要這樣日以繼夜的
[00:01:39.520 --> 00:01:43.520]  在醫院門外等候入醫院
[00:01:43.520 --> 00:01:45.520]  新年快樂的願望對他來說
[00:01:45.520 --> 00:01:49.520]  可能是願望能夠好像過去一樣
[00:01:49.520 --> 00:01:53.020]  想入院就入院
[00:01:53.020 --> 00:01:56.020]  又或者上個星期
[00:01:56.020 --> 00:02:00.520]  在網上看到這幅圖是一位姐妹的女兒
[00:02:00.520 --> 00:02:04.020]  她要趕在2月10日之前
[00:02:04.020 --> 00:02:07.520]  去理髮師處理她的頭髮
