
[00:00:00.000 --> 00:00:02.000]  姐妹主女便平安
[00:00:02.000 --> 00:00:04.000]  父親節快樂
[00:00:04.000 --> 00:00:06.000]  相信在街上
[00:00:06.000 --> 00:00:08.000]  大家今天不會收到花的
[00:00:08.000 --> 00:00:10.000]  父親
[00:00:10.000 --> 00:00:12.000]  香港人也不會這麼浪漫
[00:00:12.000 --> 00:00:14.000]  很感恩
[00:00:14.000 --> 00:00:16.000]  我們今天特別安排小師班
[00:00:16.000 --> 00:00:18.000]  也是第三周
[00:00:18.000 --> 00:00:20.000]  福曲的獻唱
[00:00:20.000 --> 00:00:22.000]  所以是一個雙重的
[00:00:22.000 --> 00:00:24.000]  敬拜和享受
[00:00:24.000 --> 00:00:26.000]  我們父親節特別感受到
[00:00:26.000 --> 00:00:28.000]  這份窩心
[00:00:28.000 --> 00:00:30.000]  這首歌的內容
[00:00:30.000 --> 00:00:32.000]  小朋友可能會唱
[00:00:32.000 --> 00:00:34.000]  但未必深究內容
[00:00:34.000 --> 00:00:36.000]  內心的含義
[00:00:36.000 --> 00:00:38.000]  對父母的
[00:00:38.000 --> 00:00:40.000]  奎勞,他們一生的擺上
[00:00:40.000 --> 00:00:42.000]  相信父親節
[00:00:42.000 --> 00:00:44.000]  父親未必想要
[00:00:44.000 --> 00:00:46.000]  有美味的食物
[00:00:46.000 --> 00:00:48.000]  有固然好
[00:00:48.000 --> 00:00:50.000]  今晚有沒有一些的筵席
[00:00:50.000 --> 00:00:52.000]  是你已經預備好的
[00:00:52.000 --> 00:00:54.000]  你的子女為你預備好的
[00:00:54.000 --> 00:00:56.000]  相信父親
[00:00:56.000 --> 00:00:58.000]  人生裏
[00:00:58.000 --> 00:01:00.000]  應該更深感受到
[00:01:00.000 --> 00:01:02.000]  在我們的生命裏
[00:01:02.000 --> 00:01:04.000]  我們的成長
[00:01:04.000 --> 00:01:06.000]  我們對下一代的了解
[00:01:06.000 --> 00:01:08.000]  關注
[00:01:08.000 --> 00:01:10.000]  使他們能夠
[00:01:10.000 --> 00:01:12.000]  可以在成長的過程
[00:01:12.000 --> 00:01:14.000]  越來越看懂
[00:01:14.000 --> 00:01:16.000]  人生
[00:01:16.000 --> 00:01:18.000]  相信如果一個父親能夠去到
