
[00:00:00.000 --> 00:00:08.000]  各位紅人家的弟兄姊妹平安
[00:00:08.000 --> 00:00:12.000]  今次來講到特別有親切感
[00:00:12.000 --> 00:00:16.000]  因為之前帶完紅人家的弟兄姊妹一起去澳門
[00:00:16.000 --> 00:00:19.000]  所以來到個個都有點熟悉
[00:00:19.000 --> 00:00:21.000]  那些笑容特別不同
[00:00:21.000 --> 00:00:26.000]  因為我們經歷過那天在澳門周圍走
[00:00:26.000 --> 00:00:28.000]  身水身汗
[00:00:28.000 --> 00:00:30.000]  又很開心
[00:00:30.000 --> 00:00:33.000]  有些很甜美的時光
[00:00:33.000 --> 00:00:35.000]  小朋友又可以去玩的時光
[00:00:35.000 --> 00:00:37.000]  一起歡聚
[00:00:37.000 --> 00:00:41.000]  又可以認識澳門的文化和處境
[00:00:41.000 --> 00:00:43.000]  都是很感恩的
[00:00:43.000 --> 00:00:49.000]  今天特別選了這段希伯來書的經文
[00:00:49.000 --> 00:00:54.000]  想跟大家一起去領受上帝的話語
[00:00:54.000 --> 00:00:58.000]  這段經文對我來說是很深刻的
[00:00:58.000 --> 00:01:01.000]  特別是在我們信主
[00:01:01.000 --> 00:01:03.000]  我自己的經歷就是
[00:01:03.000 --> 00:01:09.000]  信主的頭五至十年都是不簡單
[00:01:09.000 --> 00:01:10.000]  不簡單是什麼呢?
[00:01:10.000 --> 00:01:14.000]  因為我是來自一個破碎的家庭
[00:01:14.000 --> 00:01:18.000]  所以發覺原來信主之後
[00:01:18.000 --> 00:01:22.000]  五至十年家裡不一定馬上有改變
[00:01:22.000 --> 00:01:27.000]  所以自己要靠著神的話語
[00:01:27.000 --> 00:01:30.000]  怎樣在家裡做好見證
[00:01:30.000 --> 00:01:34.000]  然後帶動家人去信主
[00:01:34.000 --> 00:01:37.000]  所以會有些很埋身肉搏的
[00:01:37.000 --> 00:01:39.000]  我們說的屬靈的爭戰
[00:01:39.000 --> 00:01:44.000]  或者自己要對付自己生命上很多的缺陷
[00:01:44.000 --> 00:01:46.000]  一些的留習
[00:01:46.000 --> 00:01:49.000]  我拿開這個讓我看不到這邊
[00:01:49.000 --> 00:01:53.000]  因為我高度有限制
[00:01:53.000 --> 00:02:00.000]  說一點自己的背景
[00:02:00.000 --> 00:02:08.000]  因為爸爸以前很喜歡去澳門賭錢
[00:02:08.000 --> 00:02:11.000]  所以就搞到傾家蕩產
[00:02:11.000 --> 00:02:13.000]  妻離子散
[00:02:13.000 --> 00:02:16.000]  在家裡的成長是怎樣的呢?
[00:02:16.000 --> 00:02:18.000]  就是沒有一口好吃
[00:02:18.000 --> 00:02:21.000]  因為原來他是夜班的
[00:02:21.000 --> 00:02:25.000]  所以我放學回家的時候
[00:02:25.000 --> 00:02:28.000]  就是他呼呼大睡的時間
[00:02:28.000 --> 00:02:33.000]  我肚子餓就不敢叫他起床
[00:02:33.000 --> 00:02:37.000]  因為有一次經歷就是我叫他起床
[00:02:37.000 --> 00:02:40.000]  想給我飯吃的時候
[00:02:40.000 --> 00:02:42.000]  他叫都不醒
[00:02:42.000 --> 00:02:46.000]  但當我嘗試打電話給我外婆
[00:02:46.000 --> 00:02:47.000]  說我很肚餓的時候
[00:02:47.000 --> 00:02:50.000]  我爸爸突然就醒過來了
[00:02:50.000 --> 00:02:55.000]  但就拿著一支雞毛掃
[00:02:55.000 --> 00:02:57.000]  那是怎樣呢?
[00:02:57.000 --> 00:03:01.000]  我以後肚子餓就不敢再出聲
[00:03:01.000 --> 00:03:06.000]  說我暴躁
[00:03:06.000 --> 00:03:10.000]  破壞了他在外婆心目中的形象
[00:03:10.000 --> 00:03:13.000]  所以為什麼生得這麼小呢?
[00:03:13.000 --> 00:03:15.000]  是有原因的
[00:03:15.000 --> 00:03:17.000]  快慾不良
[00:03:17.000 --> 00:03:19.000]  人們就很羨慕我
