
[00:00:00.000 --> 00:00:07.000]  請教授和學生們進行聖祭禮儀
[00:00:08.000 --> 00:00:10.000]  我們可以敬拜天父
[00:00:10.000 --> 00:00:12.000]  感不感恩?
[00:00:12.000 --> 00:00:13.000]  感恩
[00:00:13.000 --> 00:00:16.000]  雖然最近天氣熱
[00:00:16.000 --> 00:00:18.000]  可能你正在走路
[00:00:18.000 --> 00:00:19.000]  大巷踏細巷
[00:00:19.000 --> 00:00:21.000]  回來教會
[00:00:21.000 --> 00:00:23.000]  但我相信你的心
[00:00:23.000 --> 00:00:26.000]  都很渴想親近天父
[00:00:26.000 --> 00:00:29.000]  我今早早一點來到
[00:00:29.000 --> 00:00:31.000]  看到有不少弟兄姊妹
[00:00:31.000 --> 00:00:32.000]  很早回來
[00:00:32.000 --> 00:00:35.000]  預備心來敬拜
[00:00:35.000 --> 00:00:38.000]  這實在是很好的事情
[00:00:38.000 --> 00:00:40.000]  回來教會
[00:00:40.000 --> 00:00:41.000]  你又可以唱詩
[00:00:41.000 --> 00:00:43.000]  又可以讀聖經
[00:00:43.000 --> 00:00:46.000]  又可以聽到神的話語
[00:00:46.000 --> 00:00:49.000]  亦可以聽到師班獻唱
[00:00:49.000 --> 00:00:50.000]  更加難得
[00:00:50.000 --> 00:00:52.000]  還有聖餐來紀念主
[00:00:52.000 --> 00:00:55.000]  所以一切都是恩典
[00:00:55.000 --> 00:01:02.000]  今日牧師和大家讀聖經
[00:01:02.000 --> 00:01:04.000]  和思考經文
[00:01:04.000 --> 00:01:05.000]  很簡單
[00:01:05.000 --> 00:01:06.000]  一節聖經
[00:01:06.000 --> 00:01:10.000]  你們都很熟悉
[00:01:10.000 --> 00:01:12.000]  不如我們一起讀一次
[00:01:12.000 --> 00:01:13.000]  預備
[00:01:13.000 --> 00:01:14.000]  一二三
[00:01:14.000 --> 00:01:17.000]  如今常傳的
[00:01:17.000 --> 00:01:19.000]  有信有愛
[00:01:19.000 --> 00:01:21.000]  有愛這三樣
[00:01:21.000 --> 00:01:25.000]  其中最大的是愛
[00:01:25.000 --> 00:01:27.000]  這本經文雖然熟悉
[00:01:27.000 --> 00:01:29.000]  但亦很挑戰性
[00:01:29.000 --> 00:01:33.000]  因為不是很容易實踐
[00:01:33.000 --> 00:01:36.000]  所以我們今天
[00:01:36.000 --> 00:01:39.000]  來思考這節經文
[00:01:39.000 --> 00:01:41.000]  近來這幾個月
[00:01:41.000 --> 00:01:46.000]  國際新聞最熱門的是甚麼呢?
[00:01:46.000 --> 00:01:49.000]  我相信大家都知道
[00:01:49.000 --> 00:01:52.000]  就是俄烏戰爭
[00:01:52.000 --> 00:01:54.000]  這場戰爭
[00:01:54.000 --> 00:01:59.000]  可以說是沒有贏家
[00:01:59.000 --> 00:02:02.000]  這場戰爭亦令到
[00:02:02.000 --> 00:02:05.000]  很多人流離失所
[00:02:05.000 --> 00:02:11.000]  逃離家園
[00:02:11.000 --> 00:02:14.000]  甚至死傷不少人
[00:02:14.000 --> 00:02:18.000]  在這情況下
[00:02:18.000 --> 00:02:20.000]  我們很多時都會問
[00:02:20.000 --> 00:02:22.000]  為何要去打仗呢?
[00:02:22.000 --> 00:02:25.000]  實際上大家都知道
[00:02:25.000 --> 00:02:29.000]  如果我們用武力去征服人
[00:02:29.000 --> 00:02:34.000]  其實這不會是長久的
[00:02:34.000 --> 00:02:37.000]  不過是曇花一現
[00:02:37.000 --> 00:02:40.000]  這個國家不會千秋萬代
[00:02:40.000 --> 00:02:44.000]  反過來可能是遺臭萬年都未定
[00:02:44.000 --> 00:02:47.000]  所以大家都明白到
[00:02:47.000 --> 00:02:49.000]  用武力去征服人
[00:02:49.000 --> 00:02:57.000]  不是一項強項的事情
[00:02:57.000 --> 00:03:02.000]  相反如果我們用愛心去征服人
[00:03:02.000 --> 00:03:09.000]  這才能夠令人長久的心悅誠服
[00:03:09.000 --> 00:03:11.000]  大家認同嗎?
[00:03:11.000 --> 00:03:14.000]  以耶穌基督為例
[00:03:14.000 --> 00:03:16.000]  耶穌基督的大愛
[00:03:16.000 --> 00:03:19.000]  耶穌基督的愛心
[00:03:19.000 --> 00:03:22.000]  能夠令到這二千多年來
[00:03:22.000 --> 00:03:27.000]  很多人都得到感染、激勵
[00:03:27.000 --> 00:03:31.000]  所以樂意效法耶穌的榜樣
[00:03:31.000 --> 00:03:34.000]  來關愛其他人
