
[00:00:00.000 --> 00:00:03.000]  各位大兄姐妹,早安!
[00:00:03.000 --> 00:00:07.000]  今早我們回到神日家,開心嗎?
[00:00:07.000 --> 00:00:12.000]  很感恩,因為我們好像沒見面很久了
[00:00:12.000 --> 00:00:15.000]  今天終於可以實體敬拜
[00:00:15.000 --> 00:00:21.000]  我們一起用掌聲將榮耀歸給天父
[00:00:21.000 --> 00:00:26.000]  好像拍掌不夠厚
[00:00:26.000 --> 00:00:30.000]  不如我們一起說Hallelujah讚美主
[00:00:30.000 --> 00:00:32.000]  預備,一二三
[00:00:32.000 --> 00:00:35.000]  Hallelujah讚美主
[00:00:35.000 --> 00:00:36.000]  感謝主
[00:00:36.000 --> 00:00:38.000]  我們等了很久了
[00:00:38.000 --> 00:00:45.000]  終於今早有機會能夠大家聚集敬拜天父
[00:00:45.000 --> 00:00:48.000]  所以牧師因為最近環境的緣故
[00:00:48.000 --> 00:00:53.000]  想起一個題目,叫做軟弱化剛強
[00:00:53.000 --> 00:00:58.000]  多謝陳全道剛才幫我們讀出這段經文
[00:00:58.000 --> 00:01:02.000]  我相信不少大兄姐妹都會有印象
[00:01:02.000 --> 00:01:05.000]  如果你靈修讀過的話
[00:01:05.000 --> 00:01:09.000]  我想很多人都不喜歡軟弱這兩個字
[00:01:09.000 --> 00:01:14.000]  因為軟弱這兩個字一聽到
[00:01:14.000 --> 00:01:20.000]  印象就是軟婆婆,無精打采
[00:01:20.000 --> 00:01:24.000]  站著也站不住,走也走不動
[00:01:24.000 --> 00:01:28.000]  坐也坐不住,常常躺在床上
[00:01:28.000 --> 00:01:30.000]  這就叫做軟弱
[00:01:30.000 --> 00:01:34.000]  所以不太多人喜歡軟弱這兩個字
[00:01:34.000 --> 00:01:36.000]  大家認同嗎?
[00:01:36.000 --> 00:01:40.000]  但有時軟弱是自己拿回來的
[00:01:40.000 --> 00:01:42.000]  有沒有留意到?
[00:01:42.000 --> 00:01:44.000]  有些人不喜歡戴口罩
[00:01:44.000 --> 00:01:47.000]  不喜歡社交距離
[00:01:47.000 --> 00:01:49.000]  然後就中招了
[00:01:49.000 --> 00:01:52.000]  我想大家都知道最近誰中招了
[00:01:52.000 --> 00:01:57.000]  所以有些軟弱是自己拿回來的
[00:01:57.000 --> 00:02:00.000]  但有些軟弱是被動的
[00:02:00.000 --> 00:02:04.000]  即是你不想要,不想得到
[00:02:04.000 --> 00:02:10.000]  總是無緣無故發生在你身上
[00:02:10.000 --> 00:02:13.000]  大家相不相信有這樣的事情?
[00:02:13.000 --> 00:02:17.000]  有時你不喜歡軟弱,不喜歡逆境
[00:02:17.000 --> 00:02:19.000]  但到我們選擇嗎?
[00:02:19.000 --> 00:02:21.000]  不到我們選擇
[00:02:21.000 --> 00:02:24.000]  有時我們很被動就面對這些情況
[00:02:24.000 --> 00:02:26.000]  正如保羅
[00:02:26.000 --> 00:02:29.000]  保羅遇到的軟弱其實很多
[00:02:29.000 --> 00:02:33.000]  因為他傳福音,建立教會過程中
[00:02:33.000 --> 00:02:35.000]  都不是一帆風順
[00:02:35.000 --> 00:02:37.000]  我相信大家都知道
[00:02:37.000 --> 00:02:40.000]  但這些軟弱是事公上帶給他的軟弱
