
[00:00:00.000 --> 00:00:03.000]  我們一起同心去祈禱
[00:00:03.000 --> 00:00:05.000]  我們親愛的天父上帝
[00:00:05.000 --> 00:00:07.000]  我們滿心感謝讚美你
[00:00:07.000 --> 00:00:10.000]  因為我們可以去敬拜你
[00:00:10.000 --> 00:00:13.000]  我們時刻的要思想
[00:00:13.000 --> 00:00:16.000]  我們的生命是一份禮物
[00:00:16.000 --> 00:00:18.000]  是一份恩賜
[00:00:18.000 --> 00:00:21.000]  我們實在要再去思想
[00:00:21.000 --> 00:00:24.000]  當我們發現到
[00:00:24.000 --> 00:00:27.000]  我們有了一份恩賜
[00:00:27.000 --> 00:00:30.000]  當我們發現到
[00:00:30.000 --> 00:00:32.000]  生活上的事情
[00:00:32.000 --> 00:00:35.000]  好像不是我們可以掌握的時候
[00:00:35.000 --> 00:00:38.000]  我們更加要知道
[00:00:38.000 --> 00:00:41.000]  我們只不過是很普通的人
[00:00:41.000 --> 00:00:44.000]  在我們以上有我們的上帝
[00:00:44.000 --> 00:00:46.000]  你是我們生命的主
[00:00:46.000 --> 00:00:50.000]  在這個充滿混亂的時候
[00:00:50.000 --> 00:00:53.000]  我們要回歸於你
[00:00:53.000 --> 00:00:56.000]  再一次在你的面前去謙卑
[00:00:56.000 --> 00:00:58.000]  讓我們去承認
[00:00:58.000 --> 00:01:00.000]  你是我們生命的主
[00:01:00.000 --> 00:01:02.000]  讓我們在敬拜的時候
[00:01:02.000 --> 00:01:06.000]  得到你自己聖經的教導
[00:01:06.000 --> 00:01:09.000]  讓你的聖靈住在我們的內心
[00:01:09.000 --> 00:01:13.000]  讓我們有力量去面對各種挑戰
[00:01:13.000 --> 00:01:15.000]  因為我們知道
[00:01:15.000 --> 00:01:17.000]  我們所盼望的
[00:01:17.000 --> 00:01:19.000]  不是在地上
[00:01:19.000 --> 00:01:21.000]  而是在永恆的國度裏面
[00:01:21.000 --> 00:01:24.000]  我們的祈禱奉耶穌基督的名
[00:01:24.000 --> 00:01:26.000]  阿門
[00:01:26.000 --> 00:01:28.000]  很感謝上帝的恩典
[00:01:28.000 --> 00:01:32.000]  也很感謝老傳道的邀請
[00:01:32.000 --> 00:01:35.000]  讓我和洪恩堂的弟兄姊妹
[00:01:35.000 --> 00:01:38.000]  來分享聖經的說話
[00:01:38.000 --> 00:01:44.000]  我心裏有一種很特別的感受
[00:01:44.000 --> 00:01:47.000]  雖然我看不到你們
[00:01:47.000 --> 00:01:52.000]  但是我感受到你們在一起崇拜
[00:01:52.000 --> 00:01:54.000]  最近也很感恩
[00:01:54.000 --> 00:01:57.000]  因為經歷了
[00:01:57.000 --> 00:02:02.000]  雖然外面的環境有很多變化
[00:02:02.000 --> 00:02:07.000]  但是神又讓我的情緒穩定
[00:02:07.000 --> 00:02:09.000]  可以每天去工作
[00:02:09.000 --> 00:02:11.000]  特別是看聖經
[00:02:11.000 --> 00:02:16.000]  這件事是我以前經歷不足的事
[00:02:16.000 --> 00:02:18.000]  不過這一兩年我經歷了很多
[00:02:18.000 --> 00:02:23.000]  今天我將我看聖經的心得
[00:02:23.000 --> 00:02:25.000]  和大家分享
[00:02:25.000 --> 00:02:31.000]  剛才陳傳道已經將那兩節經文讀了出來
[00:02:31.000 --> 00:02:34.000]  所以我不再重複了
[00:02:34.000 --> 00:02:36.000]  在這兩段經文裏
[00:02:36.000 --> 00:02:40.000]  有兩個詞是很特別的
[00:02:40.000 --> 00:02:42.000]  一個詞是預定
[00:02:42.000 --> 00:02:45.000]  第二個詞是明定
[00:02:45.000 --> 00:02:47.000]  好了,我會問
[00:02:47.000 --> 00:02:50.000]  究竟這兩段經文裏
[00:02:50.000 --> 00:02:52.000]  這兩個詞
[00:02:52.000 --> 00:02:54.000]  在希臘文的原文裏
[00:02:54.000 --> 00:02:57.000]  是不是同一個字?
[00:02:57.000 --> 00:03:00.000]  如果兩個是不同的字
[00:03:00.000 --> 00:03:03.000]  究竟原來的意思是什麼?
[00:03:03.000 --> 00:03:06.000]  我很感謝神
[00:03:06.000 --> 00:03:11.000]  透過追查經文的背景
[00:03:11.000 --> 00:03:15.000]  去發現一些道理
[00:03:15.000 --> 00:03:19.000]  我將這個發現定為一個講道的題目
[00:03:19.000 --> 00:03:22.000]  就是患難是擺在面前的
[00:03:22.000 --> 00:03:26.000]  我將講道分為三個部分
[00:03:26.000 --> 00:03:31.000]  第一個部分是神預定人是得救的
[00:03:31.000 --> 00:03:34.000]  第二個部分就是受苦
[00:03:34.000 --> 00:03:37.000]  就是擺在我們面前的
[00:03:37.000 --> 00:03:40.000]  第三個部分就是神的旨意
[00:03:40.000 --> 00:03:42.000]  是人的聖潔
[00:03:42.000 --> 00:03:47.000]  這三個部分都是從這兩段經文中歸納出來的
[00:03:47.000 --> 00:03:49.000]  首先我們看看第一部分
[00:03:49.000 --> 00:03:51.000]  神預定人得救
[00:03:51.000 --> 00:03:56.000]  在帖撒羅尼加前書第五章第九節
[00:03:56.000 --> 00:04:00.000]  因為神不是預定我們受刑
[00:04:00.000 --> 00:04:02.000]  乃是預定我們直著
[00:04:02.000 --> 00:04:05.000]  我們主耶穌基督得救
[00:04:05.000 --> 00:04:07.000]  在這段經文裏
[00:04:07.000 --> 00:04:09.000]  這個預定
[00:04:09.000 --> 00:04:11.000]  希利文
[00:04:11.000 --> 00:04:12.000]  Attack
[00:04:12.000 --> 00:04:16.000]  是神預定我們直著耶穌基督得救的
[00:04:16.000 --> 00:04:18.000]  這是很清楚的
[00:04:18.000 --> 00:04:20.000]  不過很多基督徒
[00:04:20.000 --> 00:04:24.000]  他們聽過我們基督教神學裏面
[00:04:24.000 --> 00:04:27.000]  有一種叫做預定論
[00:04:27.000 --> 00:04:31.000]  英文叫做Predestination
