
[00:00:00.000 --> 00:00:05.000]  第一姐妹平安
[00:00:05.000 --> 00:00:06.000]  平安
[00:00:06.000 --> 00:00:08.000]  剛才陳牧師說
[00:00:08.000 --> 00:00:11.000]  我很支持新界西與牧師公
[00:00:11.000 --> 00:00:13.000]  其實在我在錦宣服侍的時候
[00:00:13.000 --> 00:00:16.000]  已經開始在新界西與牧師公服侍
[00:00:16.000 --> 00:00:20.000]  所以當然來到紅欣更加需要
[00:00:20.000 --> 00:00:24.000]  無論我和新界西與牧的關係
[00:00:24.000 --> 00:00:26.000]  或者是那個場地
[00:00:26.000 --> 00:00:28.000]  今天是一個假期
[00:00:28.000 --> 00:00:32.000]  你們不來這裡也是空了
[00:00:32.000 --> 00:00:35.000]  不如借給你們吧
[00:00:35.000 --> 00:00:39.000]  很高興能夠和大家分享神的話語
[00:00:39.000 --> 00:00:40.000]  如果有人問你
[00:00:40.000 --> 00:00:44.000]  教會是一個什麼人來的地方
[00:00:44.000 --> 00:00:45.000]  大部分人都會說
[00:00:45.000 --> 00:00:49.000]  教會當然是聚人聚集的地方
[00:00:49.000 --> 00:00:51.000]  但如果我們再深入一點再問
[00:00:51.000 --> 00:00:55.000]  聚人聚集在教會有什麼目的
[00:00:55.000 --> 00:00:59.000]  我想每一個人都有不同的答案
[00:00:59.000 --> 00:01:01.000]  這些細微的答案
[00:01:01.000 --> 00:01:04.000]  最後都會指向同一個方向
[00:01:04.000 --> 00:01:08.000]  聚人需要在教會裏面更加認識神
[00:01:08.000 --> 00:01:10.000]  去被牧養
[00:01:10.000 --> 00:01:13.000]  讓他們的屬靈生命要不斷地成長
[00:01:13.000 --> 00:01:15.000]  而最終的目的
[00:01:15.000 --> 00:01:16.000]  就是要見證神
[00:01:16.000 --> 00:01:17.000]  榮耀神
[00:01:17.000 --> 00:01:20.000]  將神的救恩講全
[00:01:20.000 --> 00:01:23.000]  一個能夠見證神生命的人
[00:01:23.000 --> 00:01:26.000]  仍然是一個土神喜悅的信徒
[00:01:26.000 --> 00:01:28.000]  我相信在座這麼多
[00:01:28.000 --> 00:01:32.000]  新界西縣牧事工的義工
[00:01:32.000 --> 00:01:35.000]  你們參與新界西縣牧的每一個服事
[00:01:35.000 --> 00:01:37.000]  其實我深信
[00:01:37.000 --> 00:01:41.000]  你最終都很想去榮神益人
[00:01:41.000 --> 00:01:44.000]  做一個土神喜悅的信徒
[00:01:44.000 --> 00:01:45.000]  今天我的講題就是
[00:01:45.000 --> 00:01:48.000]  在逆境裏面的信望愛
[00:01:48.000 --> 00:01:50.000]  在初期教會的歷史裏面
[00:01:50.000 --> 00:01:53.000]  究竟有沒有像今天香港一樣
[00:01:53.000 --> 00:01:57.000]  或者好像全球都發生的疫情呢?
[00:01:57.000 --> 00:01:59.000]  聖經似乎沒有提過
[00:01:59.000 --> 00:02:03.000]  當時有這麼大規模的疫情
[00:02:03.000 --> 00:02:07.000]  但是對於信徒處身在逆境之中的經歷
[00:02:07.000 --> 00:02:10.000]  聖經就有很多的描述
[00:02:10.000 --> 00:02:14.000]  我們從帖撒萊迦前書一章一至十節的經文裏面
[00:02:14.000 --> 00:02:17.000]  透過保羅對帖撒萊迦教會的教導
