
[00:00:00.000 --> 00:00:14.000]  大家好,我們感謝天父給我們洪恩家近來喜事重重
[00:00:14.000 --> 00:00:20.000]  上星期是我們的堂慶,有多少位有出席堂慶?
[00:00:20.000 --> 00:00:30.000]  今天有朕禮,我剛才問曾牧師有多少位洗禮?他說有四位洗禮
[00:00:30.000 --> 00:00:34.000]  你說天父給我們洪恩家是否有很多恩典?
[00:00:34.000 --> 00:00:40.000]  我們用掌聲將榮耀歸天父,非常之好
[00:00:40.000 --> 00:00:47.000]  今早牧師和大家分享的題目已是耳熟能詳,和祈禱有關
[00:00:47.000 --> 00:00:50.000]  牧師為什麼要分享這個題目?
[00:00:50.000 --> 00:00:56.000]  這個題目由我未信耶穌到信於耶穌經常做
[00:00:56.000 --> 00:01:01.000]  我未信耶穌之前,朋友勸我祈禱
[00:01:01.000 --> 00:01:08.000]  那時我不懂祈禱,只閉上眼,人們教我祈禱
[00:01:08.000 --> 00:01:15.000]  到我信了耶穌後,我就經常祈禱
[00:01:15.000 --> 00:01:20.000]  所以這個題目對我們來說,一點也不陌生
[00:01:20.000 --> 00:01:25.000]  頂智妹妹,我們很多時候都有祈禱
[00:01:25.000 --> 00:01:30.000]  但有時我們要問,我們這麼多次祈禱
[00:01:30.000 --> 00:01:37.000]  到底有多少次我們的禱告是蒙神喜悅?
[00:01:37.000 --> 00:01:43.000]  這就不同了層次,如果我們的祈禱是蒙神喜悅
[00:01:43.000 --> 00:01:48.000]  我們的禱告就會與眾不同
[00:01:48.000 --> 00:01:53.000]  今天我們學習一個人物,所羅門
[00:01:53.000 --> 00:01:56.000]  剛才大家也讀過那段經文
[00:01:56.000 --> 00:02:01.000]  學習所羅門如何向上帝禱告
[00:02:01.000 --> 00:02:05.000]  以至上帝喜悅他的祈禱
[00:02:05.000 --> 00:02:12.000]  話說當所羅門造王登基不久
[00:02:12.000 --> 00:02:19.000]  有一次他帶著文武百官到一個地方祈禱
[00:02:19.000 --> 00:02:25.000]  那個地方的名字比較陌生,叫做基片
[00:02:25.000 --> 00:02:30.000]  為什麼會帶這麼多人去獻祭呢?
[00:02:30.000 --> 00:02:37.000]  因為大家都知道那時候聖殿還沒有建好
[00:02:37.000 --> 00:02:41.000]  以色列人如何向上帝獻祭呢?
[00:02:41.000 --> 00:02:47.000]  原來在基片的地方記載了一個很大的休壇
[00:02:47.000 --> 00:02:53.000]  所以他們就去那裡向上帝獻祭,向上帝祈求
[00:02:53.000 --> 00:02:58.000]  我相信因為所羅門做得很好
[00:02:58.000 --> 00:03:01.000]  那一晚就特別了
[00:03:01.000 --> 00:03:05.000]  聖經記載當晚,即是他去獻祭的那一天
[00:03:05.000 --> 00:03:08.000]  上帝向所羅門顯現
[00:03:08.000 --> 00:03:10.000]  上帝對所羅門說
[00:03:10.000 --> 00:03:17.000]  無論你向我求什麼,我都會給你
[00:03:17.000 --> 00:03:19.000]  看見沒有?
[00:03:19.000 --> 00:03:22.000]  很棒吧?
[00:03:22.000 --> 00:03:25.000]  是不是有點像阿拉丁神燈一樣
[00:03:25.000 --> 00:03:29.000]  擦兩擦,要什麼就有什麼
[00:03:29.000 --> 00:03:31.000]  是不是很棒?
[00:03:31.000 --> 00:03:36.000]  但你留意,所羅門的回應
[00:03:36.000 --> 00:03:41.000]  他向上帝的禱文是很特別的
