
[00:00:00.000 --> 00:00:04.000]  脫下口罩可能會方便一點
[00:00:04.000 --> 00:00:08.000]  因為老牧師下星期會回來
[00:00:08.000 --> 00:00:15.000]  我的工作平日星期三來開同工會等等都已經圓滿了
[00:00:15.000 --> 00:00:18.000]  可能要隔幾個月才來一次
[00:00:18.000 --> 00:00:21.000]  看看真樣子都好一點
[00:00:21.000 --> 00:00:23.000]  感恩
[00:00:23.000 --> 00:00:25.000]  我們先做一個簡單的祈禱
[00:00:25.000 --> 00:00:27.000]  多謝主耶穌
[00:00:27.000 --> 00:00:29.000]  我們打開聖經
[00:00:29.000 --> 00:00:31.000]  我們真的很盼望
[00:00:31.000 --> 00:00:35.000]  這個永遠的福樂伴隨著我們一生
[00:00:35.000 --> 00:00:37.000]  我們明白經文
[00:00:37.000 --> 00:00:39.000]  實踐經文
[00:00:39.000 --> 00:00:41.000]  讓我們能夠享受
[00:00:41.000 --> 00:00:43.000]  祢賜給我們救恩帶來的福樂
[00:00:43.000 --> 00:00:45.000]  我們這樣感恩
[00:00:45.000 --> 00:00:47.000]  奉耶穌基督的名
[00:00:47.000 --> 00:00:49.000]  阿們
[00:00:49.000 --> 00:00:51.000]  一定要定義什麼是幸福
[00:00:51.000 --> 00:00:55.000]  第十九節
[00:00:55.000 --> 00:00:57.000]  基本上婚禮一定會讀
[00:00:57.000 --> 00:01:01.000]  很多時候婚卡都是我們愛
[00:01:01.000 --> 00:01:04.000]  因為神首先愛我們
[00:01:04.000 --> 00:01:06.000]  完全沒有錯的
[00:01:06.000 --> 00:01:11.000]  因為整個經文第七節
[00:01:11.000 --> 00:01:13.000]  第十一節
[00:01:13.000 --> 00:01:15.000]  都是勉勵信徒
[00:01:15.000 --> 00:01:17.000]  在一生裏面
[00:01:17.000 --> 00:01:19.000]  你信了主耶穌
[00:01:19.000 --> 00:01:22.000]  你要實踐彼此相愛的時候
[00:01:22.000 --> 00:01:24.000]  不是給錢
[00:01:24.000 --> 00:01:26.000]  是彼此
[00:01:26.000 --> 00:01:28.000]  不是用錢去賣愛
[00:01:28.000 --> 00:01:31.000]  是在神的裏面
[00:01:31.000 --> 00:01:34.000]  你認定自己是神的子女
[00:01:34.000 --> 00:01:37.000]  你去學習愛對方
[00:01:37.000 --> 00:01:40.000]  你就會經歷一個很大的平安
[00:01:40.000 --> 00:01:43.000]  其實十七節已經說了
[00:01:43.000 --> 00:01:45.000]  還有一樣東西
[00:01:45.000 --> 00:01:47.000]  就是我們越來越像我們的耶穌
[00:01:47.000 --> 00:01:49.000]  因為十七節最後
[00:01:49.000 --> 00:01:51.000]  因為基督如何
[00:01:51.000 --> 00:01:53.000]  基督在世上如何
[00:01:53.000 --> 00:01:55.000]  我們都是這樣
[00:01:55.000 --> 00:01:57.000]  什麼是幸福
[00:01:57.000 --> 00:02:00.000]  你的定義是什麼是幸福
[00:02:00.000 --> 00:02:02.000]  你下個月
[00:02:02.000 --> 00:02:04.000]  三月一日
[00:02:04.000 --> 00:02:06.000]  你就飛去日本
[00:02:06.000 --> 00:02:08.000]  吃你最喜歡的魚生
[00:02:08.000 --> 00:02:10.000]  這也是幸福
[00:02:10.000 --> 00:02:12.000]  怎麼會不是呢
[00:02:12.000 --> 00:02:13.000]  你有其他的
[00:02:13.000 --> 00:02:15.000]  有些更加大的
[00:02:15.000 --> 00:02:17.000]  什麼是幸福呢
[00:02:17.000 --> 00:02:19.000]  譬如被人認出你的身份
[00:02:19.000 --> 00:02:21.000]  也是一份幸福
[00:02:21.000 --> 00:02:23.000]  剛才來的時候
[00:02:23.000 --> 00:02:25.000]  因為今天很早起床
[00:02:25.000 --> 00:02:27.000]  已經吃了早餐
[00:02:27.000 --> 00:02:29.000]  但教完主學很餓
[00:02:29.000 --> 00:02:31.000]  就趕來
[00:02:31.000 --> 00:02:33.000]  十一點
[00:02:33.000 --> 00:02:35.000]  在大發餐廳坐下
[00:02:35.000 --> 00:02:37.000]  已經點了餐
[00:02:37.000 --> 00:02:39.000]  然後有另外一個職員
[00:02:39.000 --> 00:02:41.000]  那些醫醫、嬸
[00:02:41.000 --> 00:02:43.000]  很大年紀的
[00:02:43.000 --> 00:02:45.000]  走過來拿杯水給我
[00:02:45.000 --> 00:02:47.000]  其實桌上已經有杯水
[00:02:47.000 --> 00:02:49.000]  已經剛剛下單
[00:02:49.000 --> 00:02:51.000]  他跟我說
[00:02:51.000 --> 00:02:53.000]  你去教會嗎
[00:02:53.000 --> 00:02:55.000]  我說是呀
[00:02:55.000 --> 00:02:57.000]  我吃完會去港島
[00:02:57.000 --> 00:02:59.000]  他很開心
[00:02:59.000 --> 00:03:01.000]  我不知道他是不是信主
[00:03:01.000 --> 00:03:03.000]  他認得我是
[00:03:03.000 --> 00:03:05.000]  其實我很少下來
[00:03:05.000 --> 00:03:07.000]  他認得我
[00:03:07.000 --> 00:03:09.000]  可能星期日穿西裝
[00:03:09.000 --> 00:03:11.000]  沒理由這麼早去飲酒
[00:03:11.000 --> 00:03:13.000]  當然是傳道
[00:03:13.000 --> 00:03:15.000]  或者牧師
[00:03:15.000 --> 00:03:17.000]  我沒有說我是牧師
[00:03:17.000 --> 00:03:19.000]  他知道我去教會
[00:03:19.000 --> 00:03:21.000]  我說是呀
[00:03:21.000 --> 00:03:23.000]  被人認出是一份幸福
[00:03:23.000 --> 00:03:25.000]  至少我們的教會
[00:03:25.000 --> 00:03:27.000]  在街坊的眼中
[00:03:27.000 --> 00:03:29.000]  原來他留意我們
[00:03:29.000 --> 00:03:31.000]  被人看到我們這一份平安
[00:03:31.000 --> 00:03:33.000]  這一份愛
[00:03:33.000 --> 00:03:35.000]  當然
[00:03:35.000 --> 00:03:37.000]  在整段聖經裏
[00:03:37.000 --> 00:03:39.000]  這裡告訴我們
