
[00:00:00.000 --> 00:00:05.000]  (字幕提供:陳零九)
[00:00:06.000 --> 00:00:10.000]  鄧子每早晨,我們來到看浪子比喻的故事
[00:00:10.000 --> 00:00:12.000]  大家都應該很熟悉這個經文
[00:00:12.000 --> 00:00:15.000]  今天你發覺讀經的時候
[00:00:15.000 --> 00:00:19.000]  你發現經文是從故事的中後段開始
[00:00:19.000 --> 00:00:24.000]  從爸爸擁抱小兒子之後
[00:00:24.000 --> 00:00:29.000]  大家慶祝的故事裡
[00:00:29.000 --> 00:00:32.000]  開始今天的經文
[00:00:32.000 --> 00:00:35.000]  實際上在路加福音裡
[00:00:35.000 --> 00:00:41.000]  耶穌在第十五章說了三個有關比喻
[00:00:41.000 --> 00:00:43.000]  三個相關的比喻
[00:00:43.000 --> 00:00:45.000]  一個是失前的比喻
[00:00:45.000 --> 00:00:47.000]  一個是失羊的比喻
[00:00:47.000 --> 00:00:51.000]  最後就是失去了小兒子的比喻
[00:00:51.000 --> 00:00:54.000]  正常來說,耶穌說到這裡就應該完結
[00:00:54.000 --> 00:00:57.000]  因為失去兒子,就回來了
[00:00:57.000 --> 00:00:59.000]  失而復得
[00:00:59.000 --> 00:01:02.000]  不過你會發現耶穌在浪子比喻裡
[00:01:02.000 --> 00:01:05.000]  其實還沒完結
[00:01:05.000 --> 00:01:09.000]  我們現在正在故事裡
[00:01:09.000 --> 00:01:15.000]  看浪子比喻後面的大兒子的故事
[00:01:15.000 --> 00:01:20.000]  實際上當你看浪子比喻的時候
[00:01:20.000 --> 00:01:25.000]  耶穌故意延續這個故事
[00:01:25.000 --> 00:01:31.000]  不單將焦點放在小兒子浪子身上
[00:01:31.000 --> 00:01:37.000]  更加將焦點放在大兒子身上
[00:01:37.000 --> 00:01:41.000]  我會說浪子比喻
[00:01:41.000 --> 00:01:45.000]  其實不是單單說一個浪子
[00:01:45.000 --> 00:01:49.000]  而且你會發覺故事裡有兩個浪子
[00:01:49.000 --> 00:01:52.000]  故事的快樂的延續
[00:01:52.000 --> 00:01:55.000]  非常特別
[00:01:55.000 --> 00:01:59.000]  是兩個浪子比喻的轉折
[00:01:59.000 --> 00:02:01.000]  父親第二次這麼說
[00:02:01.000 --> 00:02:02.000]  他就跟父親說
[00:02:02.000 --> 00:02:04.000]  將上好的袍子快點拿來
[00:02:04.000 --> 00:02:08.000]  將戒指戴在他的指頭上
