
[00:00:00.000 --> 00:00:04.000]  今天這個題目我想先問一問
[00:00:04.000 --> 00:00:08.000]  我今天一早就有人跟我說
[00:00:08.000 --> 00:00:10.000]  嘩!這個很難做到的
[00:00:10.000 --> 00:00:12.000]  這個做不到的
[00:00:12.000 --> 00:00:16.000]  我想問有多少人覺得這個做不到的
[00:00:16.000 --> 00:00:19.000]  你覺得做不到的你舉手
[00:00:19.000 --> 00:00:27.000]  有人很誠實的舉手
[00:00:27.000 --> 00:00:30.000]  你不需要介意別人的看法
[00:00:30.000 --> 00:00:33.000]  你覺得做不到的就誠實表達
[00:00:33.000 --> 00:00:36.000]  我欣賞頂尖的坦誠
[00:00:36.000 --> 00:00:37.000]  有沒有
[00:00:37.000 --> 00:00:39.000]  不要受旁邊的人影響
[00:00:39.000 --> 00:00:43.000]  你覺得我做不到的就舉手
[00:00:43.000 --> 00:00:48.000]  還不知道是吧
[00:00:48.000 --> 00:00:52.000]  我很想說
[00:00:52.000 --> 00:00:55.000]  這件事我們一定做到的
[00:00:56.000 --> 00:00:58.000]  聖經裏面說的話
[00:00:58.000 --> 00:01:01.000]  不會令我們做不到的
[00:01:01.000 --> 00:01:02.000]  做不到的話
[00:01:02.000 --> 00:01:05.000]  神就不會在當中讓我們看到這段話
[00:01:05.000 --> 00:01:10.000]  不會只是放一大堆很高深的文字在那裏
[00:01:10.000 --> 00:01:11.000]  然後我感覺
[00:01:11.000 --> 00:01:13.000]  嘩!他真的很高深很崇高
[00:01:13.000 --> 00:01:14.000]  在天上空的
[00:01:14.000 --> 00:01:16.000]  等我欣賞完之後
[00:01:16.000 --> 00:01:18.000]  我要看地面的生活
[00:01:18.000 --> 00:01:20.000]  我感覺相差很遠
[00:01:20.000 --> 00:01:22.000]  然後經常都很沮喪
[00:01:22.000 --> 00:01:23.000]  不會的
[00:01:23.000 --> 00:01:24.000]  我想跟你說
[00:01:24.000 --> 00:01:26.000]  今天這段話
[00:01:26.000 --> 00:01:28.000]  在座所有人都做到的
[00:01:28.000 --> 00:01:29.000]  是所有人
[00:01:29.000 --> 00:01:31.000]  我們首先在這裏認識一下
[00:01:31.000 --> 00:01:35.000]  這段經文來自希伯來書
[00:01:35.000 --> 00:01:39.000]  我相信在座不是每個人都很熟悉
[00:01:39.000 --> 00:01:41.000]  希伯來書
[00:01:41.000 --> 00:01:44.000]  有誰都說自己看過這本書呢
[00:01:44.000 --> 00:01:46.000]  請大家舉手
[00:01:46.000 --> 00:01:48.000]  我看過希伯來書的
[00:01:48.000 --> 00:01:50.000]  看過
[00:01:50.000 --> 00:01:51.000]  是吧
[00:01:51.000 --> 00:01:53.000]  都有些人看
[00:01:53.000 --> 00:01:56.000]  當中有些人從來都沒有看過
[00:01:56.000 --> 00:01:57.000]  不要緊
[00:01:57.000 --> 00:01:58.000]  經過今天之後
[00:01:58.000 --> 00:01:59.000]  我鼓勵你
[00:01:59.000 --> 00:02:01.000]  可以去看一看
[00:02:01.000 --> 00:02:08.000]  我們看看希伯來書的背景是甚麼
[00:02:08.000 --> 00:02:11.000]  如果大家仔細翻開這本書的時候
[00:02:11.000 --> 00:02:12.000]  你會留意到
[00:02:12.000 --> 00:02:16.000]  裏面會提到很多一些舊約的人物
