
[00:00:00.000 --> 00:00:02.000]  頂姐妹早安
[00:00:02.000 --> 00:00:03.920]  果然站在這個角度
[00:00:03.920 --> 00:00:07.400]  看到頂姐妹的感覺是非常不同的
[00:00:07.400 --> 00:00:10.400]  現在很明白詠倫的感受
[00:00:10.400 --> 00:00:13.640]  在這裡看著頂姐妹
[00:00:13.640 --> 00:00:18.600]  還會想起認識在座當中的一些成員
[00:00:18.600 --> 00:00:20.880]  也和大家有不同的經歷
[00:00:20.880 --> 00:00:23.960]  感謝神讓我們過去在主裡面
[00:00:23.960 --> 00:00:26.400]  有這麼多奇妙的經歷
[00:00:26.400 --> 00:00:28.600]  願意今天上帝的說話
[00:00:28.600 --> 00:00:30.400]  是一同的激勵我們
[00:00:30.400 --> 00:00:32.720]  我自己預備這個講章的時候
[00:00:32.720 --> 00:00:36.880]  感覺是很想和自己說話
[00:00:36.880 --> 00:00:38.480]  我和自己說完話之後
[00:00:38.480 --> 00:00:41.320]  我又想將這個和自己說的話
[00:00:41.320 --> 00:00:44.120]  和大家去分享
[00:00:44.120 --> 00:00:47.400]  我們快樂是因為什麼呢?
[00:00:47.400 --> 00:00:50.920]  什麼事情令我們感到快樂呢?
[00:00:50.920 --> 00:00:53.280]  是不是事業發展很順利
[00:00:53.280 --> 00:00:55.280]  有很多錢
[00:00:55.280 --> 00:00:56.720]  有房有車
[00:00:56.720 --> 00:00:58.200]  名成利就
[00:00:58.200 --> 00:01:00.200]  身體健康
[00:01:00.200 --> 00:01:02.200]  很少病痛
[00:01:02.200 --> 00:01:04.800]  有美滿的家庭關係
[00:01:04.800 --> 00:01:07.080]  有好的婚姻
[00:01:07.080 --> 00:01:08.280]  兒女聽話
[00:01:08.280 --> 00:01:10.280]  學業有成
[00:01:10.280 --> 00:01:13.680]  自己有美好的明星
[00:01:13.680 --> 00:01:15.960]  是不是這些呢?
[00:01:15.960 --> 00:01:18.560]  可能有頂姐妹馬上就會說
[00:01:18.560 --> 00:01:21.200]  怪不得我不開心
[00:01:21.200 --> 00:01:24.920]  因為這些這麼好的事情都沒有發生在我身上
[00:01:24.920 --> 00:01:26.920]  又或者有人就會說
[00:01:26.920 --> 00:01:29.640]  我曾經都擁有一些
[00:01:29.640 --> 00:01:31.640]  或者全部這些福氣
[00:01:31.640 --> 00:01:33.640]  現在又沒有了
[00:01:33.640 --> 00:01:35.640]  所以就不開心了
[00:01:35.640 --> 00:01:39.880]  相信這些事情都是好的
[00:01:39.880 --> 00:01:41.560]  我沒有說不好
[00:01:41.560 --> 00:01:43.560]  但是這些是不是代表
[00:01:43.560 --> 00:01:46.080]  就是我們生命最寶貴的
[00:01:46.080 --> 00:01:50.360]  最能夠令我們感到快樂的事情呢?
