
[00:00:00.000 --> 00:00:05.000]  丁字妹新年快樂,主因滿滿
[00:00:05.000 --> 00:00:14.000]  很感恩,不過我講到要用我的powerpoint的remote暫時未有
[00:00:14.000 --> 00:00:19.000]  所以沒有powerpoint都可以講到
[00:00:19.000 --> 00:00:24.000]  很感恩,來到這裡大家非常開心
[00:00:24.000 --> 00:00:31.000]  來到這裡大家招呼我喝奶茶,吃賀年食品
[00:00:31.000 --> 00:00:35.000]  很感謝大家熱誠的款待
[00:00:35.000 --> 00:00:44.000]  我原本應該在去年六月要退休
[00:00:44.000 --> 00:00:46.000]  在六月底要退休
[00:00:46.000 --> 00:00:51.000]  在2023年11月左右,曾牧師跟我說
[00:00:51.000 --> 00:00:58.000]  要請我退休後繼續在錦繡半職侍奉
[00:00:58.000 --> 00:01:05.000]  當時很感恩,能夠退休後繼續侍奉
[00:01:05.000 --> 00:01:09.000]  不過我有很多時間開始計劃
[00:01:09.000 --> 00:01:13.000]  計劃在退休後不會立即回來
[00:01:13.000 --> 00:01:16.000]  有人邀請我去美國
[00:01:16.000 --> 00:01:21.000]  有人邀請我去新疆、南疆、北疆旅行
[00:01:21.000 --> 00:01:29.000]  有人邀請我去創啟地方做全道訓練領袖
[00:01:29.000 --> 00:01:31.000]  我答應了
[00:01:31.000 --> 00:01:36.000]  報名參加退休營報了四個
[00:01:36.000 --> 00:01:40.000]  接近一萬元都交了錢
[00:01:40.000 --> 00:01:48.000]  但在12月初有三位唐董找我談話
[00:01:48.000 --> 00:01:52.000]  我心想唐董可能覺得已經夠人了
[00:01:52.000 --> 00:01:54.000]  你都不用做了
[00:01:54.000 --> 00:02:00.000]  可能我又要再多作安排
[00:02:00.000 --> 00:02:02.000]  誰知唐董告訴我
[00:02:02.000 --> 00:02:06.000]  因著童工有些調動
[00:02:06.000 --> 00:02:10.000]  曾牧師會來紅恩堂和大家一起
[00:02:10.000 --> 00:02:14.000]  繼續發展福音
[00:02:14.000 --> 00:02:22.000]  我會留在錦繡堂推動方工作
[00:02:22.000 --> 00:02:27.000]  很感恩,所以一年沒有來港
