
[00:00:00.000 --> 00:00:06.000]  電視節目早安,你夠不夠我的精神?
[00:00:06.000 --> 00:00:12.000]  我很感謝神,因為剛剛在兩個星期前我感染了COVID
[00:00:12.000 --> 00:00:20.000]  我經常說我很留意上帝的時間
[00:00:20.000 --> 00:00:24.000]  因為其實我很久沒有來到當中跟大家一起分享
[00:00:24.000 --> 00:00:27.000]  每一次我能夠來,我都很開心
[00:00:27.000 --> 00:00:30.000]  我便在祈禱上帝快點康復,但很奇妙的
[00:00:30.000 --> 00:00:33.000]  我發了兩條燒之後,基本上我原來是沒有事的
[00:00:33.000 --> 00:00:37.000]  但我一直都不轉陰,一直都還是陽
[00:00:37.000 --> 00:00:41.000]  直到剛剛,其實我是星期五才再次回到市中心
[00:00:41.000 --> 00:00:43.000]  所以其實上帝是很好的
[00:00:43.000 --> 00:00:48.000]  所以我祝大家聖誕快樂之餘,身體健康
[00:00:48.000 --> 00:00:54.000]  但亦都不需要懼怕,因為在過程中上帝一定會與我們同行
[00:00:54.000 --> 00:00:59.000]  今天跟大家分享這段經文的時候
[00:00:59.000 --> 00:01:03.000]  其實是一段很普通的記載
[00:01:03.000 --> 00:01:06.000]  但其實這段經文是很重要的
[00:01:06.000 --> 00:01:07.000]  為甚麼呢?
[00:01:07.000 --> 00:01:10.000]  這段經文裏面很有趣的地方就是
[00:01:10.000 --> 00:01:15.000]  其實是保羅侍奉的一個很重要的分水嶺
[00:01:15.000 --> 00:01:19.000]  為甚麼呢?因為這段經文第十六章一開始的時候
[00:01:19.000 --> 00:01:23.000]  有一個很重要的人物出現了,就是提摩泰
[00:01:23.000 --> 00:01:27.000]  如果大家知道,提摩泰是保羅一個很重要的徒弟
[00:01:27.000 --> 00:01:35.000]  但這個人特別的地方就是提摩泰的爸爸是希臘人,媽媽是猶太人
[00:01:35.000 --> 00:01:38.000]  但他又是一個很虔敬的人
[00:01:38.000 --> 00:01:42.000]  在他身上亦都發生了一個原因,就是他又有行國禮
[00:01:42.000 --> 00:01:47.000]  我不知道大家是否記得,其實保羅在他的侍奉裏面最掙扎的地方
[00:01:47.000 --> 00:01:49.000]  其實正好就是這件事
[00:01:49.000 --> 00:01:54.000]  就是他一路做一路做,他自己很清楚上帝所給他的領袖
[00:01:54.000 --> 00:01:59.000]  就是他要將福音傳給任何人,不應該只限於猶太人
[00:01:59.000 --> 00:02:04.000]  但猶太人就不斷要去強迫外邦人,你要行國禮,你要怎樣怎樣
[00:02:04.000 --> 00:02:09.000]  這是他們一直有很大的衝突,所以後來他才再回到耶路撒冷去匯報
[00:02:09.000 --> 00:02:12.000]  而來到這裏的時候,你就會發覺這個重要的人物出現了是重要的
[00:02:12.000 --> 00:02:18.000]  為甚麼呢?因為他之後就會帶著提摩泰一起進入這個行程當中
[00:02:18.000 --> 00:02:22.000]  而你也知道有很多很重要的教會是留下了提摩泰在裏面
[00:02:22.000 --> 00:02:25.000]  然後由他去牧養,其實是一個很重要的傳承
[00:02:25.000 --> 00:02:30.000]  第二件事,你會發覺這段經文這麼短,有兩個字很有趣
[00:02:30.000 --> 00:02:34.000]  一開始是說「聖靈既然今之,他們」在亞細亞
[00:02:34.000 --> 00:02:40.000]  突然間去到後來的時間就是「保羅既看見者而著,我們隨即」
[00:02:40.000 --> 00:02:47.000]  你會發覺原來就是這個作者路加正正式式親身加入這個團隊
[00:02:47.000 --> 00:02:51.000]  其實為甚麼這段經文這麼重要呢?
[00:02:51.000 --> 00:02:56.000]  在我還未說之前,我想透過這張圖告訴大家,很有趣的
[00:02:56.000 --> 00:03:02.000]  聖經在《小徒行傳》裏面,我們經常說「聖靈行傳」
[00:03:02.000 --> 00:03:05.000]  我們一直在說聖靈帶領著整件事
[00:03:05.000 --> 00:03:09.000]  這段經文裏面其實很少會出現兩次
[00:03:09.000 --> 00:03:13.000]  就是「聖靈既然禁止他們」在那裏說到
[00:03:13.000 --> 00:03:18.000]  然後「聖耶穌的靈卻不許」,兩次
[00:03:18.000 --> 00:03:22.000]  我想大家留意這幅圖裏面,有趣的地方就是
[00:03:22.000 --> 00:03:25.000]  你會發覺一開始是在特肥出發
[00:03:25.000 --> 00:03:29.000]  在那裏認識了提摩太之後,然後他們一直上去
[00:03:29.000 --> 00:03:33.000]  其實去到就是那個叫做安提柯的地方
[00:03:33.000 --> 00:03:36.000]  其實這個行程真正的起點是從安提柯
[00:03:36.000 --> 00:03:41.000]  大家知道安提柯是他們做宣教很重要的一個起點
[00:03:41.000 --> 00:03:44.000]  然後我們發覺很有趣,聖經就是說
[00:03:44.000 --> 00:03:49.000]  其實保羅原本想從安提柯去到加拉太,繼續向東走
[00:03:49.000 --> 00:03:54.000]  但是聖靈沒有讓他這樣做,然後他就轉了彎
[00:03:54.000 --> 00:03:57.000]  轉了彎之後就進了佛雷加
[00:03:57.000 --> 00:04:03.000]  然後佛雷加他又想著要向上面那個比推尼那裏去
[00:04:03.000 --> 00:04:07.000]  他想著要去北,但是耶穌的靈又不讓
[00:04:07.000 --> 00:04:12.000]  然後他又繼續向前走,經過美西亞去到特朗亞
[00:04:12.000 --> 00:04:15.000]  如果大家知道,去到特朗亞之後就是坐船
[00:04:15.000 --> 00:04:19.000]  然後他們收到馬其頓的呼聲之後
[00:04:19.000 --> 00:04:22.000]  就在那裏坐船去到馬其頓的地方
[00:04:22.000 --> 00:04:25.000]  這段經文有趣的地方是甚麼呢?
[00:04:25.000 --> 00:04:30.000]  其實當大家看完之後,這個很強調的就是
[00:04:30.000 --> 00:04:34.000]  聖靈介入了在保羅的工作當中
[00:04:34.000 --> 00:04:37.000]  而在剛才的圖裏面,大家很清楚
[00:04:37.000 --> 00:04:42.000]  保羅是有他自己的計劃的,有他自己想做的事
[00:04:42.000 --> 00:04:48.000]  但是你會發覺很奇怪,剛才說為甚麼路加的加入這麼重要呢?
[00:04:48.000 --> 00:04:53.000]  如果大家知道,路加福音和小太陽傳都是路加作者
