
[00:00:00.000 --> 00:00:03.000]  「擴寬Touchout」
[00:00:03.000 --> 00:00:09.280]  很開心見到群玉在這裏做見證
[00:00:09.280 --> 00:00:11.920]  我記得我初初去錦繡堂的時候
[00:00:11.920 --> 00:00:14.920]  我就認識了群玉
[00:00:14.920 --> 00:00:18.360]  除了一方面她是很親切之外
[00:00:18.360 --> 00:00:22.640]  另外就是因為她的名字跟我自己舞堂的
[00:00:22.640 --> 00:00:26.920]  一位很老友的姊妹是一模一樣的
[00:00:26.920 --> 00:00:30.360]  所以我很快就記得她的名字了
[00:00:30.360 --> 00:00:33.160]  還有有時候搭地鐵走的時候
[00:00:33.160 --> 00:00:34.840]  也會跟她同車過
[00:00:34.840 --> 00:00:36.400]  今天聽到她分享
[00:00:36.400 --> 00:00:39.280]  很感恩 很感恩
[00:00:39.280 --> 00:00:43.240]  我們在同行全訪的時候
[00:00:43.240 --> 00:00:46.120]  有時候我們就會遇到一些問題
[00:00:46.120 --> 00:00:48.320]  就是當我們跟她說
[00:00:48.320 --> 00:00:49.960]  「你要信耶穌」
[00:00:49.960 --> 00:00:52.120]  「如果你信了耶穌之後」
[00:00:52.120 --> 00:00:55.920]  「你就會有這個永生的了」
[00:00:55.920 --> 00:00:58.280]  但是人們又會說
[00:00:58.280 --> 00:01:00.600]  「我現在沒有空住」
[00:01:00.600 --> 00:01:03.040]  「等我將來有空一點」
[00:01:03.040 --> 00:01:05.040]  「我退休了」
[00:01:05.040 --> 00:01:07.480]  「或者到我將來臨終之前」
[00:01:07.480 --> 00:01:09.480]  「我才信」
[00:01:09.480 --> 00:01:12.840]  其實想想曾珍是這樣的
[00:01:12.840 --> 00:01:16.320]  臨終之前信耶穌也挺好的
[00:01:16.320 --> 00:01:17.840]  又不用上崇拜
[00:01:17.840 --> 00:01:19.680]  又不用參與侍奉
[00:01:19.680 --> 00:01:22.480]  省下很多時間
[00:01:22.480 --> 00:01:24.920]  還有又不用做奉獻
[00:01:24.920 --> 00:01:27.520]  又可以省下很多錢
[00:01:27.520 --> 00:01:30.520]  但是呢
[00:01:30.520 --> 00:01:33.400]  在我們去讀《使徒信經》
[00:01:33.400 --> 00:01:34.600]  原來呢
[00:01:34.600 --> 00:01:37.000]  我很久沒有來洪恩講道了
[00:01:37.000 --> 00:01:40.560]  原來洪恩現在也在讀《使徒信經》
[00:01:40.560 --> 00:01:41.720]  你發到他
[00:01:41.720 --> 00:01:43.840]  在裡面講道
[00:01:43.840 --> 00:01:45.720]  「我信上帝」
[00:01:45.720 --> 00:01:47.600]  「全能的父」
[00:01:47.600 --> 00:01:51.120]  「創天造地的主」
[00:01:51.120 --> 00:01:53.400]  然後去到最後一句
[00:01:53.400 --> 00:01:55.920]  就是「我信永生」
[00:01:55.920 --> 00:01:57.440]  「我信永生」
[00:01:57.440 --> 00:02:00.120]  在整個《使徒信經》裡面
[00:02:00.120 --> 00:02:02.720]  就是在講我們的信仰
[00:02:02.720 --> 00:02:04.560]  在它開始的時候就說
[00:02:04.560 --> 00:02:06.160]  創造天地
[00:02:06.160 --> 00:02:08.160]  上帝創造天地
[00:02:08.160 --> 00:02:11.280]  但是這是以前的事
[00:02:11.280 --> 00:02:13.280]  是不是和現在沒有關係呢?
[00:02:13.280 --> 00:02:17.600]  上帝究竟有沒有繼續創造呢?
[00:02:17.600 --> 00:02:18.960]  到最後那句是
[00:02:18.960 --> 00:02:20.680]  「我信永生」
[00:02:20.680 --> 00:02:22.800]  這是不是將來的事
[00:02:22.800 --> 00:02:26.200]  又和我今生沒有關係呢?
[00:02:26.200 --> 00:02:27.200]  如果是這樣的話
[00:02:27.200 --> 00:02:30.480]  我用什麼來讀它呢?
[00:02:30.480 --> 00:02:31.920]  信耶穌
[00:02:31.920 --> 00:02:34.200]  是不是就是買了一張
[00:02:34.200 --> 00:02:36.600]  天堂的入場券
[00:02:36.600 --> 00:02:41.120]  那今生我可以喜歡怎麼做就怎麼做
[00:02:41.120 --> 00:02:42.920]  然後有什麼呢?
[00:02:42.920 --> 00:02:44.600]  臨終才改變
[00:02:44.600 --> 00:02:47.120]  好啊
[00:02:47.120 --> 00:02:49.320]  這個「我信永生」
