
[00:00:00.000 --> 00:00:07.080]  很感恩再次跟大家將神的話語彼此勸勉
[00:00:07.080 --> 00:00:10.760]  剛才的聖經很簡單
[00:00:10.760 --> 00:00:14.600]  當然你要知道背後的背景
[00:00:14.600 --> 00:00:16.480]  你就會明白
[00:00:16.480 --> 00:00:23.640]  以色列人當時的內心感動和感受
[00:00:23.640 --> 00:00:26.480]  這段聖經告訴我們
[00:00:26.480 --> 00:00:31.040]  有十分之一被抽籤、抽中的人
[00:00:31.040 --> 00:00:33.560]  他們好像抽中居屋一樣
[00:00:33.560 --> 00:00:37.920]  很開心能夠住在耶路撒冷
[00:00:37.920 --> 00:00:42.280]  他們能夠以住在耶路撒冷為榮
[00:00:42.280 --> 00:00:44.680]  甚至所有的以色列人
[00:00:44.680 --> 00:00:47.960]  為這些被抽中的人祝福
[00:00:47.960 --> 00:00:51.280]  這就是這段聖經的簡單意思
[00:00:51.280 --> 00:00:52.800]  我們一起祈禱
[00:00:52.800 --> 00:00:54.360]  多謝主
[00:00:54.360 --> 00:00:57.040]  我們能夠再次用聖餐
[00:00:57.040 --> 00:01:00.720]  去紀念十價的恩情
[00:01:00.720 --> 00:01:04.000]  這個不能改變的事實
[00:01:04.000 --> 00:01:06.160]  造物主來到這個世界
[00:01:06.160 --> 00:01:07.640]  將我們拯救
[00:01:07.640 --> 00:01:08.960]  認識我們
[00:01:08.960 --> 00:01:11.560]  用永恆的愛愛我們
[00:01:11.560 --> 00:01:12.720]  多謝主
[00:01:12.720 --> 00:01:15.400]  這份愛將我們的生命改變
[00:01:15.400 --> 00:01:16.960]  我們獻上感謝
[00:01:16.960 --> 00:01:19.400]  弘恩加呈現在你的面前
[00:01:19.400 --> 00:01:22.280]  讓我們能夠深深地感受
[00:01:22.280 --> 00:01:25.760]  我們的幸福是來自神的
[00:01:25.760 --> 00:01:27.800]  我們這樣感恩禱告
[00:01:27.800 --> 00:01:30.200]  奉耶穌基督的名
[00:01:30.200 --> 00:01:31.480]  阿們
[00:01:31.480 --> 00:01:32.840]  在你的人生中
[00:01:32.840 --> 00:01:39.480]  有沒有曾經以居住在某一個地區為恥辱
