
[00:00:00.000 --> 00:00:02.000]  洪恩堂弟兄姊妹平安
[00:00:02.000 --> 00:00:03.000]  平安
[00:00:03.000 --> 00:00:07.000]  今日是洪恩堂十週年的堂慶崇拜
[00:00:07.000 --> 00:00:15.000]  我在兩個月之前已經在想要講一篇甚麼訊息給大家聽
[00:00:15.000 --> 00:00:18.000]  我想起傳道書裏面一句經文
[00:00:18.000 --> 00:00:23.000]  它說拆毀有時 建造有時
[00:00:23.000 --> 00:00:26.000]  究竟洪恩家過往的歷史裏面
[00:00:26.000 --> 00:00:29.000]  有沒有被神拆毀過
[00:00:29.000 --> 00:00:32.000]  有沒有被神建造過
[00:00:32.000 --> 00:00:37.000]  如果是拆毀的 神拆毀了甚麼
[00:00:37.000 --> 00:00:41.000]  如果是建造的 神又建造了甚麼
[00:00:41.000 --> 00:00:47.000]  我覺得今日的經文很適合洪恩堂的堂慶崇拜的訊息
[00:00:47.000 --> 00:00:50.000]  我想用以色列記錄章十三至二十節
[00:00:50.000 --> 00:00:56.000]  和大家分享幾個在洪恩家侍奉的神學反省
[00:00:56.000 --> 00:00:58.000]  我們一起去祈禱
[00:00:58.000 --> 00:01:06.000]  感謝主洪恩家在主的恩典蔭蔽底下已經經過了十年
[00:01:06.000 --> 00:01:09.000]  主的恩典數之不盡
[00:01:09.000 --> 00:01:13.000]  我們需要在不同的恩典裏面不斷地反思
[00:01:13.000 --> 00:01:17.000]  讓我們的心意能夠更生而變化
[00:01:17.000 --> 00:01:23.000]  測驗何謂神的善良 純存可喜悅的旨意
[00:01:23.000 --> 00:01:28.000]  每一個恩典都可以讓我們生命有所成長
[00:01:28.000 --> 00:01:33.000]  每一個恩典都可以令我們心意更生而變化
[00:01:33.000 --> 00:01:38.000]  最終就是要知道主的心意是甚麼
[00:01:38.000 --> 00:01:42.000]  好讓教會能夠按著你的心意而行
[00:01:42.000 --> 00:01:46.000]  再一次感謝主賜給洪恩家的一切
[00:01:46.000 --> 00:01:51.000]  讓我們可以成全初心 再次起步
[00:01:51.000 --> 00:01:57.000]  我們的祈禱是奉教主耶穌基督得聖名字祈求 阿們
[00:01:57.000 --> 00:02:04.000]  我們進入經文之前一起了解一下當時的一些背景
[00:02:04.000 --> 00:02:07.000]  我們知道自從所羅門死了之後
[00:02:07.000 --> 00:02:11.000]  以色列就分裂為南北兩國
[00:02:11.000 --> 00:02:18.000]  不過以色列在耶羅幫安領導底下脫離了大衛家的統治
[00:02:18.000 --> 00:02:25.000]  聯盟了北部十個支派 成立了獨立王國 建都在事件
[00:02:25.000 --> 00:02:31.000]  不過所有的王都行耶羅華眼中看為惡的事
[00:02:31.000 --> 00:02:37.000]  最後順藉著亞述攻陷北角 將百姓擄去亞述
[00:02:37.000 --> 00:02:40.000]  北角正式滅亡
[00:02:40.000 --> 00:02:47.000]  南國稱為猶大 屬大衛家的猶大支派所統治
[00:02:47.000 --> 00:02:54.000]  猶大的王好壞參半 其中出現過希西加的改革運動
[00:02:54.000 --> 00:03:00.000]  不過由於馬拿西所犯的罪太惹神厭惡
[00:03:00.000 --> 00:03:07.000]  耶羅華不願意赦免他的罪 要將猶大趕出應許之地
[00:03:07.000 --> 00:03:12.000]  最後神也藉著巴比倫攻陷耶路撒冷
[00:03:12.000 --> 00:03:17.000]  將百姓擄去巴比倫 南角亦正式滅亡
[00:03:17.000 --> 00:03:23.000]  整個以色列民族開始經歷局破家亡之苦
[00:03:23.000 --> 00:03:27.000]  當時先知耶利米曾經預言過
[00:03:27.000 --> 00:03:34.000]  神應許他們七十年後可以重返耶路撒冷
[00:03:34.000 --> 00:03:41.000]  隨著亞述被巴比倫吞併 巴比倫又被波斯打敗
[00:03:41.000 --> 00:03:49.000]  以色列百姓不斷被不同的統治者遷移到不同的地方居住
[00:03:49.000 --> 00:03:52.000]  在異地漂泊
[00:03:52.000 --> 00:04:00.000]  經過七十年後 當時的波斯王古列大帝採取開放政策
[00:04:00.000 --> 00:04:05.000]  攀下玉子 讓秘魯的民可以歸回原居地
[00:04:05.000 --> 00:04:09.000]  重建自己的家園和奠宇
[00:04:09.000 --> 00:04:16.000]  當時神就感動所羅巴伯帶領了四萬九千八百九十七人
