
[00:00:00.000 --> 00:00:04.000]  各位紅印堂弟兄姊妹平安
[00:00:04.000 --> 00:00:08.000]  首先再一次多謝教會的邀請
[00:00:08.000 --> 00:00:11.000]  可以在這裡分享上帝的說話
[00:00:11.000 --> 00:00:15.000]  我收到的講題是聖靈的果子
[00:00:15.000 --> 00:00:18.000]  加拉太書是這樣說的
[00:00:18.000 --> 00:00:28.000]  聖靈的果子就是人愛、喜樂、和平、忍耐、恩慈、良善、信實、溫柔、節制
[00:00:28.000 --> 00:00:32.000]  這些事沒有律法可以禁止
[00:00:32.000 --> 00:00:37.000]  以上的經文或許對你來說已經是非常熟悉了
[00:00:37.000 --> 00:00:42.000]  當想起基督徒應該具備什麼樣的品格
[00:00:42.000 --> 00:00:45.000]  我們很自然就會想起這九條
[00:00:45.000 --> 00:00:50.000]  曾經何時我們會買聖靈的果子一式九款的書籤
[00:00:50.000 --> 00:00:53.000]  送給團友或組員
[00:00:53.000 --> 00:01:00.000]  去勉勵教會的肢體鼓勵他們要追求人愛、喜樂、和平
[00:01:00.000 --> 00:01:05.000]  不能否認基督徒當然要注重品格
[00:01:05.000 --> 00:01:09.000]  這九種的美德也是我們所嚮往的
[00:01:09.000 --> 00:01:12.000]  不過根據《尚文》下里
[00:01:12.000 --> 00:01:19.000]  我們會發現修煉這些品格並不是使徒保羅寫這封信的目的
[00:01:19.000 --> 00:01:21.000]  原因有兩個
[00:01:21.000 --> 00:01:28.000]  第一 保羅說這九種美德是聖靈所結的果
[00:01:28.000 --> 00:01:32.000]  也就是說這種美德的流露是結果
[00:01:32.000 --> 00:01:34.000]  而不是修煉的起點
[00:01:34.000 --> 00:01:39.000]  就好像讀書時代每一年結業禮一樣
[00:01:39.000 --> 00:01:44.000]  我們或許會為每位得獎的同學而鼓掌
[00:01:44.000 --> 00:01:49.000]  期待自己都可以成為台上領獎的人
[00:01:49.000 --> 00:01:52.000]  但是學年已經完結了
[00:01:52.000 --> 00:01:57.000]  我們再不能夠時光倒流改變這個結果
[00:01:57.000 --> 00:02:02.000]  所以保羅向當時的信徒羅列出這些美德
[00:02:02.000 --> 00:02:06.000]  並不是要列一張屬靈成長的清單
[00:02:06.000 --> 00:02:08.000]  告訴當時的信徒
[00:02:08.000 --> 00:02:11.000]  哪些地方已經很好
[00:02:11.000 --> 00:02:13.000]  哪些地方要努力一點
[00:02:13.000 --> 00:02:16.000]  你要學會人愛、喜樂
[00:02:16.000 --> 00:02:19.000]  可能你的忍耐要多一點
[00:02:19.000 --> 00:02:22.000]  並不是這樣的我們相信的目的
[00:02:22.000 --> 00:02:28.000]  第二 保羅說這些是聖靈所結的果
[00:02:28.000 --> 00:02:32.000]  也就是說這也不是我們可以修煉出來的
[00:02:32.000 --> 00:02:35.000]  而是聖靈修成正果
[00:02:35.000 --> 00:02:38.000]  不是我們修成正果
[00:02:38.000 --> 00:02:43.000]  所以保羅當時要求信徒關注的
[00:02:43.000 --> 00:02:46.000]  並不是要找出修煉品格的方法
[00:02:46.000 --> 00:02:49.000]  因為這是聖靈的工作
[00:02:49.000 --> 00:02:52.000]  信徒理應關注的是什麼呢?
[00:02:52.000 --> 00:02:54.000]  信徒理應關注的是
[00:02:54.000 --> 00:02:57.000]  當我們相信主耶穌
[00:02:57.000 --> 00:03:00.000]  上帝的靈已經和我們同在
[00:03:00.000 --> 00:03:05.000]  我們如何可以讓聖靈在我們身上發揮作用
[00:03:05.000 --> 00:03:09.000]  以至教會當我們在群體相處的裡面
[00:03:09.000 --> 00:03:14.000]  能夠流露出聖靈帶來的美德呢?
[00:03:14.000 --> 00:03:16.000]  弟兄姊妹
[00:03:16.000 --> 00:03:20.000]  當大家經歷了三年的抗疫
[00:03:20.000 --> 00:03:26.000]  當生活的節奏反覆被中斷又再度恢復的時候
