
[00:00:00.000 --> 00:00:05.320]  有人說:人之將死,其言也善。
[00:00:05.320 --> 00:00:09.280]  當然,人的生命已經去到盡頭,
[00:00:09.280 --> 00:00:11.720]  亦毋須說謊。
[00:00:11.720 --> 00:00:16.000]  不過,對於一個重要領袖去臨終遺言,
[00:00:16.000 --> 00:00:20.920]  不單說的是要真,亦要有善意。
[00:00:20.920 --> 00:00:22.560]  因為作為一個領袖,
[00:00:22.560 --> 00:00:24.560]  需要向所帶領的群體
[00:00:24.560 --> 00:00:27.640]  說出一個未來的展望和預測,
[00:00:27.640 --> 00:00:30.880]  讓下一代能有一個清晰的藍圖,
[00:00:30.880 --> 00:00:34.720]  作為對下一代的指引和發展方向。
[00:00:34.720 --> 00:00:39.400]  在聖經裏面有很多重要人物的遺言,
[00:00:39.400 --> 00:00:43.200]  往往都是涉及未來的重要提示。
[00:00:43.200 --> 00:00:45.960]  如亞各的遺言,
[00:00:45.960 --> 00:00:49.160]  涉及以色列十二支派的未來;
[00:00:49.160 --> 00:00:51.320]  摩西的遺言,
[00:00:51.320 --> 00:00:54.720]  涉及以色列人入迦南的未來;
[00:00:54.720 --> 00:00:57.000]  約書亞的遺言,
[00:00:57.000 --> 00:01:02.000]  涉及十二支派在迦南分地後的未來;
[00:01:02.000 --> 00:01:04.160]  撒姆爾的遺言,
[00:01:04.160 --> 00:01:08.200]  涉及以色列立王後的未來;
[00:01:08.200 --> 00:01:10.360]  大衛的遺言,
[00:01:10.360 --> 00:01:14.880]  涉及大衛王朝的承傳未來。
[00:01:14.880 --> 00:01:19.280]  今日很想透過《列王記》上二章一至九節,
[00:01:19.280 --> 00:01:23.000]  從大衛向所羅門的遺言中,
[00:01:23.000 --> 00:01:26.280]  和大家探討兩個信仰的重點,
[00:01:26.280 --> 00:01:29.720]  我們一起去祈禱。
[00:01:29.720 --> 00:01:31.960]  感謝主我們有祢的話語,
[00:01:31.960 --> 00:01:34.040]  作為我們生命的陀,
[00:01:34.040 --> 00:01:38.560]  亦有聖靈指引著我們生命的方向,
[00:01:38.560 --> 00:01:40.280]  祢的憐憫、保守,
[00:01:40.280 --> 00:01:42.880]  叫我們不會偏離航道,
[00:01:42.880 --> 00:01:44.200]  祢的提醒,
[00:01:44.200 --> 00:01:47.360]  亦都讓我們能夠按著祢的心意而行,
[00:01:47.360 --> 00:01:50.120]  求祢繼續施恩典、憐憫,
[00:01:50.120 --> 00:01:51.920]  好叫我們的屬靈生命,
[00:01:51.920 --> 00:01:53.840]  每日都能夠成長,
[00:01:53.840 --> 00:01:56.680]  被祢使用,榮耀主名。
[00:01:56.680 --> 00:01:59.440]  我們在祈禱,奉主耶穌聖名祈求。
[00:01:59.440 --> 00:02:01.440]  阿們。
[00:02:01.600 --> 00:02:04.200]  在大衛對所羅門的遺訓中,
[00:02:04.200 --> 00:02:06.680]  大致分為兩個部分,
[00:02:06.680 --> 00:02:08.840]  在第二至第四節中,
[00:02:08.840 --> 00:02:13.360]  內容與神和以色列王國有關,
[00:02:13.360 --> 00:02:18.200]  第五至第九節內容與人有關。
[00:02:18.200 --> 00:02:21.400]  我們先看看大衛遺言的第一部分,
[00:02:21.400 --> 00:02:23.600]  在第一部分,
[00:02:23.600 --> 00:02:25.840]  是說遵守神的話語,
[00:02:25.840 --> 00:02:28.760]  作為承傳給下一代的教導,
[00:02:28.760 --> 00:02:32.640]  我們再看看第二至第三節,
[00:02:32.640 --> 00:02:35.080]  「我要走世人必走的路,
[00:02:35.080 --> 00:02:38.080]  你當剛強,作大丈夫。」
