
[00:00:00.000 --> 00:00:05.000]  各位靜姐妹平安
[00:00:05.000 --> 00:00:08.000]  我今次是第幾次來貴價會廣道
[00:00:08.000 --> 00:00:10.000]  即是來過第一次
[00:00:10.000 --> 00:00:12.000]  我第一次有介紹過我背景
[00:00:12.000 --> 00:00:15.000]  我未做這行之前我是做哪一行
[00:00:15.000 --> 00:00:17.000]  於是我們就玩一次
[00:00:17.000 --> 00:00:18.000]  訓導主任叻
[00:00:18.000 --> 00:00:20.000]  訓導主任之後跟住做校長
[00:00:20.000 --> 00:00:23.000]  在我做校長工作的時候
[00:00:23.000 --> 00:00:24.000]  做老師工作的時候
[00:00:24.000 --> 00:00:26.000]  很喜歡同同學玩一個小遊戲
[00:00:26.000 --> 00:00:27.000]  叫做老師畫
[00:00:27.000 --> 00:00:28.000]  我現在就同你玩
[00:00:28.000 --> 00:00:30.000]  怎樣玩呢
[00:00:30.000 --> 00:00:33.000]  就是如果我待會請你給一個指令
[00:00:33.000 --> 00:00:36.000]  前面有老師說你先好跟住做
[00:00:36.000 --> 00:00:38.000]  如果沒有老師說
[00:00:38.000 --> 00:00:39.000]  就這樣給你一個指令
[00:00:39.000 --> 00:00:40.000]  你不要跟住做
[00:00:40.000 --> 00:00:41.000]  如果你跟住做
[00:00:41.000 --> 00:00:42.000]  就不聽老師的話
[00:00:42.000 --> 00:00:44.000]  那你就輸了
[00:00:44.000 --> 00:00:46.000]  老師說舉起你的右手
[00:00:46.000 --> 00:00:47.000]  放下
[00:00:47.000 --> 00:00:49.000]  輸了一半了
[00:00:49.000 --> 00:00:51.000]  就是這麼簡單
[00:00:51.000 --> 00:00:52.000]  大家都不聽老師的話
[00:00:52.000 --> 00:00:54.000]  再來一次
[00:00:54.000 --> 00:00:56.000]  老師說舉起左手
[00:00:56.000 --> 00:00:58.000]  舉起右手
[00:00:58.000 --> 00:00:59.000]  站起來
[00:00:59.000 --> 00:01:00.000]  厲害了
[00:01:00.000 --> 00:01:01.000]  沒有人站起來了
[00:01:01.000 --> 00:01:02.000]  請放下
[00:01:02.000 --> 00:01:03.000]  這個小遊戲
[00:01:03.000 --> 00:01:05.000]  在我做校長工作的時候
[00:01:05.000 --> 00:01:06.000]  經常跟小朋友玩
[00:01:06.000 --> 00:01:08.000]  因為有很多寓意
[00:01:08.000 --> 00:01:10.000]  可以用這個小遊戲
[00:01:10.000 --> 00:01:12.000]  跟同學來分享
[00:01:12.000 --> 00:01:13.000]  可以轉做老師畫
[00:01:13.000 --> 00:01:14.000]  校長畫
[00:01:14.000 --> 00:01:15.000]  媽畫
[00:01:15.000 --> 00:01:16.000]  爸爸畫
[00:01:16.000 --> 00:01:17.000]  四大長老畫
[00:01:17.000 --> 00:01:18.000]  等等都可以
[00:01:18.000 --> 00:01:20.000]  頂姐妹我們記憶圖
[00:01:20.000 --> 00:01:22.000]  我們聽誰話
[00:01:22.000 --> 00:01:23.000]  對啦
[00:01:23.000 --> 00:01:24.000]  聽耶穌畫
[00:01:24.000 --> 00:01:26.000]  耶穌的說話
[00:01:26.000 --> 00:01:28.000]  有些很合聽的
[00:01:28.000 --> 00:01:30.000]  有些我們覺得
