
[00:00:00.000 --> 00:00:07.000]  (拍攝)
[00:00:07.000 --> 00:00:08.000]  電影姊妹早晨
[00:00:08.000 --> 00:00:09.000]  早晨
[00:00:09.000 --> 00:00:11.000]  感謝神的恩典
[00:00:11.000 --> 00:00:13.000]  讓我們今天仍然有生命氣息
[00:00:13.000 --> 00:00:15.000]  來到祂的面前去敬拜祂
[00:00:15.000 --> 00:00:19.000]  下個星期就是農曆新年了
[00:00:19.000 --> 00:00:21.000]  大家會不會很期待呢?
[00:00:21.000 --> 00:00:23.000]  雖然因為疫症的緣故
[00:00:23.000 --> 00:00:26.000]  我們少了機會去見親友
[00:00:26.000 --> 00:00:29.000]  但是我深信大家會很珍惜這個機會
[00:00:29.000 --> 00:00:31.000]  因為是一個很好的假期
[00:00:31.000 --> 00:00:33.000]  我們可以好好休息
[00:00:33.000 --> 00:00:36.000]  下個星期除了農曆新年
[00:00:36.000 --> 00:00:38.000]  也是情人節
[00:00:38.000 --> 00:00:41.000]  絕對是一個很好的機會
[00:00:41.000 --> 00:00:44.000]  可以向身邊的人表達愛意
[00:00:44.000 --> 00:00:45.000]  說到情人節
[00:00:45.000 --> 00:00:50.000]  不知道大家最喜歡聽到的情話是什麼呢?
[00:00:50.000 --> 00:00:52.000]  如果有人跟你說
[00:00:52.000 --> 00:00:57.000]  唯獨你是不可取替的
[00:00:57.000 --> 00:01:00.000]  你有什麼感受?
[00:01:00.000 --> 00:01:03.000]  是否開心?
[00:01:03.000 --> 00:01:07.000]  這句話是不是覺得很熟悉呢?
[00:01:07.000 --> 00:01:08.000]  很可惜
[00:01:08.000 --> 00:01:11.000]  大部分電影姊妹現在都是在
[00:01:11.000 --> 00:01:13.000]  看我們的網上直播
[00:01:13.000 --> 00:01:15.000]  不是在現場
[00:01:15.000 --> 00:01:17.000]  你在現場我可能會叫你舉手
[00:01:17.000 --> 00:01:19.000]  有沒有聽過這句話呢?
[00:01:19.000 --> 00:01:21.000]  一舉手就暴露了自己
[00:01:21.000 --> 00:01:24.000]  是不是跟我同年代呢?
