
[00:00:00.000 --> 00:00:10.000]  大姐姐們 早安 感謝神今天有機會和大家分享
[00:00:10.000 --> 00:00:14.000]  我想問一下剛才Ken的太太是誰?
[00:00:14.000 --> 00:00:18.000]  哦 難怪你今天唱歌唱得這麼開心
[00:00:18.000 --> 00:00:21.000]  應該最開心的是你太太
[00:00:21.000 --> 00:00:26.000]  因為看到身邊的人的轉變其實是一種很大的興奮
[00:00:26.000 --> 00:00:28.000]  剛才Ken分享的時候令我想起一個片段
[00:00:28.000 --> 00:00:30.000]  就是我媽媽 為什麼呢?
[00:00:30.000 --> 00:00:34.000]  因為我家裡也是這樣 從小到大他們都去拜偶像
[00:00:34.000 --> 00:00:39.000]  他們家人每年都接醫治 做很多事情
[00:00:39.000 --> 00:00:44.000]  到了年老之後 偶像就沒有機會再做了 為什麼呢?
[00:00:44.000 --> 00:00:46.000]  因為我們家人一個一個信著
[00:00:46.000 --> 00:00:52.000]  以前由我們開始 誰誰誰負責葬香 你們明白的
[00:00:52.000 --> 00:00:56.000]  信了耶穌之後 誰誰誰做 阿妹做
[00:00:56.000 --> 00:01:00.000]  全家都信了主之後 沒人再去葬了
[00:01:00.000 --> 00:01:04.000]  我媽媽又老了 她又不能再去葬了
[00:01:04.000 --> 00:01:06.000]  所以就放在神桌上
[00:01:06.000 --> 00:01:08.000]  很多年之後我們問她
[00:01:08.000 --> 00:01:14.000]  媽媽 說真的 你又不再去葬香了 你放在那裡做什麼?
[00:01:14.000 --> 00:01:21.000]  她說 我不能去葬 放在那裡吧 別理她吧
[00:01:21.000 --> 00:01:25.000]  我想說我媽媽的感覺是什麼呢?
[00:01:25.000 --> 00:01:30.000]  她不敢去 她又不相信
[00:01:30.000 --> 00:01:32.000]  最奇妙的就是
[00:01:32.000 --> 00:01:37.000]  我說不如我們祈禱吧 如果有機會我們就去吧
[00:01:37.000 --> 00:01:41.000]  有一次我媽媽回鄉的時候
[00:01:41.000 --> 00:01:47.000]  突然有一天神桌整個斜了下來
[00:01:47.000 --> 00:01:51.000]  像是在叫什麼 比薩斜塔一樣
[00:01:51.000 --> 00:01:55.000]  我弟弟馬上通知我妹妹
[00:01:55.000 --> 00:01:57.000]  去和我媽媽在鄉下
[00:01:57.000 --> 00:02:01.000]  神桌斜了下來 我媽媽就扔了它
[00:02:01.000 --> 00:02:06.000]  所以我想說很多時候是一種心結
[00:02:06.000 --> 00:02:09.000]  所以上帝會做工作的 很奇妙的
[00:02:09.000 --> 00:02:13.000]  大家都可以一起去為家裡有需要的禱告
[00:02:13.000 --> 00:02:17.000]  今天和大家分享這段經文
[00:02:17.000 --> 00:02:19.000]  也是一本我很喜歡的書
[00:02:19.000 --> 00:02:24.000]  我被蒙召去做傳道人
[00:02:24.000 --> 00:02:27.000]  也是這本書裡有一節很有名的金句
[00:02:27.000 --> 00:02:30.000]  約書亞記第一章第九節
[00:02:30.000 --> 00:02:32.000]  你們不要懼怕 也不要驚慌
[00:02:32.000 --> 00:02:36.000]  因為無論往哪裡去 耶和華的神都必與你同在
[00:02:36.000 --> 00:02:41.000]  整個約書亞記其實是整本書一本很特別的書
[00:02:41.000 --> 00:02:48.000]  為什麼呢 因為整本書裡只有約書亞記是一路勝利的
[00:02:48.000 --> 00:02:56.000]  基本上在裡面 約書亞記只曾經有一次很細微的錯誤
[00:02:56.000 --> 00:02:59.000]  而令他們輸給艾成
[00:02:59.000 --> 00:03:03.000]  因為他們沒有依靠上帝 他們靠自己
[00:03:03.000 --> 00:03:08.000]  所以後來輸了 而之後所有的戰役全部都是贏的
[00:03:08.000 --> 00:03:11.000]  所以這本書特別的地方是什麼呢
[00:03:11.000 --> 00:03:15.000]  它是奠定了一些屬於上帝的軍隊
[00:03:15.000 --> 00:03:17.000]  我形容為屬於上帝的軍隊
[00:03:17.000 --> 00:03:20.000]  當你要走上帝的路的時候
[00:03:20.000 --> 00:03:23.000]  一些很重要的基礎 特別第一章
[00:03:23.000 --> 00:03:25.000]  如果大家有機會可以回去看
[00:03:25.000 --> 00:03:28.000]  第一章 由第一節到第九節
[00:03:28.000 --> 00:03:33.000]  其實當時是在說上帝再一次呼召約書亞
[00:03:33.000 --> 00:03:38.000]  呼召約書亞接替摩西成為大領者
[00:03:38.000 --> 00:03:45.000]  但問題是你會發覺在第一節到第九節有一個特色
[00:03:45.000 --> 00:03:49.000]  就是在第六 第七 第九節的經文裡
[00:03:49.000 --> 00:03:51.000]  不斷重複著一個主題
[00:03:51.000 --> 00:03:55.000]  就是你不要懼怕 你不要驚慌
[00:03:55.000 --> 00:03:57.000]  不斷說 其實我就是想說
[00:03:57.000 --> 00:04:00.000]  什麼人才會不斷跟他說你不要怕
[00:04:00.000 --> 00:04:02.000]  就是你很怕
[00:04:02.000 --> 00:04:05.000]  其實我想說約書亞在他的背景裡
[00:04:05.000 --> 00:04:09.000]  沒錯 我很相信上帝
[00:04:09.000 --> 00:04:12.000]  我很願意跟從上帝
[00:04:12.000 --> 00:04:14.000]  但不是代表他不怕
[00:04:14.000 --> 00:04:18.000]  問題是他以前一直是一個副手
[00:04:18.000 --> 00:04:21.000]  他不是大領的那個
[00:04:21.000 --> 00:04:24.000]  如果大家留意約書亞的特色是什麼呢
[00:04:24.000 --> 00:04:25.000]  他很馴服
[00:04:25.000 --> 00:04:26.000]  他馴服是什麼呢
[00:04:26.000 --> 00:04:30.000]  他馴服就是經過摩西馴服
[00:04:30.000 --> 00:04:33.000]  就是說摩西叫我做什麼我就做什麼
[00:04:33.000 --> 00:04:34.000]  他習慣了做這個角色
[00:04:34.000 --> 00:04:36.000]  也做得非常好
[00:04:36.000 --> 00:04:38.000]  如果大家記得他們那次打亞馬利人的時候
[00:04:38.000 --> 00:04:41.000]  記得摩西舉高之上舉到手軟
[00:04:41.000 --> 00:04:44.000]  其中一個就是約書亞
[00:04:44.000 --> 00:04:46.000]  你過來幫我托住手
[00:04:46.000 --> 00:04:50.000]  他就是很忠心地完成了摩西叫他做的事之後
[00:04:50.000 --> 00:04:53.000]  你會發覺那件事就成就
[00:04:53.000 --> 00:05:01.000]  透過摩西去看加南的時候
[00:05:01.000 --> 00:05:05.000]  他也是其中一個很相信上帝的人
[00:05:05.000 --> 00:05:07.000]  我想強調他的特性就是
[00:05:07.000 --> 00:05:11.000]  他很忠於上帝所給他的託付
[00:05:11.000 --> 00:05:13.000]  他對上帝很有信心
[00:05:13.000 --> 00:05:15.000]  但他很怕
[00:05:15.000 --> 00:05:18.000]  所以第一至第九節的時候不斷重覆
[00:05:18.000 --> 00:05:21.000]  上帝必與你同在
[00:05:21.000 --> 00:05:24.000]  如果你是上帝的軍隊的話
[00:05:24.000 --> 00:05:26.000]  你必須要首先確定
[00:05:26.000 --> 00:05:29.000]  上帝一定與你同在
[00:05:29.000 --> 00:05:31.000]  今天我們做基督徒
[00:05:31.000 --> 00:05:33.000]  其中一個很重要的地方就是
[00:05:33.000 --> 00:05:36.000]  你要記住你要做得很有信心
[00:05:36.000 --> 00:05:41.000]  你要做得非常有勇氣
[00:05:41.000 --> 00:05:44.000]  這樣才能夠告訴別人
[00:05:44.000 --> 00:05:46.000]  我誇張一點
[00:05:46.000 --> 00:05:48.000]  你不要怪鄧全
[00:05:48.000 --> 00:05:50.000]  我以前是做話劇的
[00:05:50.000 --> 00:05:53.000]  所以有時候我講的會比較誇張一點
[00:05:53.000 --> 00:05:54.000]  譬如很簡單
[00:05:54.000 --> 00:05:56.000]  你找到一顆糖
[00:05:56.000 --> 00:05:58.000]  很好吃
[00:05:58.000 --> 00:06:01.000]  然後你很想介紹給你的朋友吃
[00:06:01.000 --> 00:06:04.000]  你的表情是怎樣的
[00:06:04.000 --> 00:06:07.000]  很好吃啊
[00:06:07.000 --> 00:06:09.000]  很好吃
[00:06:09.000 --> 00:06:12.000]  吃到別人流口水都很想吃那顆糖
[00:06:12.000 --> 00:06:13.000]  然後你回味了
[00:06:13.000 --> 00:06:15.000]  很好吃啊
[00:06:15.000 --> 00:06:16.000]  那顆糖很好吃
[00:06:16.000 --> 00:06:17.000]  你試一下
[00:06:17.000 --> 00:06:18.000]  你吃不吃啊
[00:06:18.000 --> 00:06:20.000]  你不會的
[00:06:20.000 --> 00:06:22.000]  我想強調的是
[00:06:22.000 --> 00:06:23.000]  我們做基督徒
[00:06:23.000 --> 00:06:24.000]  首先我們要很清楚
[00:06:24.000 --> 00:06:26.000]  我們的上帝你要確信
[00:06:26.000 --> 00:06:30.000]  上帝是你唯一的救贖
[00:06:30.000 --> 00:06:34.000]  上帝是你唯一的出路
[00:06:34.000 --> 00:06:36.000]  你要有這種勇氣
[00:06:36.000 --> 00:06:38.000]  才能夠介紹給別人聽
[00:06:38.000 --> 00:06:40.000]  這個上帝是值得去信的
[00:06:40.000 --> 00:06:43.000]  所以上帝在這裡跟約書亞說
[00:06:43.000 --> 00:06:45.000]  我一定與你同在
[00:06:45.000 --> 00:06:47.000]  所以在這方面他是沒有問題的
