
[00:00:00.000 --> 00:00:02.000]  陳浩思
[00:00:02.000 --> 00:00:12.480]  你們兩個都姓陳的
[00:00:12.480 --> 00:00:14.480]  謝謝
[00:00:14.480 --> 00:00:19.480]  我也要扮陳友站在這裡
[00:00:19.480 --> 00:00:25.080]  陳友唱歌大家有沒有共鳴
[00:00:25.080 --> 00:00:27.080]  很有共鳴
[00:00:27.080 --> 00:00:29.080]  他的見證是不是很感人
[00:00:29.080 --> 00:00:31.080]  很感動
[00:00:31.080 --> 00:00:33.080]  我們真的發覺
[00:00:33.080 --> 00:00:35.080]  陳友和他太太的經歷
[00:00:35.080 --> 00:00:37.080]  他不是時必要告訴我們
[00:00:37.080 --> 00:00:39.080]  你明白我的意思
[00:00:39.080 --> 00:00:41.080]  但是他真的很真誠地
[00:00:41.080 --> 00:00:43.080]  將他的經驗
[00:00:43.080 --> 00:00:45.080]  經歷一五一十
[00:00:45.080 --> 00:00:47.080]  告訴我們
[00:00:47.080 --> 00:00:49.080]  我們真的心很感動
[00:00:49.080 --> 00:00:51.080]  所以今天來這個聚會
[00:00:51.080 --> 00:00:53.080]  是不是很感恩
[00:00:53.080 --> 00:00:55.080]  我們不如再次用掌聲
[00:00:55.080 --> 00:00:57.080]  將榮耀歸給天父
[00:00:57.080 --> 00:01:01.080]  特別我們今天很開心見到
[00:01:01.080 --> 00:01:03.080]  不單有陳友和他太太Pauline
[00:01:03.080 --> 00:01:05.080]  兩位一起
[00:01:05.080 --> 00:01:07.080]  在我們當中
[00:01:07.080 --> 00:01:09.080]  特別Pauline是陳友背後
[00:01:09.080 --> 00:01:11.080]  一個很重要的女人
[00:01:11.080 --> 00:01:15.080]  因為神做男做女
[00:01:15.080 --> 00:01:17.080]  是很奇妙的
[00:01:17.080 --> 00:01:21.080]  我剛開始的時候已經跟陳友說
[00:01:21.080 --> 00:01:23.080]  我說你放心
[00:01:23.080 --> 00:01:25.080]  我會說到
[00:01:25.080 --> 00:01:27.080]  長短火的
[00:01:27.080 --> 00:01:31.080]  你暢所欲言
[00:01:31.080 --> 00:01:33.080]  你如果有感動
[00:01:33.080 --> 00:01:35.080]  你就盡量說
