
[00:00:00.000 --> 00:00:02.000]  (主席) 各位節目早安
[00:00:02.000 --> 00:00:05.000]  (主席) 很多謝洪恩唐邀請 曾牧師
[00:00:05.000 --> 00:00:08.000]  (主席) 邀請讓我這次
[00:00:08.000 --> 00:00:11.000]  (主席) 六十幾歲的人都會做一些以前沒做過的事情
[00:00:11.000 --> 00:00:13.000]  (主席) 有些人說
[00:00:13.000 --> 00:00:16.000]  (主席) 臨死之前要跳一次降落傘
[00:00:16.000 --> 00:00:20.000]  (主席) 搭飛機上去 單引擎飛機上去
[00:00:20.000 --> 00:00:23.000]  (主席) 跳下去 之類之類
[00:00:23.000 --> 00:00:27.000]  (主席) 今天就是我第一次
[00:00:27.000 --> 00:00:30.000]  (主席) 第一次進入洪水橋這個位置
[00:00:30.000 --> 00:00:34.000]  (主席) 未進過元朗屯門 天水圍都進過
[00:00:34.000 --> 00:00:37.000]  (主席) 但去到洪水橋這個位置就是第一次
[00:00:37.000 --> 00:00:39.000]  (主席) 我不知道大家
[00:00:39.000 --> 00:00:42.000]  (主席) 其實我香港很多地方都沒去過
[00:00:42.000 --> 00:00:45.000]  (主席) 雖然那幾年的疫情
[00:00:45.000 --> 00:00:47.000]  (主席) 香港人本來就喜歡出去
[00:00:47.000 --> 00:00:49.000]  (主席) 一向都喜歡出去
[00:00:49.000 --> 00:00:51.000]  (主席) 因為香港覺得自己是很小的地方
[00:00:51.000 --> 00:00:53.000]  (主席) 最重要是出去 飛出去 到處玩
[00:00:53.000 --> 00:00:55.000]  (主席) 我們去我們的後花園
[00:00:55.000 --> 00:00:57.000]  (主席) 台灣 日本那些是我們後花園
[00:00:57.000 --> 00:00:59.000]  (主席) 隨時去的
[00:00:59.000 --> 00:01:02.000]  (主席) 我就比較 我又不是很宅的
[00:01:02.000 --> 00:01:05.000]  (主席) 但我比較是 即使疫情期間沒得出去
[00:01:05.000 --> 00:01:08.000]  (主席) 走香港走 走到盡頭
[00:01:08.000 --> 00:01:10.000]  (主席) 我發覺長洲都多很多人
[00:01:10.000 --> 00:01:12.000]  (主席) 疫情期間開始多的
[00:01:12.000 --> 00:01:14.000]  (主席) 繼續持續都多的
[00:01:14.000 --> 00:01:17.000]  (主席) 每一條路 每一塊基石
[00:01:17.000 --> 00:01:21.000]  (主席) 那些叫什麼石頭
[00:01:21.000 --> 00:01:23.000]  (主席) 又不是路標石
[00:01:23.000 --> 00:01:25.000]  (主席) 機子 電機的介石
[00:01:25.000 --> 00:01:27.000]  (主席) 那些叫介石 沒錯
[00:01:27.000 --> 00:01:29.000]  (主席) 介石的人都擺上去
[00:01:29.000 --> 00:01:31.000]  (主席) 去過哪裡拍一張介石的照片
[00:01:31.000 --> 00:01:34.000]  (主席) 小紅書就更多這些東西
[00:01:34.000 --> 00:01:37.000]  (主席) 我就仍然是在疫情期間
[00:01:37.000 --> 00:01:39.000]  (主席) 走來走去都是長洲
[00:01:39.000 --> 00:01:41.000]  (主席) 所以很多地方都沒走過
[00:01:41.000 --> 00:01:43.000]  (主席) 今天有機會來到洪水橋這裏
[00:01:43.000 --> 00:01:45.000]  (主席) 跟大家一起聚會
