
[00:00:00.000 --> 00:00:03.000]  洪恩堂的弟兄姊妹平安
[00:00:03.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:07.000]  感謝神的恩典
[00:00:07.000 --> 00:00:09.000]  多謝洪恩堂老牧師的安排
[00:00:09.000 --> 00:00:12.000]  讓我能夠回來洪恩堂
[00:00:12.000 --> 00:00:15.000]  在大家當中去分享神的話語
[00:00:15.000 --> 00:00:17.000]  我們先祈禱
[00:00:17.000 --> 00:00:19.000]  親愛的父啊
[00:00:19.000 --> 00:00:22.000]  我們滿心感謝的讚美你
[00:00:22.000 --> 00:00:25.000]  來到你的殿中去聽你的話語
[00:00:25.000 --> 00:00:27.000]  求你真的將聖靈
[00:00:27.000 --> 00:00:30.000]  藏在每一個人的心裏面
[00:00:30.000 --> 00:00:32.000]  開他們的耳朵
[00:00:32.000 --> 00:00:34.000]  去聆聽你的話語
[00:00:34.000 --> 00:00:37.000]  亦預備孩子的口去宣講你的話語
[00:00:37.000 --> 00:00:38.000]  我們這樣的禱告
[00:00:38.000 --> 00:00:39.000]  奉主明求
[00:00:39.000 --> 00:00:40.000]  阿門
[00:00:40.000 --> 00:00:45.000]  先給大家看一幅圖畫
[00:00:45.000 --> 00:00:49.000]  可能大家都認得這個畫面
[00:00:49.000 --> 00:00:53.000]  這個就是粵語武俠片《如來神掌》
[00:00:53.000 --> 00:00:57.000]  當中由曹達華飾演龍劍飛
[00:00:57.000 --> 00:00:59.000]  當時是1964年
[00:00:59.000 --> 00:01:00.000]  有沒有人看過?
[00:01:00.000 --> 00:01:05.000]  有
[00:01:05.000 --> 00:01:09.000]  又有一幅畫
[00:01:09.000 --> 00:01:12.000]  當中有弟兄姊妹都看過
[00:01:12.000 --> 00:01:16.000]  就是2004年周星馳的電影《功夫》裏面
[00:01:16.000 --> 00:01:18.000]  都拿了一本武林秘笈出來
[00:01:18.000 --> 00:01:20.000]  就是《如來神掌》
[00:01:20.000 --> 00:01:21.000]  有沒有人看過?
[00:01:21.000 --> 00:01:23.000]  都看過
[00:01:23.000 --> 00:01:25.000]  在武俠小說裏面
[00:01:25.000 --> 00:01:28.000]  其實武林秘笈的設計
[00:01:28.000 --> 00:01:31.000]  是遵循著幾個特性的
[00:01:31.000 --> 00:01:32.000]  首先當然要厲害
[00:01:32.000 --> 00:01:34.000]  一出掌就厲害
[00:01:34.000 --> 00:01:37.000]  不可以每個人都懂得
[00:01:37.000 --> 00:01:38.000]  要很隱密
[00:01:38.000 --> 00:01:41.000]  它很奇妙地可以做到一些
[00:01:41.000 --> 00:01:43.000]  很奇妙的效果
[00:01:43.000 --> 00:01:44.000]  你一推出去
[00:01:44.000 --> 00:01:46.000]  掌就去到別人那裏
[00:01:46.000 --> 00:01:48.000]  亦都很靈
[00:01:48.000 --> 00:01:50.000]  而且它很正宗
[00:01:50.000 --> 00:01:52.000]  有門有派
[00:01:52.000 --> 00:01:55.000]  亦都要合乎道德
[00:01:55.000 --> 00:01:57.000]  還有這個武林秘笈
[00:01:57.000 --> 00:02:00.000]  其實是要傳承下去的
[00:02:00.000 --> 00:02:02.000]  在香港的電影世界裏面
[00:02:02.000 --> 00:02:06.000]  我們有《如來神掌》的武功要傳下去
[00:02:06.000 --> 00:02:09.000]  同樣在我們的信仰裏面
[00:02:09.000 --> 00:02:11.000]  宣教裏面
[00:02:11.000 --> 00:02:14.000]  都有一個秘笈是要傳承下去的
[00:02:14.000 --> 00:02:16.000]  剛才都讀過經文
[00:02:16.000 --> 00:02:19.000]  就是耶穌親自去傳授
[00:02:19.000 --> 00:02:23.000]  這個全福音宣教的武林秘笈
[00:02:23.000 --> 00:02:25.000]  給七十二個弟子
[00:02:25.000 --> 00:02:30.000]  關於當差派門徒去傳講福音的時候
[00:02:30.000 --> 00:02:35.000]  是門徒要跟隨和要注意的事情
[00:02:35.000 --> 00:02:38.000]  留意我今天的講題是
[00:02:38.000 --> 00:02:40.000]  宣教任務二
[00:02:40.000 --> 00:02:42.000]  熟讀這篇武林秘笈
[00:02:42.000 --> 00:02:45.000]  讓我們一起來看看這篇
[00:02:45.000 --> 00:02:48.000]  由耶穌親自去教授門徒
[00:02:48.000 --> 00:02:50.000]  信徒
[00:02:50.000 --> 00:02:54.000]  宣教秘笈有什麼值得我們反思的
[00:02:54.000 --> 00:02:56.000]  第一節
[00:02:56.000 --> 00:02:58.000]  「這些事已後」
[00:02:58.000 --> 00:02:59.000]  什麼事呢?
[00:02:59.000 --> 00:03:01.000]  我們要看看前文
[00:03:01.000 --> 00:03:02.000]  發生了什麼事呢?
[00:03:02.000 --> 00:03:07.000]  以至耶穌要傳授這篇武林秘笈給他的門徒
[00:03:07.000 --> 00:03:11.000]  我們很簡單地看回路加福音
[00:03:11.000 --> 00:03:14.000]  其實在路加福音第一至八章
[00:03:14.000 --> 00:03:16.000]  是講耶穌的出生
[00:03:16.000 --> 00:03:20.000]  呼召門徒一起在加里里海和加伯隆一帶
[00:03:20.000 --> 00:03:22.000]  去傳道行神蹟
[00:03:22.000 --> 00:03:25.000]  醫病、趕鬼和貧窮人傳福音
[00:03:25.000 --> 00:03:27.000]  叫「被擄得釋放,乞眼得自由」
[00:03:27.000 --> 00:03:30.000]  「受逼迫得自由」
[00:03:30.000 --> 00:03:32.000]  「乞眼看見,受逼迫得自由」
[00:03:32.000 --> 00:03:34.000]  到第九章
[00:03:34.000 --> 00:03:38.000]  主耶穌去差遣十二個門徒傳道
[00:03:38.000 --> 00:03:41.000]  那時候主耶穌早已講了
[00:03:41.000 --> 00:03:42.000]  第九節
[00:03:42.000 --> 00:03:44.000]  耶穌對十二個門徒說
[00:03:44.000 --> 00:03:46.000]  什麼都不用帶
[00:03:46.000 --> 00:03:49.000]  不用帶手杖、行囊、食物和銀錢
[00:03:49.000 --> 00:03:50.000]  什麼都不用帶
[00:03:50.000 --> 00:03:53.000]  你們無論去到哪一家
[00:03:53.000 --> 00:03:54.000]  就住在那裡
[00:03:54.000 --> 00:03:56.000]  直到離開那個地方
[00:03:56.000 --> 00:03:58.000]  無論誰不接待你們
[00:03:58.000 --> 00:04:00.000]  你們離開那個城的時候
[00:04:00.000 --> 00:04:02.000]  就撕掉那些塵土
[00:04:02.000 --> 00:04:04.000]  去指控他們的不信
[00:04:04.000 --> 00:04:05.000]  意思是
[00:04:05.000 --> 00:04:07.000]  其實你們不用帶東西去
[00:04:07.000 --> 00:04:10.000]  因為有人會接待你們
[00:04:10.000 --> 00:04:12.000]  你帶很多東西去的時候
[00:04:12.000 --> 00:04:14.000]  別人哪有機會接待你呢?
[00:04:14.000 --> 00:04:17.000]  要專心去傳道
[00:04:17.000 --> 00:04:20.000]  有人不接待你就算了
[00:04:20.000 --> 00:04:24.000]  因為第九章四十八節這樣說
[00:04:24.000 --> 00:04:26.000]  無論誰接待我
[00:04:26.000 --> 00:04:29.000]  就是接待猜我來的那個
[00:04:29.000 --> 00:04:30.000]  意思是
[00:04:30.000 --> 00:04:31.000]  誰不接待你
[00:04:31.000 --> 00:04:35.000]  就是不接待猜你來的那個
[00:04:35.000 --> 00:04:39.000]  但那時候門徒的反應很纏繞
[00:04:39.000 --> 00:04:42.000]  他不接待我那怎麼辦呢?
[00:04:42.000 --> 00:04:46.000]  門徒甚至去問耶穌
[00:04:46.000 --> 00:04:49.000]  第九章第五十三節這樣說
[00:04:49.000 --> 00:04:52.000]  當時有人接待他們
[00:04:52.000 --> 00:04:55.000]  而門徒雅各和約翰
[00:04:55.000 --> 00:04:57.000]  看到有人接待他們就問
[00:04:57.000 --> 00:04:58.000]  主啊
[00:04:58.000 --> 00:05:02.000]  祢要我們去吩咐火從天上降下來
