
[00:00:00.000 --> 00:00:04.000]  (影片開始)
[00:00:04.500 --> 00:00:06.000]  弟兄姊妹平安
[00:00:06.000 --> 00:00:06.680]  平安
[00:00:06.680 --> 00:00:09.220]  感恩 今天又可以跟大家一起
[00:00:09.220 --> 00:00:12.520]  以上帝的說話來彼此勉勵
[00:00:12.520 --> 00:00:16.400]  我在灣仔住
[00:00:16.400 --> 00:00:20.720]  在地鐵站對面那條街很有名的
[00:00:20.720 --> 00:00:22.160]  叫做玩具街
[00:00:22.160 --> 00:00:23.680]  有很多玩具賣的
[00:00:23.680 --> 00:00:27.400]  有一個情況我留意了好幾年了
[00:00:27.400 --> 00:00:30.720]  街尾那裡有一個攤檔
[00:00:31.160 --> 00:00:34.680]  那個是賣人字拖鞋的
[00:00:34.680 --> 00:00:38.280]  我記得幾年之前我走過的時候
[00:00:38.280 --> 00:00:43.560]  我看到那個老闆娘也挺兇的
[00:00:43.560 --> 00:00:45.920]  整天在罵人
[00:00:45.920 --> 00:00:51.680]  有一次我又聽到她大聲罵一個主婦
[00:00:51.680 --> 00:00:56.640]  她說買鞋買鞋試了就不要換了
[00:00:56.640 --> 00:01:01.200]  因為你要換就不要星期天早上來找我
[00:01:01.200 --> 00:01:04.640]  星期天早上我要回教會
[00:01:04.640 --> 00:01:08.080]  要換就星期天下午才來換
[00:01:08.080 --> 00:01:10.680]  講價講這麼多
[00:01:10.680 --> 00:01:13.600]  我們信耶穌的人怎麼會騙人呢
[00:01:13.600 --> 00:01:16.280]  所以跟我買東西不要跟我講價
[00:01:16.280 --> 00:01:18.560]  我看了一下
[00:01:18.560 --> 00:01:22.960]  她在那個攤檔旁邊又放了一張摺枱
[00:01:22.960 --> 00:01:26.080]  鋪滿了很多中信的月刊
[00:01:26.080 --> 00:01:29.360]  寫著是免費取月的
[00:01:29.360 --> 00:01:30.920]  我覺得
[00:01:30.920 --> 00:01:31.760]  啊
[00:01:31.760 --> 00:01:33.400]  最初我看錯人了
[00:01:33.400 --> 00:01:36.560]  覺得這個人兇得要命的樣子
[00:01:36.560 --> 00:01:38.760]  誰知道原來她信耶穌
[00:01:38.760 --> 00:01:40.760]  可能她不懂得傳福音
[00:01:40.760 --> 00:01:43.000]  又放一些中信月刊在那裡
[00:01:43.000 --> 00:01:44.600]  讓人隨意拿
[00:01:44.600 --> 00:01:48.280]  我覺得這個老闆娘也不錯
[00:01:48.280 --> 00:01:53.600]  然後過了幾個星期之後
[00:01:53.600 --> 00:01:54.960]  就是10月了
[00:01:54.960 --> 00:01:57.360]  我又走過那個攤檔
[00:01:57.360 --> 00:01:58.960]  這次嚇了一跳
[00:01:58.960 --> 00:02:01.960]  因為10月是什麼月呢?
[00:02:01.960 --> 00:02:03.800]  萬聖節
[00:02:03.800 --> 00:02:07.200]  於是整個攤檔就不是賣人字拖了
[00:02:07.200 --> 00:02:12.600]  就是賣了萬聖節的怪怪的用品
[00:02:12.600 --> 00:02:15.120]  所以今天要講這篇道
[00:02:15.120 --> 00:02:16.960]  我前幾天又去看了
[00:02:16.960 --> 00:02:20.320]  還沒踏入10月已經在賣了
[00:02:20.320 --> 00:02:22.280]  我想一下
[00:02:22.280 --> 00:02:23.600]  沒錯
[00:02:23.640 --> 00:02:26.240]  基督徒也是要賺錢的
[00:02:26.240 --> 00:02:29.800]  上帝不想我們成為窮光蛋
[00:02:29.800 --> 00:02:30.800]  但是呢
[00:02:30.800 --> 00:02:33.280]  當我們用我們的信仰
[00:02:33.280 --> 00:02:35.040]  你成為了一個裝飾
