
[00:00:00.000 --> 00:00:05.000]  主持人:待會兒的弟兄姊妹平安
[00:00:05.000 --> 00:00:07.500]  在今年的一月至三月
[00:00:07.500 --> 00:00:11.500]  我跟大家分享了《哥羅西書》的講道系列
[00:00:11.500 --> 00:00:13.000]  到了六月
[00:00:13.000 --> 00:00:15.000]  我就以講道系列的形式
[00:00:15.000 --> 00:00:17.000]  跟大家分享《啟示錄》
[00:00:17.000 --> 00:00:19.000]  《啟示錄》講道的系列裏面
[00:00:19.000 --> 00:00:22.500]  我跟大家講過《以弗所教會》
[00:00:22.500 --> 00:00:24.500]  和《老弟家教會》的信息
[00:00:24.500 --> 00:00:26.500]  今天進入第三講
[00:00:26.500 --> 00:00:27.500]  也是最後一講
[00:00:27.500 --> 00:00:31.500]  天上的敬拜和世界的忠告
[00:00:31.500 --> 00:00:35.500]  基督教信仰的世界觀是有開始的
[00:00:35.500 --> 00:00:38.500]  內容記載在《創世紀》
[00:00:38.500 --> 00:00:41.500]  神創造宇宙
[00:00:41.500 --> 00:00:45.000]  聖獸、山川河流、天地萬物
[00:00:45.000 --> 00:00:47.500]  一切的生物包括人類
[00:00:47.500 --> 00:00:49.500]  都是神所創造
[00:00:49.500 --> 00:00:52.500]  並賦予生命氣息
[00:00:52.500 --> 00:00:54.500]  神託管著萬有
[00:00:54.500 --> 00:00:56.000]  讓一切被造物
[00:00:56.000 --> 00:00:58.500]  享有神的供應和恩典
[00:00:58.500 --> 00:01:01.500]  神有藉著阿伯拉罕
[00:01:01.500 --> 00:01:02.500]  從一個人
[00:01:02.500 --> 00:01:04.500]  伸延到一個民族
[00:01:04.500 --> 00:01:05.500]  一個國家
[00:01:05.500 --> 00:01:09.000]  賜福給世界上的萬族萬國
[00:01:09.000 --> 00:01:12.000]  今天我們正正是在享受
[00:01:12.000 --> 00:01:14.500]  神所賜給我們的福氣
[00:01:14.500 --> 00:01:17.500]  基督教信仰的世界觀
[00:01:17.500 --> 00:01:19.500]  是有終結的
[00:01:19.500 --> 00:01:21.500]  內容記載在《啟示錄》
