
[00:00:00.000 --> 00:00:02.000]  Angie 早安
[00:00:02.000 --> 00:00:05.000]  現在港督比以前複雜很多
[00:00:05.000 --> 00:00:09.000]  以前拿著聖經,最多一張稿就可以了
[00:00:09.000 --> 00:00:17.000]  我不知道平時港員過來領會或主日崇拜港督會不會用powerpoint
[00:00:17.000 --> 00:00:22.000]  我其實比較少用powerpoint,大部份時間都沒有用powerpoint
[00:00:22.000 --> 00:00:26.000]  不過今天我覺得有個powerpoint好一點
[00:00:26.000 --> 00:00:30.000]  結果做遲了,才給後面的同工
[00:00:30.000 --> 00:00:34.000]  但用powerpoint就要控制住
[00:00:34.000 --> 00:00:39.000]  這個,未開
[00:00:39.000 --> 00:00:41.000]  開了
[00:00:41.000 --> 00:00:46.000]  有了
[00:00:46.000 --> 00:00:52.000]  要用按鍵按,要拿著聖經
[00:00:52.000 --> 00:00:56.000]  手機要用來做什麼呢?
[00:00:56.000 --> 00:01:00.000]  萬一你知道所有東西都可能出事
[00:01:00.000 --> 00:01:04.000]  要有後備,我都開了自己的powerpoint在手機
[00:01:04.000 --> 00:01:11.000]  看多兩張,知道後面說什麼,一會兒忘記了
[00:01:11.000 --> 00:01:13.000]  就比較頭痕
[00:01:13.000 --> 00:01:23.000]  所以科技帶來,人們說科技可以空出更多有限的時間
[00:01:23.000 --> 00:01:31.000]  但其實我們看過往的日子,科技是令我們節省了某些東西的時間
[00:01:31.000 --> 00:01:37.000]  但人又會將時間填滿,結果有科技做多了東西
[00:01:37.000 --> 00:01:39.000]  但更忙
[00:01:39.000 --> 00:01:45.000]  現在有三隻手可能比較好,兩隻手可能不夠
[00:01:45.000 --> 00:01:49.000]  很高興,這是我第二次過來
[00:01:49.000 --> 00:01:53.000]  第一次還需要勞煩曾牧師開車接我
[00:01:53.000 --> 00:01:58.000]  這次我問了曾牧師,查一下地圖
[00:01:58.000 --> 00:02:03.000]  曾牧師都告訴我,這條水路轉輕鐵,很方便
[00:02:03.000 --> 00:02:09.000]  我問他走到門口要走多久,因為我上次崇拜回家的時候
[00:02:09.000 --> 00:02:14.000]  都是坐輕鐵走的,發現很短,來都是那段路
[00:02:14.000 --> 00:02:19.000]  剛才就自己過來,不需要勞煩曾牧師
[00:02:19.000 --> 00:02:23.000]  曾牧師今天出了去港島,也不需要安排其他弟兄姐妹節
[00:02:23.000 --> 00:02:28.000]  發現真的很方便,很快就到了
[00:02:28.000 --> 00:02:34.000]  今天跟大家分享的經文,剛才是王大兄帶我們讀了
[00:02:34.000 --> 00:02:39.000]  我給他一個題目,借錢當然要還
[00:02:39.000 --> 00:02:46.000]  剛才將PowerPoint下載的時候,已經有了
[00:02:46.000 --> 00:02:49.000]  下一句是甚麼?
[00:02:49.000 --> 00:02:53.000]  「別給錢中介」
[00:02:53.000 --> 00:02:57.000]  其實這個故事都會講中介的
[00:02:57.000 --> 00:03:00.000]  但怎樣才叫做「給錢中介」呢?
[00:03:00.000 --> 00:03:03.000]  所以就算了,借錢當然要還
[00:03:03.000 --> 00:03:07.000]  這是政府的宣傳片
