
[00:00:00.000 --> 00:00:01.680]  各位節目 早安
[00:00:01.680 --> 00:00:04.840]  很感恩今天能夠跟大家一起去到敬拜
[00:00:04.840 --> 00:00:07.060]  以及聆聽上帝的說話
[00:00:07.060 --> 00:00:11.640]  剛才那段經文也是耶穌一個跟別人說的話
[00:00:11.640 --> 00:00:14.160]  說祂自己得榮耀的時候到了
[00:00:14.160 --> 00:00:17.660]  簡而言之這段經文也是跟這個星期很有關係
[00:00:17.660 --> 00:00:20.300]  大家知道下個星期就是復活節
[00:00:20.300 --> 00:00:22.140]  所以祈禱很多假期之餘
[00:00:22.140 --> 00:00:26.620]  其實都是紀念主耶穌基督的受死和復活
[00:00:26.620 --> 00:00:32.140]  耶穌基督那時候在耶路撒冷釘十架之前的那個星期
[00:00:32.140 --> 00:00:34.140]  就進入耶路撒冷
[00:00:34.140 --> 00:00:38.660]  那個教會傳統就叫做中枝主人或者中樹主人
[00:00:38.660 --> 00:00:41.800]  就是說耶穌進入耶路撒冷的時候
[00:00:41.800 --> 00:00:45.000]  很多人就用中樹枝去歡迎祂
[00:00:45.000 --> 00:00:46.580]  就是和撒拿和撒拿
[00:00:46.580 --> 00:00:50.140]  應當稱頌的救主來的
[00:00:50.140 --> 00:00:53.200]  所以這段經文也是出自那裡
[00:00:53.200 --> 00:00:57.360]  因為約翰福音 耶穌就對著那些人說
[00:00:57.360 --> 00:00:59.960]  人子得榮耀的時候到了
[00:00:59.960 --> 00:01:05.080]  得榮耀聽起來很好 每個人都喜歡榮耀的
[00:01:05.080 --> 00:01:07.720]  不過在約翰福音裡面講到榮耀
[00:01:07.720 --> 00:01:11.760]  未必是我們人想像的那種意思
[00:01:11.760 --> 00:01:15.900]  例如到了約翰福音最後的時候
[00:01:15.900 --> 00:01:19.180]  就是耶穌最後了 復活之後
[00:01:19.180 --> 00:01:22.660]  他就跟彼得有一個對話
[00:01:22.660 --> 00:01:24.660]  耶穌也有講到榮耀
[00:01:24.660 --> 00:01:26.660]  這裡耶穌跟彼得說
[00:01:26.660 --> 00:01:29.580]  我實實在在地告訴你 你年輕的時候
[00:01:29.580 --> 00:01:31.580]  自己速上帶自己隨意往來
[00:01:31.580 --> 00:01:33.580]  但年老的時候你要伸出手來
[00:01:33.580 --> 00:01:37.960]  別人要把你速上 帶你到不願意去的地方
[00:01:37.960 --> 00:01:42.000]  這裡耶穌跟他的門徒彼得講他將來會發生的事
[00:01:42.000 --> 00:01:43.000]  最後一句是說什麼
[00:01:43.000 --> 00:01:48.040]  耶穌說者說是指著彼得會怎樣死來榮耀神
[00:01:48.040 --> 00:01:53.620]  當我們讀到這裡 原來約翰福音將死跟榮耀放在一起
[00:01:53.620 --> 00:01:56.860]  將受苦跟榮耀放在一起
[00:01:56.860 --> 00:01:58.860]  有時候對我們來說
[00:01:58.860 --> 00:02:02.600]  都是一個很特別或者很難了解的狀況
[00:02:02.600 --> 00:02:05.600]  不過我想在教會群體裡面
[00:02:05.600 --> 00:02:08.600]  我們做基督徒很多時候都會了解
[00:02:08.600 --> 00:02:11.380]  其實榮耀是一個很被尊重的人
[00:02:11.380 --> 00:02:13.380]  還有一個人受苦
[00:02:13.380 --> 00:02:16.120]  其實很多時候都出現在同一個人身上
[00:02:16.120 --> 00:02:18.740]  我自己其實都是宣導會的人
[00:02:18.740 --> 00:02:21.300]  我自己的舞會是北角宣導會
[00:02:21.300 --> 00:02:23.300]  跟大家有一點遠
[00:02:23.300 --> 00:02:25.300]  港島東和新界西北有一點遠
[00:02:25.300 --> 00:02:27.300]  不過大家都是宣導會
[00:02:27.300 --> 00:02:31.400]  那時候我在北角宣導會聚會的時候
[00:02:31.400 --> 00:02:35.400]  入神學院讀福兆 奉獻
[00:02:35.400 --> 00:02:39.700]  我一做神學生 發覺原來在北角宣導會北宣有一個傳統
