
[00:00:00.000 --> 00:00:02.000]  我們開始的時候,再有一同禱告的時間
[00:00:02.000 --> 00:00:08.000]  天父上帝感謝你
[00:00:08.000 --> 00:00:10.000]  給我們這麼卑微的人
[00:00:10.000 --> 00:00:12.000]  可以去親近你
[00:00:12.000 --> 00:00:14.000]  去敬拜你
[00:00:14.000 --> 00:00:16.000]  天父,當這一刻
[00:00:16.000 --> 00:00:18.000]  我們是來臨在你的面前的時候
[00:00:18.000 --> 00:00:20.000]  求求你
[00:00:20.000 --> 00:00:22.000]  給我們更多的機會
[00:00:22.000 --> 00:00:24.000]  讓我們更多的機會
[00:00:24.000 --> 00:00:26.000]  去親近你
[00:00:26.000 --> 00:00:28.000]  去敬佩你
[00:00:28.000 --> 00:00:30.000]  在你的面前的時候
[00:00:30.000 --> 00:00:32.000]  求你光照我們的生命
[00:00:32.000 --> 00:00:34.000]  讓我們看到
[00:00:34.000 --> 00:00:36.000]  在我們的生命當中
[00:00:36.000 --> 00:00:38.000]  我們有什麼地方是得罪你的
[00:00:38.000 --> 00:00:40.000]  是得罪人的
[00:00:40.000 --> 00:00:42.000]  願你親自寬恕潔淨
[00:00:42.000 --> 00:00:44.000]  幫助我們守潔心清
[00:00:44.000 --> 00:00:46.000]  去親近你
[00:00:46.000 --> 00:00:48.000]  這一刻,願意聖靈
[00:00:48.000 --> 00:00:50.000]  充滿了我們每一個的心
[00:00:50.000 --> 00:00:52.000]  對我們每一個說話
[00:00:52.000 --> 00:00:54.000]  願意聖靈
[00:00:54.000 --> 00:00:56.000]  去幫助我們
[00:00:56.000 --> 00:00:58.000]  讓我們的耳朵
[00:00:58.000 --> 00:01:00.000]  真的張開
[00:01:00.000 --> 00:01:02.000]  眼睛是打開的
[00:01:02.000 --> 00:01:04.000]  我們看到上帝,我們聽到上帝的教導
[00:01:04.000 --> 00:01:06.000]  然後我們的心
[00:01:06.000 --> 00:01:08.000]  就樂意作出回應
[00:01:08.000 --> 00:01:10.000]  將以下的時間交上
[00:01:10.000 --> 00:01:12.000]  奉耶穌基督的名字
[00:01:12.000 --> 00:01:14.000]  祈禱,阿們
[00:01:14.000 --> 00:01:16.000]  這一段經文
[00:01:16.000 --> 00:01:18.000]  應該是比較少講的
[00:01:18.000 --> 00:01:20.000]  一段經文
[00:01:20.000 --> 00:01:22.000]  在當中是一個很重要
[00:01:22.000 --> 00:01:24.000]  很重要的一個
[00:01:24.000 --> 00:01:26.000]  一個願勉
[00:01:26.000 --> 00:01:28.000]  甚至乎是一個警告
[00:01:28.000 --> 00:01:30.000]  我們來看看這句說話
[00:01:30.000 --> 00:01:38.000]  這句說話很特別
[00:01:38.000 --> 00:01:40.000]  我從來不認識你們
[00:01:40.000 --> 00:01:42.000]  什麼叫從來呢
[00:01:42.000 --> 00:01:44.000]  不是現在我不認識你們
[00:01:44.000 --> 00:01:46.000]  以前認識你們
[00:01:46.000 --> 00:01:48.000]  現在就不知道為什麼不認識了
[00:01:48.000 --> 00:01:50.000]  或者忽然之間不認識了
[00:01:50.000 --> 00:01:52.000]  不是,是我從那時候到現在
[00:01:52.000 --> 00:01:54.000]  一直以來我都不認識你們
[00:01:54.000 --> 00:01:56.000]  這是一個很深的
[00:01:56.000 --> 00:01:58.000]  一個拒絕的表達
[00:01:58.000 --> 00:02:00.000]  我完全
[00:02:00.000 --> 00:02:02.000]  完全的不認識你們
[00:02:02.000 --> 00:02:04.000]  由以前到現在
[00:02:04.000 --> 00:02:06.000]  都是
[00:02:06.000 --> 00:02:08.000]  是誰說的呢
[00:02:08.000 --> 00:02:10.000]  我聽到
[00:02:10.000 --> 00:02:12.000]  有些聲音,主耶穌
[00:02:12.000 --> 00:02:14.000]  是耶穌說的
[00:02:14.000 --> 00:02:16.000]  這句說話是耶穌說的
[00:02:16.000 --> 00:02:18.000]  出自耶穌的口
[00:02:18.000 --> 00:02:20.000]  是不是很特別呢
[00:02:20.000 --> 00:02:22.000]  那個背景
[00:02:22.000 --> 00:02:24.000]  就是整個馬太福音
[00:02:24.000 --> 00:02:26.000]  七章十三到二十七節
[00:02:26.000 --> 00:02:32.000]  七章十三到二十七節
[00:02:32.000 --> 00:02:34.000]  這裡有很豐富的內容
[00:02:34.000 --> 00:02:36.000]  但是
[00:02:36.000 --> 00:02:38.000]  它前後的經文
[00:02:38.000 --> 00:02:40.000]  是非常吻合
[00:02:40.000 --> 00:02:42.000]  很配合
[00:02:42.000 --> 00:02:44.000]  今天那段經文
[00:02:44.000 --> 00:02:46.000]  前後究竟在說什麼呢
[00:02:48.000 --> 00:02:50.000]  這個像是什麼呢
[00:02:50.000 --> 00:02:52.000]  大家看下去
[00:02:52.000 --> 00:02:56.000]  這個猜不到
[00:02:56.000 --> 00:02:58.000]  這個是閘門
[00:02:58.000 --> 00:03:00.000]  很小很小的
[00:03:00.000 --> 00:03:02.000]  一道門,閘門
[00:03:02.000 --> 00:03:04.000]  原來經文七章十三節
[00:03:04.000 --> 00:03:06.000]  那裡一直說
[00:03:06.000 --> 00:03:08.000]  走進入
[00:03:08.000 --> 00:03:10.000]  閘門,是走閘路
[00:03:10.000 --> 00:03:12.000]  這裡是說
[00:03:12.000 --> 00:03:14.000]  一條很特別的路
[00:03:14.000 --> 00:03:16.000]  是閘的門,是閘的路
[00:03:16.000 --> 00:03:18.000]  才是通往永生的
[00:03:18.000 --> 00:03:20.000]  反而那條
[00:03:20.000 --> 00:03:22.000]  是通往滅亡的路
[00:03:22.000 --> 00:03:24.000]  是很闊的
[00:03:24.000 --> 00:03:26.000]  那道門通往
[00:03:26.000 --> 00:03:28.000]  滅亡的門也是很闊的
[00:03:28.000 --> 00:03:30.000]  進去的人也多
[00:03:30.000 --> 00:03:32.000]  進去閘門的人
[00:03:32.000 --> 00:03:34.000]  卻是少的
[00:03:34.000 --> 00:03:36.000]  這是開始的那段內容
[00:03:36.000 --> 00:03:38.000]  接著之後
[00:03:38.000 --> 00:03:40.000]  這個是什麼呢
[00:03:40.000 --> 00:03:42.000]  披著羊皮的狼
[00:03:42.000 --> 00:03:44.000]  是不是
[00:03:44.000 --> 00:03:46.000]  是一個狼
[00:03:46.000 --> 00:03:48.000]  說的是假先知
[00:03:48.000 --> 00:03:50.000]  經文提到
[00:03:50.000 --> 00:03:52.000]  要防備假先知
[00:03:52.000 --> 00:03:54.000]  他們披著羊皮
[00:03:54.000 --> 00:03:56.000]  我們不是很分辨到
[00:03:56.000 --> 00:03:58.000]  以為是羊,實際上是狼
[00:03:58.000 --> 00:04:00.000]  他進入羊群當中
[00:04:00.000 --> 00:04:02.000]  無非就是
[00:04:02.000 --> 00:04:04.000]  為了傷害羊,擔就羊
[00:04:04.000 --> 00:04:06.000]  讓羊
[00:04:06.000 --> 00:04:08.000]  走在歪的道路上
[00:04:08.000 --> 00:04:10.000]  作者叫我們要去
[00:04:10.000 --> 00:04:12.000]  這個其實
[00:04:12.000 --> 00:04:14.000]  是耶穌基督說的
[00:04:14.000 --> 00:04:16.000]  叫我們要去防備假先知
[00:04:16.000 --> 00:04:18.000]  你由一棵樹的果子
[00:04:18.000 --> 00:04:20.000]  去分辨出
[00:04:20.000 --> 00:04:22.000]  那棵樹是一棵好的樹
[00:04:22.000 --> 00:04:24.000]  還是一棵不好的樹
[00:04:24.000 --> 00:04:26.000]  你由果子
[00:04:26.000 --> 00:04:28.000]  去看出
[00:04:28.000 --> 00:04:30.000]  那個究竟是真先知
[00:04:30.000 --> 00:04:32.000]  還是假先知
[00:04:32.000 --> 00:04:34.000]  我們要小心防備
[00:04:34.000 --> 00:04:36.000]  接著就到我們
