
[00:00:00.000 --> 00:00:06.000]  紅人家的聖徒們平安
[00:00:06.000 --> 00:00:13.000]  我們一起用祈禱來開始今天的靜悼時間
[00:00:13.000 --> 00:00:14.000]  我們低頭祈禱
[00:00:14.000 --> 00:00:17.000]  天主上願你使用孩子
[00:00:17.000 --> 00:00:19.000]  叫孩子今天所說的
[00:00:19.000 --> 00:00:21.000]  都是你要孩子說的
[00:00:21.000 --> 00:00:22.000]  更加幫助會眾
[00:00:22.000 --> 00:00:24.000]  他們有一個能聽到的耳朵
[00:00:24.000 --> 00:00:28.000]  有一個能明白你話語的頭腦
[00:00:28.000 --> 00:00:29.000]  更加有一個心
[00:00:29.000 --> 00:00:34.000]  將你的話語藏在他們的心裏
[00:00:34.000 --> 00:00:36.000]  更加保守他們
[00:00:36.000 --> 00:00:39.000]  有一個能行道的手和腳
[00:00:39.000 --> 00:00:41.000]  將他們所聽到的
[00:00:41.000 --> 00:00:44.000]  行在他們的生活當中
[00:00:44.000 --> 00:00:45.000]  聽我們的祈禱
[00:00:45.000 --> 00:00:48.000]  奉耶穌基督的名求
[00:00:48.000 --> 00:00:49.000]  阿門
[00:00:49.000 --> 00:00:51.000]  各位弟兄姊妹平安
[00:00:51.000 --> 00:00:54.000]  幾個月沒見了
[00:00:54.000 --> 00:00:57.000]  通常半年來一次到
[00:00:57.000 --> 00:00:59.000]  我想大家會覺得
[00:00:59.000 --> 00:01:04.000]  最近香港人都很抑鬱
[00:01:04.000 --> 00:01:07.000]  可以說全城都抑鬱
[00:01:07.000 --> 00:01:10.000]  全城之前抗疫
[00:01:10.000 --> 00:01:12.000]  但最近都多了
[00:01:12.000 --> 00:01:17.000]  我發覺不同的人都開始染病
[00:01:17.000 --> 00:01:19.000]  可能是COVID
[00:01:19.000 --> 00:01:23.000]  亦都可能是流感等等
[00:01:23.000 --> 00:01:28.000]  全城都因為各種政治和經濟因素抑鬱
[00:01:28.000 --> 00:01:30.000]  好像每天聽到的
[00:01:30.000 --> 00:01:33.000]  都是不好的消息
[00:01:33.000 --> 00:01:36.000]  其實沒有一個人想抑鬱
[00:01:36.000 --> 00:01:40.000]  每一個人都在尋求快樂的門
[00:01:40.000 --> 00:01:43.000]  過去很多人都在追求名譽
[00:01:43.000 --> 00:01:45.000]  追求地位
[00:01:45.000 --> 00:01:46.000]  追求學問
[00:01:46.000 --> 00:01:48.000]  追求錢財
[00:01:48.000 --> 00:01:51.000]  追求物質等等
[00:01:51.000 --> 00:01:53.000]  得到之後
[00:01:53.000 --> 00:01:57.000]  很快人就會明白
[00:01:57.000 --> 00:02:01.000]  這些都不能夠帶來永久的快樂
[00:02:01.000 --> 00:02:04.000]  沒有地位的人憂愁
[00:02:04.000 --> 00:02:05.000]  甚至自殺
[00:02:05.000 --> 00:02:09.000]  有地位的人都一樣
[00:02:09.000 --> 00:02:12.000]  沒有學問的人憂愁
[00:02:12.000 --> 00:02:13.000]  甚至自殺
[00:02:13.000 --> 00:02:17.000]  有學問的人都一樣
[00:02:17.000 --> 00:02:19.000]  沒有錢的人憂愁自殺
[00:02:19.000 --> 00:02:22.000]  有錢的人都一樣
[00:02:22.000 --> 00:02:26.000]  因為我們知道快樂不在外面
[00:02:26.000 --> 00:02:29.000]  快樂在我們內裡
[00:02:29.000 --> 00:02:33.000]  很多時候不單止一般的世人抑鬱
[00:02:33.000 --> 00:02:36.000]  其實基督徒有沒有抑鬱?
[00:02:36.000 --> 00:02:38.000]  有!
[00:02:38.000 --> 00:02:39.000]  好像沒有例外
[00:02:39.000 --> 00:02:41.000]  當我們要尋找快樂
[00:02:41.000 --> 00:02:43.000]  在哪裡找呢?
[00:02:43.000 --> 00:02:44.000]  信徒都知道
[00:02:44.000 --> 00:02:45.000]  其實我們在尋找
[00:02:45.000 --> 00:02:47.000]  我們很多時候都不叫快樂
[00:02:47.000 --> 00:02:48.000]  叫什麼?
[00:02:48.000 --> 00:02:49.000]  喜樂!
[00:02:49.000 --> 00:02:51.000]  所以我今天做的題目是
[00:02:51.000 --> 00:02:52.000]  喜樂
[00:02:52.000 --> 00:02:53.000]  我們想尋找
[00:02:53.000 --> 00:02:55.000]  什麼是喜樂呢?
[00:02:55.000 --> 00:02:56.000]  無論快樂還是喜樂
[00:02:56.000 --> 00:02:58.000]  並不是從外面找
[00:02:58.000 --> 00:03:00.000]  其實應該是從內裡尋找
[00:03:00.000 --> 00:03:02.000]  我們今天嘗試從
[00:03:02.000 --> 00:03:04.000]  菲律賓書的作者
[00:03:04.000 --> 00:03:06.000]  知道是誰寫的嗎?
[00:03:06.000 --> 00:03:08.000]  是保羅寫的
[00:03:08.000 --> 00:03:09.000]  我們在當中
[00:03:09.000 --> 00:03:11.000]  尋找到我們怎樣
[00:03:11.000 --> 00:03:14.000]  可以有喜樂的門徑
[00:03:14.000 --> 00:03:15.000]  很簡單
[00:03:15.000 --> 00:03:17.000]  其實菲律賓書是
[00:03:17.000 --> 00:03:18.000]  保羅一封很短的書信
[00:03:18.000 --> 00:03:19.000]  只有四章
[00:03:19.000 --> 00:03:21.000]  但書中卻充滿了
[00:03:21.000 --> 00:03:26.000]  喜樂、快樂等等的言詞
[00:03:26.000 --> 00:03:30.000]  它有喜樂、歡樂、歡喜、喜悅
[00:03:30.000 --> 00:03:31.000]  這些詞語
[00:03:31.000 --> 00:03:33.000]  總共出現了17次
