
[00:00:00.000 --> 00:00:03.000]  主持人:好,弟兄姊妹平安
[00:00:03.000 --> 00:00:07.000]  感謝神讓我們今天可以回來去敬拜祂
[00:00:07.000 --> 00:00:09.000]  這也是神給我們的福氣
[00:00:09.000 --> 00:00:12.000]  我們開始的時候再有一個禱告
[00:00:12.000 --> 00:00:20.000]  天父上帝我們很感謝祢
[00:00:20.000 --> 00:00:23.000]  不厭棄我們的卑微
[00:00:23.000 --> 00:00:27.000]  讓我們來到祢的面前去敬拜讚美祢
[00:00:27.000 --> 00:00:30.000]  我們原是不配
[00:00:30.000 --> 00:00:36.000]  這一刻我們知道我們的生命在祢的面前是無所遁形
[00:00:36.000 --> 00:00:41.000]  求祢寬恕我們一切的罪惡
[00:00:41.000 --> 00:00:43.000]  我們嘴巴的罪惡
[00:00:43.000 --> 00:00:46.000]  心靈的、行事為人的
[00:00:46.000 --> 00:00:49.000]  天父全然的求祢寬恕和潔淨
[00:00:49.000 --> 00:00:52.000]  讓我們守潔心清的來到祢的面前
[00:00:52.000 --> 00:00:55.000]  今天願意聖靈在我們當中去工作
[00:00:55.000 --> 00:00:58.000]  對我們每一個說話
[00:00:58.000 --> 00:01:01.000]  讓我們聽到上帝祢的聲音
[00:01:01.000 --> 00:01:04.000]  我們就在裡面作出回應
[00:01:04.000 --> 00:01:07.000]  奉耶穌基督的名字祈禱
[00:01:07.000 --> 00:01:08.000]  阿們
[00:01:08.000 --> 00:01:11.000]  下個星期五就是平安夜
[00:01:11.000 --> 00:01:15.000]  所以今天崇拜裡面有不同的詩歌
[00:01:15.000 --> 00:01:18.000]  都令我們想起聖誕節
[00:01:18.000 --> 00:01:22.000]  當然星期六更加就是聖誕節的當日
[00:01:22.000 --> 00:01:27.000]  你們知不知道弟兄姊妹最期望的是什麼呢?
[00:01:27.000 --> 00:01:29.000]  你最期望什麼呢?
[00:01:29.000 --> 00:01:31.000]  是參與聖誕派對
[00:01:31.000 --> 00:01:34.000]  收禮物、吃大餐
[00:01:34.000 --> 00:01:37.000]  還是思想耶穌基督的降生
[00:01:37.000 --> 00:01:41.000]  對於我們來說有什麼意義呢?
[00:01:41.000 --> 00:01:44.000]  今天最想問的是
[00:01:44.000 --> 00:01:50.000]  在我們的心中我們是怎樣看待耶穌的呢?
[00:01:50.000 --> 00:01:54.000]  你說「還用問的,回教會那麼久了,這些問題還問?」
[00:01:54.000 --> 00:01:58.000]  不是的,就是回教會久了才更加要問
[00:01:58.000 --> 00:02:01.000]  我們和耶穌的關係又如何呢?
[00:02:01.000 --> 00:02:05.000]  今天很願意透過這段經文再次思考
[00:02:05.000 --> 00:02:08.000]  我們和耶穌的關係
[00:02:08.000 --> 00:02:11.000]  我們怎樣看待耶穌呢?
[00:02:11.000 --> 00:02:16.000]  就決定了我們會怎樣對待耶穌
[00:02:16.000 --> 00:02:18.000]  我再說一次這一句
[00:02:18.000 --> 00:02:20.000]  我們怎樣看待耶穌
[00:02:20.000 --> 00:02:25.000]  就會決定我們怎樣對待耶穌
[00:02:25.000 --> 00:02:30.000]  在《馬太福音》第二章1到12節記載了三類人
[00:02:30.000 --> 00:02:33.000]  他們對耶穌的看法是完全不同的
[00:02:33.000 --> 00:02:38.000]  導致他們對耶穌有不同的態度
[00:02:38.000 --> 00:02:45.000]  你試試數一下哪三類人
[00:02:45.000 --> 00:02:47.000]  第一類是哪一類呢?
[00:02:47.000 --> 00:02:49.000]  剛才大家都有讀經文的
[00:02:49.000 --> 00:02:51.000]  第一類是哪一類呢?
[00:02:51.000 --> 00:02:54.000]  請姐妹們試試回答
[00:02:54.000 --> 00:02:56.000]  大聲一點
[00:02:56.000 --> 00:02:58.000]  博學之士
[00:02:58.000 --> 00:03:01.000]  博學之士,真是好了
[00:03:01.000 --> 00:03:03.000]  多謝孫生
[00:03:03.000 --> 00:03:06.000]  第一類就是博學之士
[00:03:06.000 --> 00:03:08.000]  這一類呢,博學之士呢
[00:03:08.000 --> 00:03:11.000]  他們是尊耶穌為王
[00:03:11.000 --> 00:03:15.000]  所以他們是會敬拜耶穌的
[00:03:15.000 --> 00:03:18.000]  博學之士尊耶穌為王
[00:03:18.000 --> 00:03:20.000]  所以他們敬拜耶穌
[00:03:20.000 --> 00:03:22.000]  在二章一到二節這樣說
[00:03:22.000 --> 00:03:24.000]  在希律作王的時候
[00:03:24.000 --> 00:03:27.000]  耶穌生在猶太的伯利恆
[00:03:27.000 --> 00:03:31.000]  有幾個博學之士從東方來到耶路撒冷說
[00:03:31.000 --> 00:03:35.000]  那生下來作猶太人之王的在哪裡?
[00:03:35.000 --> 00:03:38.000]  我們在東方看見他的星
[00:03:38.000 --> 00:03:41.000]  特來拜他
[00:03:41.000 --> 00:03:44.000]  經文提到耶穌出世之後
[00:03:44.000 --> 00:03:49.000]  有幾個博學之士從東方來到耶路撒冷
[00:03:49.000 --> 00:03:52.000]  傳統的主要學說
[00:03:52.000 --> 00:03:55.000]  有三個博士從東方而來
[00:03:55.000 --> 00:03:58.000]  其實經文並沒有說三
[00:03:58.000 --> 00:04:00.000]  不是三個
[00:04:00.000 --> 00:04:03.000]  只是博士將三份禮物
[00:04:03.000 --> 00:04:06.000]  獻給小孩子耶穌
[00:04:06.000 --> 00:04:09.000]  所以人們才覺得是三個博士
[00:04:09.000 --> 00:04:12.000]  實際這裡說的是幾個
[00:04:12.000 --> 00:04:14.000]  是幾個博士
[00:04:14.000 --> 00:04:20.000]  博學之士是說那些對於解夢、占星和魔術
[00:04:20.000 --> 00:04:23.000]  感興趣的人
[00:04:23.000 --> 00:04:26.000]  所以他們不是上帝的子民
[00:04:26.000 --> 00:04:29.000]  他們是外邦人
[00:04:29.000 --> 00:04:31.000]  他們絕對不是像我們今天這樣
[00:04:31.000 --> 00:04:35.000]  坐在教會裡已經是常常敬拜上帝的人
[00:04:35.000 --> 00:04:36.000]  不是
[00:04:36.000 --> 00:04:39.000]  但對於這一類的博學之士
[00:04:39.000 --> 00:04:41.000]  我們可以這樣看
[00:04:41.000 --> 00:04:43.000]  不是所有人都一樣
[00:04:43.000 --> 00:04:45.000]  有些博學之士
[00:04:45.000 --> 00:04:46.000]  他們是很認真的
[00:04:46.000 --> 00:04:49.000]  很想了解真相是什麼
[00:04:49.000 --> 00:04:52.000]  但也有很多人
[00:04:52.000 --> 00:04:53.000]  只是想
[00:04:53.000 --> 00:04:55.000]  呃呃拐拐
[00:04:55.000 --> 00:04:57.000]  做流氓
[00:04:57.000 --> 00:04:59.000]  找一碗飯吃
[00:04:59.000 --> 00:05:02.000]  馬太福音所提到的博學之士
[00:05:02.000 --> 00:05:04.000]  不是這種呃呃哄哄
[00:05:04.000 --> 00:05:06.000]  想找一碗飯吃的人
[00:05:06.000 --> 00:05:08.000]  反而這些人
[00:05:08.000 --> 00:05:13.000]  他們可能曾經研究過舊約聖經和各類猶太書籍
