
[00:00:00.000 --> 00:00:02.520]  結果好像找不到
[00:00:02.520 --> 00:00:06.200]  有什麼蛇連繫四字可以祝賀人呢
[00:00:06.200 --> 00:00:09.200]  蛇也是很邪門的
[00:00:09.200 --> 00:00:11.000]  金蛇獻水那些
[00:00:11.000 --> 00:00:13.600]  金龍有得金牛有得那些就不太像
[00:00:13.600 --> 00:00:14.800]  好,不要說廢話了
[00:00:14.800 --> 00:00:16.800]  新年快樂
[00:00:16.800 --> 00:00:20.800]  兩個多小時後
[00:00:20.800 --> 00:00:23.600]  在多倫多的Foldchurch會聚會
[00:00:23.600 --> 00:00:27.200]  昨晚才從多倫多下飛機回來
[00:00:27.200 --> 00:00:29.600]  所以今天是一陣陣
[00:00:29.600 --> 00:00:31.600]  四十多個小時都沒得睡
[00:00:31.600 --> 00:00:34.400]  很快就起來了
[00:00:34.400 --> 00:00:36.400]  現在的狀態很差
[00:00:36.400 --> 00:00:38.400]  眼神很飄浮
[00:00:38.400 --> 00:00:41.000]  應該可以說到待會要說的話
[00:00:41.000 --> 00:00:45.400]  不過特別紀念多倫多的Foldchurch
[00:00:45.400 --> 00:00:50.200]  這次跟他們有個很少的吃飯時間
[00:00:50.200 --> 00:00:53.200]  說一句
[00:00:53.200 --> 00:00:55.200]  生日的就希望生日快樂
[00:00:55.200 --> 00:00:57.200]  撞車的就快點買車
[00:00:57.200 --> 00:01:02.000]  鄭英姐妹在那邊也不容易
[00:01:02.000 --> 00:01:06.400]  希望他們也繼續有上帝的恩典跟他們同在
[00:01:06.400 --> 00:01:11.000]  尤其是現在多倫多是很大雪的時候
[00:01:11.000 --> 00:01:13.000]  即將是負十多二十度
[00:01:13.000 --> 00:01:15.000]  求天賦年運
[00:01:15.000 --> 00:01:20.000]  特別紀念在英國或澳洲的Foldchurch鄭英姐妹
[00:01:20.000 --> 00:01:23.000]  我們今天是想說這個題目
[00:01:23.800 --> 00:01:27.800]  這個題目其實就
[00:01:27.800 --> 00:01:32.400]  我待會會說多倫多前書九章的東西
[00:01:32.400 --> 00:01:35.400]  但說這個題目之前我想說兩句
[00:01:35.400 --> 00:01:38.400]  其實要成長
[00:01:38.400 --> 00:01:40.400]  即是變變變這個題目要成長
[00:01:40.400 --> 00:01:46.400]  其實千萬不要誤會成長是很容易
[00:01:46.400 --> 00:01:48.400]  我再說多一次
[00:01:48.400 --> 00:01:51.400]  當說這個題目的時候
