
[00:00:00.000 --> 00:00:04.000]  我相信不單止是實體的頂梓梅
[00:00:04.000 --> 00:00:05.000]  今天在我們當中
[00:00:05.000 --> 00:00:10.000]  我相信網上前面有很多頂梓梅在我們當中
[00:00:10.000 --> 00:00:16.000]  如果有頂梓梅是來自世界各地不同地方的
[00:00:16.000 --> 00:00:21.000]  你可以說九龍城、土瓜灣、將軍澳都可以
[00:00:21.000 --> 00:00:23.000]  都可以打出來
[00:00:23.000 --> 00:00:26.000]  如果你在這個時候方便打幾個字
[00:00:26.000 --> 00:00:29.000]  如果是世界各地的頂梓梅
[00:00:29.000 --> 00:00:32.000]  我特別歡迎你和Fold Church一起崇拜
[00:00:32.000 --> 00:00:35.000]  無論在英國、美國、加拿大
[00:00:35.000 --> 00:00:37.000]  或者在歐洲
[00:00:37.000 --> 00:00:40.000]  甚至在日本、韓國
[00:00:40.000 --> 00:00:43.000]  或者澳洲、新西蘭
[00:00:43.000 --> 00:00:44.000]  我不知道你在哪個地方
[00:00:44.000 --> 00:00:48.000]  你可以在牙買加、海地
[00:00:48.000 --> 00:00:53.000]  你可以在留言中告訴我們你在這裡
[00:00:53.000 --> 00:00:56.000]  我相信有很多頂梓梅會跟你打招呼
[00:00:56.000 --> 00:01:00.000]  我們歡迎海外的頂梓梅在這個時候
[00:01:00.000 --> 00:01:03.000]  和Fold Church一起去敬拜
[00:01:03.000 --> 00:01:06.000]  我們今天會看一段經文
[00:01:06.000 --> 00:01:09.000]  我原來忘記帶那個遙控器
[00:01:09.000 --> 00:01:11.000]  那個那個
[00:01:11.000 --> 00:01:12.000]  麻煩你
[00:01:12.000 --> 00:01:14.000]  我要按那個按鈕
[00:01:14.000 --> 00:01:15.000]  謝謝
[00:01:15.000 --> 00:01:18.000]  年紀大會忘記東西
[00:01:18.000 --> 00:01:24.000]  我們今天會看李希美記的一段記載
[00:01:24.000 --> 00:01:27.000]  李希美記不複雜不難明
[00:01:27.000 --> 00:01:29.000]  總之一個人起承祥
[00:01:29.000 --> 00:01:34.000]  不過我想很快地看完頭十四節的經文
[00:01:34.000 --> 00:01:36.000]  我們很快地看一看十四節
[00:01:36.000 --> 00:01:40.000]  我主要想說十五節到後面幾節的聖經
[00:01:40.000 --> 00:01:46.000]  頭三章是大體上是交代他去建立
[00:01:46.000 --> 00:01:49.000]  準備要去起承祥
[00:01:49.000 --> 00:01:52.000]  第四章開始就要起承祥
[00:01:52.000 --> 00:01:56.000]  但參巴拉聽見我們修造承祥就發怒
[00:01:56.000 --> 00:02:00.000]  大大怒恨嘲笑這個猶大人
[00:02:00.000 --> 00:02:02.000]  對他弟兄薩馬尼亞軍兵說
[00:02:02.000 --> 00:02:04.000]  那些軟弱的猶大人都做什麼?
[00:02:04.000 --> 00:02:07.000]  要保護自己嗎?要憲制嗎?要成功嗎?
