
[00:00:00.000 --> 00:00:04.000]  這兩星期其實挺精神恍惚和心水不寧的
[00:00:04.000 --> 00:00:07.000]  發生了很多事情在這兩星期
[00:00:07.000 --> 00:00:12.000]  又要講一篇訊息,即是這堂課的訊息
[00:00:12.000 --> 00:00:19.000]  當準備這篇訊息的時候,其實都很掙扎和很難搞的
[00:00:19.000 --> 00:00:23.000]  所以我希望今天能夠將這兩星期的思緒
[00:00:23.000 --> 00:00:30.000]  和最近在想的事情和大家分享一下
[00:00:30.000 --> 00:00:33.000]  希望藉著這些訊息和我自己在講
[00:00:33.000 --> 00:00:39.000]  也和在這個時代這麼獨特的環境下
[00:00:39.000 --> 00:00:41.000]  我們有些反思
[00:00:41.000 --> 00:00:45.000]  我相信這個世界是改變得很快
[00:00:45.000 --> 00:00:48.000]  你可以看著這兩星期所發生的事情的時候
[00:00:48.000 --> 00:00:50.000]  其實我們都很清楚
[00:00:50.000 --> 00:00:54.000]  我們在一個很不容易和艱難的年代當中
[00:00:54.000 --> 00:00:57.000]  我希望我們有一點點的想法
[00:00:57.000 --> 00:01:00.000]  我們看一下經文,今天看四字而已
[00:01:00.000 --> 00:01:02.000]  不是很複雜的經文
[00:01:02.000 --> 00:01:07.000]  我們看一下,話語是來自上主林道耶利米
[00:01:07.000 --> 00:01:10.000]  說站在耶華殿的門
[00:01:10.000 --> 00:01:13.000]  即是叫他站在耶華殿的門,即是聖殿的門口
[00:01:13.000 --> 00:01:16.000]  他說你要宣講這些話,耶利米就說話
[00:01:16.000 --> 00:01:19.000]  他說所有猶太人都要宣講這些話
[00:01:19.000 --> 00:01:24.000]  所有猶太人就是從這裡門進來的敬拜耶華的
[00:01:24.000 --> 00:01:27.000]  萬鈞耶華以色列的神是這樣說的
[00:01:27.000 --> 00:01:31.000]  他說要改正自己的行徑與作為
[00:01:31.000 --> 00:01:34.000]  我就讓你們住在這個地方
[00:01:34.000 --> 00:01:37.000]  不要相信那些欺騙的說話
[00:01:37.000 --> 00:01:39.000]  什麼是欺騙的說話?
[00:01:39.000 --> 00:01:44.000]  他說這個是耶華的殿,耶華的殿,耶華的殿
[00:01:44.000 --> 00:01:48.000]  這個段落怎麼理解呢?
[00:01:48.000 --> 00:01:52.000]  你試一下,Tim傳道和清心傳道在後面
[00:01:52.000 --> 00:01:56.000]  大家進來門口的時候,他說
[00:01:56.000 --> 00:02:01.000]  這間不是教會,騙鬼來的,你快點走
[00:02:01.000 --> 00:02:04.000]  類似是這樣說的
[00:02:04.000 --> 00:02:08.000]  基本上這段經文是不能應用的
[00:02:08.000 --> 00:02:11.000]  如果有應用的話,我真的很佩服
[00:02:11.000 --> 00:02:14.000]  誰敢在教會門口說
[00:02:14.000 --> 00:02:17.000]  不要相信教會說的欺騙的話
[00:02:17.000 --> 00:02:20.000]  這間不是教會,這間不是教會
[00:02:20.000 --> 00:02:25.000]  你明白嗎?這段經文其實是很瘋狂的經文
[00:02:25.000 --> 00:02:28.000]  基本上耶利米斯很多的經文
[00:02:28.000 --> 00:02:32.000]  本質上是很難理解的
[00:02:32.000 --> 00:02:36.000]  這段基本上是耶利米七八九
[00:02:36.000 --> 00:02:39.000]  是一個叫做Temple Sermon
[00:02:39.000 --> 00:02:42.000]  是他在Temple,聖殿門口
[00:02:42.000 --> 00:02:45.000]  真的跟人說這番話
[00:02:45.000 --> 00:02:47.000]  說完之後,你可以想像
[00:02:47.000 --> 00:02:50.000]  由第九章開始至第二十六章
[00:02:50.000 --> 00:02:53.000]  就被人打得七彩
[00:02:53.000 --> 00:02:56.000]  被人抓去抓,被人抓去打
[00:02:56.000 --> 00:02:59.000]  他說的話沒有人再讓他在聖殿說話
[00:02:59.000 --> 00:03:01.000]  然後他在聖殿說話的時候
[00:03:01.000 --> 00:03:03.000]  他要找巴祿出來往後的時候
[00:03:03.000 --> 00:03:06.000]  就將他要說的話寫下來
[00:03:06.000 --> 00:03:08.000]  叫巴祿在聖殿說
[00:03:08.000 --> 00:03:10.000]  說完之後,王就來到
[00:03:10.000 --> 00:03:13.000]  將他所寫的消毀了
[00:03:13.000 --> 00:03:18.000]  你可以想像,基本上要堅持說一個這樣的Sermon
[00:03:18.000 --> 00:03:22.000]  是一個很難的處境下做的Sermon
[00:03:22.000 --> 00:03:24.000]  正正因為這個訊息
[00:03:24.000 --> 00:03:29.000]  所以我自己也很掙扎在這兩星期裡
[00:03:29.000 --> 00:03:33.000]  我今天大約想分兩個方向說
[00:03:33.000 --> 00:03:36.000]  什麼叫做不要相信那些欺騙的話
[00:03:36.000 --> 00:03:38.000]  明明那個是耶和華的聖殿
[00:03:38.000 --> 00:03:39.000]  你要跟人說
[00:03:39.000 --> 00:03:43.000]  這個不是聖殿,這個不是聖殿,不是聖殿
[00:03:43.000 --> 00:03:45.000]  不是說這個是教會,這個是教會
[00:03:45.000 --> 00:03:47.000]  你就說這些是欺騙的話
[00:03:47.000 --> 00:03:52.000]  是什麼意思?我怎麼理解這句話呢?
