
[00:00:00.000 --> 00:00:10.000]  鄧小平:好,鄧小平晚安,來到七月的「還好嘢」這個月題了,
[00:00:10.000 --> 00:00:21.000]  可能有些鄧小平回來了沒多久,我解釋一下,這個「好嘢」的月題已經是第三年了,
[00:00:21.000 --> 00:00:31.000]  前年就叫「好嘢」,上年就叫「好好嘢」,今年就叫「還好嘢」,「好嘢」是什麼意思呢?
[00:00:31.000 --> 00:00:39.000]  其實「好嘢」正正就是我們所說的福音,Evangelion,就是這個好消息最原本的意思,
[00:00:39.000 --> 00:00:49.000]  所以這次我們就將我們教會裡面最寶貴、最好的東西來分享,所以「好嘢」可以是一個名詞,
[00:00:49.000 --> 00:01:02.000]  可以是一個形容詞,也可以是一個座語詞,三個都對的,我們就懷著「好好嘢」的心情來形容這份好的東西。
[00:01:02.000 --> 00:01:16.000]  今天就不是下個星期,應該說下個星期開始就是我們一年三個星期的可以邀請你的朋友來教會的崇拜,
[00:01:16.000 --> 00:01:23.000]  其實每個星期都可以的,不過接下來的三個星期就特別來推動一下。
[00:01:23.000 --> 00:01:34.000]  今天只有一個目的,就是我們一起來更加明白上帝對於他的教會的心意,
[00:01:34.000 --> 00:01:40.000]  我們為什麼要將這個「好嘢」傳揚,去見證耶穌。
[00:01:40.000 --> 00:01:49.000]  我們一起去祈禱,天父求你幫助我們,我們留堂這個教會,我們恭敬的來聆聽你的說話,
[00:01:49.000 --> 00:01:57.000]  藉著你的聖言去提醒我們眾人,我們每一個的弟兄姊妹,
[00:01:57.000 --> 00:02:06.000]  我們清楚明白認定你對教會的心意,你對我們留堂,
[00:02:06.000 --> 00:02:13.000]  在這個香港,在這個不同的地方裏面,我們成為教會的心意。
[00:02:13.000 --> 00:02:22.000]  幫助孩子,雖然孩子不配,求你幫我能夠有清楚的言語去說出你的說話,奉主命求,阿們。
[00:02:22.000 --> 00:02:29.000]  我們來看一段經文,是有關《少林傳》尾門一段的故事。
[00:02:29.000 --> 00:02:35.000]  大家都熟悉的,我們讀一次,《少林傳》的第三章,一到第十節。
[00:02:35.000 --> 00:02:39.000]  那些字有一點小,但是看到的就讀,看不到的就背。
[00:02:39.000 --> 00:02:43.000]  我們一起讀,預備,1,2,3,謝謝。
[00:02:43.000 --> 00:02:48.000]  一段早期教會的片段,尾門的故事。
[00:02:48.000 --> 00:02:54.000]  彼得和約翰在正午,即是新初,即是三點多的時候,
[00:02:54.000 --> 00:03:00.000]  在聖殿裏面遇見一個瘸腿的人,一個瘸了的人。
[00:03:00.000 --> 00:03:09.000]  對於一位長期在聖殿門口等人周祭的人,他們就介紹耶穌給他們認識。
[00:03:09.000 --> 00:03:14.000]  然後他就奉耶穌的名來叫這位瘸腿的人行走神蹟。
[00:03:14.000 --> 00:03:21.000]  一個很經典的早期教會裏面,就是傳福音,見證耶穌的故事。
[00:03:21.000 --> 00:03:30.000]  很多時候我們讀經文,都會將重點放在彼得對瘸腿人的說話裏面。
[00:03:30.000 --> 00:03:38.000]  「金銀我都沒有,紙板我所有的都給你,我奉聖人耶穌的名叫你起來行走。」
[00:03:38.000 --> 00:03:44.000]  當然這句話有很多值得我們細想認識的宿命價值。
[00:03:44.000 --> 00:03:53.000]  重點不是在這句話裏面,而是在後面的描述裏面。
[00:03:53.000 --> 00:04:00.000]  如果你細心閱讀這篇經文,你會發現這個神蹟出現之後,
[00:04:00.000 --> 00:04:07.000]  所有人都繼續非常仔細地去描述後面所發生的事情。
[00:04:07.000 --> 00:04:16.000]  「拉著祂的手扶起祂來,祂的腳和果子骨立刻見狀了,就跳起來站著又行走,
[00:04:16.000 --> 00:04:23.000]  同祂們進了殿,走著跳著讚美神,百姓都看見祂行走,讚美上帝,
[00:04:23.000 --> 00:04:32.000]  認得祂是那素常坐在殿的每門口求救的,就因祂所遇見的事滿心稀奇驚訝。」
[00:04:32.000 --> 00:04:40.000]  這段話有什麼特別呢?特別是在神蹟後面的後續裏面。
[00:04:40.000 --> 00:04:48.000]  當耶穌行完神蹟之後,整個故事基本上都結束了。
[00:04:48.000 --> 00:04:52.000]  或者說整個神蹟故事最高峰的地方就是神蹟那一刻。
[00:04:52.000 --> 00:04:57.000]  不過這次就不一樣,這次不是那麼簡單。
[00:04:57.000 --> 00:05:06.000]  在神蹟完結之後,素人尊就繼續去描述一段再歌再舞的片段。
[00:05:06.000 --> 00:05:11.000]  為了表達這個效果,我用了AI製作了一段30秒的片段,
[00:05:11.000 --> 00:05:20.000]  大家可以看看後面AI製作的片段,大家可以欣賞一下。
[00:05:20.000 --> 00:05:29.000]  是一個印度的歌舞片,真的。
[00:05:29.000 --> 00:05:33.000]  突然就會跳舞,是真的那麼認真的。
[00:05:33.000 --> 00:05:40.000]  當那一段片段看完,素人尊就不是說多謝那麼簡單,
[00:05:40.000 --> 00:05:45.000]  素人尊就彈起來,這個時刻我要爆了。
[00:05:45.000 --> 00:05:50.000]  素人尊就瘋狂的跳舞,不單單自己跳舞,
[00:05:50.000 --> 00:05:56.000]  拉上彼得和約翰一起跳舞,素人尊就大聲的讚美神,
[00:05:56.000 --> 00:06:00.000]  一直走著跳著衝進聖殿裡面。
[00:06:00.000 --> 00:06:04.000]  更加誇張的是第九節,白聖說什麼呢?
[00:06:04.000 --> 00:06:11.000]  整個聖殿都被狂熱的法律感染,一起去讚美神。
[00:06:11.000 --> 00:06:21.000]  所以一個神跡依次的故事,轉化為一個全場起舞一起讚美神的Bollywood,
[00:06:21.000 --> 00:06:28.000]  這樣的美門故事才是最原汁原味的美門故事。
[00:06:28.000 --> 00:06:33.000]  這個充滿印度色彩的美門Bollywood,
[00:06:33.000 --> 00:06:41.000]  想跟我們說些什麼訊息呢?其實當你仔細去讀素人尊第二三四章的時候,
[00:06:41.000 --> 00:06:47.000]  你會發現聖經一直都說一個敬拜群體的故事。
[00:06:47.000 --> 00:06:52.000]  如果你研究素人尊第二到第四章的結構,
[00:06:52.000 --> 00:07:00.000]  你會發現路加在寫整本書的時候是一個非常特別的文學鋪陳。
[00:07:00.000 --> 00:07:06.000]  第二章四十四至四十七節形容教會,大家熟悉經文,
[00:07:06.000 --> 00:07:11.000]  信的人都在一處凡物公用,全著歡喜誠實的心用凡,
[00:07:11.000 --> 00:07:14.000]  讚美上帝,得眾民的喜愛。
[00:07:14.000 --> 00:07:18.000]  第四章三十二節,同樣的再一次來形容,
[00:07:18.000 --> 00:07:23.000]  那許多人信的人都是一心一意的,沒有一人說他的東西有一樣是自己的,
[00:07:23.000 --> 00:07:28.000]  都是凡物公用,眾人都蒙大恩。
