
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹平安,祈老邪和大家拜個年
[00:00:04.000 --> 00:00:06.000]  祝大家身體健康,新年進步
[00:00:06.000 --> 00:00:10.000]  每天在新年都跟隨主耶穌的腳蹤
[00:00:10.000 --> 00:00:16.000]  這是我們流唐第六年的新少島
[00:00:16.000 --> 00:00:21.000]  由鼠、牛、虎、兔、龍到蛇
[00:00:21.000 --> 00:00:24.000]  有沒有人跟足六年?
[00:00:24.000 --> 00:00:28.000]  很少人吧?因為以前應該沒有上網
[00:00:28.000 --> 00:00:33.000]  第一年在美國的時候拍攝
[00:00:33.000 --> 00:00:36.000]  有一兩年都是在COVID的時候拍攝
[00:00:36.000 --> 00:00:40.000]  所以今天我們會講這個新少島
[00:00:40.000 --> 00:00:42.000]  星星裡面也有不少蛇的經文
[00:00:42.000 --> 00:00:46.000]  普遍來說,星星裡面的蛇印象也不是太好
[00:00:46.000 --> 00:00:53.000]  例如,斯里漢稱呼法利塞人和薩都該人為毒蛇的種類
[00:00:53.000 --> 00:00:57.000]  這個不用展示了,不太重要
[00:00:57.000 --> 00:01:05.000]  舊約的先知也經常用毒蛇來比喻惡勢力
[00:01:05.000 --> 00:01:07.000]  當然最有名的就是創世紀的蛇
[00:01:07.000 --> 00:01:11.000]  亞當夏娃在伊甸園裡面的蛇
[00:01:11.000 --> 00:01:14.000]  星星裡面第一個的反派就是這條蛇
[00:01:14.000 --> 00:01:18.000]  引誘我們的祖宗犯罪
[00:01:18.000 --> 00:01:22.000]  有人說如果亞當夏娃是廣東人的話
[00:01:22.000 --> 00:01:25.000]  他們應該不會選吃禁果
[00:01:25.000 --> 00:01:27.000]  這是一個更好的選擇
[00:01:27.000 --> 00:01:32.000]  其實星星裡面的蛇不只是第一個反派
[00:01:32.000 --> 00:01:34.000]  也是最後一個反派
[00:01:34.000 --> 00:01:37.000]  在啟神裡的那條古蛇
[00:01:37.000 --> 00:01:41.000]  也是最終末的大壞蛋
[00:01:41.000 --> 00:01:44.000]  星星裡面還有什麼蛇的經文呢?
[00:01:44.000 --> 00:01:46.000]  大家知不知道?
[00:01:46.000 --> 00:01:50.000]  原來星星裡面的蛇也有些是被上帝使用的
[00:01:50.000 --> 00:01:55.000]  所以耶穌的比喻中也會用蛇來做比喻
[00:01:55.000 --> 00:01:57.000]  拿方案第十一章說
[00:01:57.000 --> 00:01:59.000]  耶穌說你們中間作父的
[00:01:59.000 --> 00:02:06.000]  誰有兒子求餅,凡給他石頭,求乳,反拿蛇當乳給他呢?
[00:02:06.000 --> 00:02:08.000]  這句更加熟經文
[00:02:08.000 --> 00:02:14.000]  就是那句,經常叫你靈巧像蛇,純良像甲子
[00:02:14.000 --> 00:02:17.000]  不過我這麼多年來也不懂得怎樣靈巧像蛇
[00:02:17.000 --> 00:02:20.000]  我也不懂怎樣可以早變成真正的蛇
[00:02:20.000 --> 00:02:22.000]  以後可以靈巧地做
[00:02:22.000 --> 00:02:24.000]  所以今天就不說經文了
[00:02:24.000 --> 00:02:29.000]  蛇不單是上帝的比喻
[00:02:29.000 --> 00:02:32.000]  更加是先知在舊書裡面
[00:02:32.000 --> 00:02:34.000]  不少的預言提到
[00:02:34.000 --> 00:02:37.000]  耶穌說猜險毒蛇來懲罰人
[00:02:37.000 --> 00:02:40.000]  上帝喜歡放蛇去咬人
[00:02:40.000 --> 00:02:43.000]  作為對惡人的懲罰
[00:02:43.000 --> 00:02:45.000]  其中一個大家看到的故事
[00:02:45.000 --> 00:02:48.000]  就是童蛇和火蛇的故事
[00:02:48.000 --> 00:02:51.000]  猜險一條火蛇出來
[00:02:51.000 --> 00:02:53.000]  去咬犯罪的色烈人
[00:02:53.000 --> 00:02:55.000]  有一團童出來
[00:02:55.000 --> 00:02:57.000]  去醫治被咬的色烈人
[00:02:57.000 --> 00:02:58.000]  今天讀什麼呢?
[00:02:58.000 --> 00:03:00.000]  今天我們會說另一段
[00:03:00.000 --> 00:03:03.000]  就是上帝用蛇經文
[00:03:03.000 --> 00:03:05.000]  我覺得這是一句很有趣的經文
[00:03:05.000 --> 00:03:10.000]  就是摩西手杖變蛇經文
[00:03:10.000 --> 00:03:12.000]  今天我們會探討這句經文
[00:03:12.000 --> 00:03:13.000]  變變有關係的
[00:03:13.000 --> 00:03:15.000]  還是說說變變的粵語題
[00:03:15.000 --> 00:03:16.000]  就是變蛇
[00:03:16.000 --> 00:03:19.000]  一起讀經文吧
[00:03:19.000 --> 00:03:21.000]  初學者記的兩段聖經
[00:03:21.000 --> 00:03:23.000]  麻煩數經文
[00:03:23.000 --> 00:03:25.000]  第一段是第四章
[00:03:25.000 --> 00:03:26.000]  第二段是第七章
[00:03:26.000 --> 00:03:27.000]  我們一起讀吧
[00:03:27.000 --> 00:03:28.000]  預備 1 2 3
[00:03:28.000 --> 00:03:30.000]  我們一起讀
[00:03:30.000 --> 00:03:31.000]  上帝多謝你
[00:03:31.000 --> 00:03:34.000]  讓我們能夠在年初四裡敬拜你
[00:03:34.000 --> 00:03:36.000]  求你自己將你的說話
[00:03:36.000 --> 00:03:39.000]  昔日你對摩西的故事
[00:03:39.000 --> 00:03:41.000]  你去教導我們
[00:03:41.000 --> 00:03:43.000]  你的靈在當中
[00:03:43.000 --> 00:03:44.000]  引導我們每個弟子妹
[00:03:44.000 --> 00:03:46.000]  更加來懂得思想
[00:03:46.000 --> 00:03:49.000]  當日摩西的生命
[00:03:49.000 --> 00:03:51.000]  求主讓我們更加明白
[00:03:51.000 --> 00:03:52.000]  你的心意
[00:03:52.000 --> 00:03:54.000]  能夠按照你的說話而行
[00:03:54.000 --> 00:03:55.000]  求主你幫助我們
[00:03:55.000 --> 00:03:56.000]  奉主命求
[00:03:56.000 --> 00:03:57.000]  阿門
[00:03:57.000 --> 00:04:00.000]  摩西手杖變蛇的故事
[00:04:00.000 --> 00:04:03.000]  在初學記裡所記載
[00:04:03.000 --> 00:04:04.000]  首先讀一段
