
[00:00:00.000 --> 00:00:02.000]  頂尖師妹晚安
[00:00:02.000 --> 00:00:04.640]  在這裡跟大家拜個年
[00:00:04.640 --> 00:00:06.640]  新年快樂
[00:00:06.640 --> 00:00:09.480]  跟網上的頂尖師妹說一聲新年快樂
[00:00:09.480 --> 00:00:14.200]  這次的雙月題變變變
[00:00:14.200 --> 00:00:17.200]  不知道大家聽了多少堂道呢
[00:00:17.200 --> 00:00:20.680]  最深刻的訊息是哪一個呢
[00:00:20.680 --> 00:00:25.480]  是徐牧師的一道風景
[00:00:25.480 --> 00:00:27.480]  一種心靈的第二集
[00:00:27.480 --> 00:00:32.080]  還是嘉Sir鼓勵我們至少做一件離譜的事
[00:00:32.080 --> 00:00:34.080]  enslavement in the community
[00:00:34.080 --> 00:00:37.480]  還是潘Sir鼓勵我們如何用心栽種
[00:00:37.480 --> 00:00:42.080]  還是John的變身是一趟同上主同行的旅程
[00:00:42.080 --> 00:00:45.080]  我想不同的目者都用不同的角度
[00:00:45.080 --> 00:00:48.080]  去跟我們反思改變這個課題
[00:00:48.080 --> 00:00:52.080]  今天的講題叫做reprise
[00:00:52.080 --> 00:00:56.080]  是源於早前的一套電影
[00:00:56.080 --> 00:00:58.080]  不知道大家有沒有看
[00:00:58.080 --> 00:01:02.080]  就是這套《久別重逢》
[00:01:02.080 --> 00:01:04.080]  這套電影深深影響著我
[00:01:04.080 --> 00:01:08.080]  不是因為很多姐妹的頭號偶像
[00:01:08.080 --> 00:01:11.080]  無論你是Ian還是E建的粉絲
[00:01:11.080 --> 00:01:14.080]  也不是迷倒很多中年
[00:01:14.080 --> 00:01:20.080]  很多男士的重新勾起對初戀很多回憶的女主角
[00:01:20.080 --> 00:01:21.080]  不是的
[00:01:21.080 --> 00:01:25.080]  純粹我看完之後就想到有關變變變的訊息
[00:01:25.080 --> 00:01:30.080]  這套電影大概是講一個音樂人遇到人生的瓶頸位
[00:01:30.080 --> 00:01:32.080]  那種無力
[00:01:32.080 --> 00:01:34.080]  那種好像做什麼都是錯的
[00:01:34.080 --> 00:01:38.080]  所以就選擇了算了
[00:01:38.080 --> 00:01:40.080]  放棄
[00:01:40.080 --> 00:01:42.080]  我想這種人生的經歷
[00:01:42.080 --> 00:01:44.080]  可能你和我都試過
[00:01:44.080 --> 00:01:46.080]  經歷過失敗
[00:01:46.080 --> 00:01:48.080]  覺得自己不被接納
[00:01:48.080 --> 00:01:51.080]  就算了
[00:01:51.080 --> 00:01:53.080]  放棄
[00:01:53.080 --> 00:01:56.080]  所以今天選擇《約翰福音》第21章
[00:01:56.080 --> 00:02:00.080]  讓我們看看耶穌在復活之後
[00:02:00.080 --> 00:02:04.080]  升天之前最後一次和門徒顯現的事蹟
[00:02:04.080 --> 00:02:12.080]  《約翰福音》第20章其實都提過耶穌在復活之後
[00:02:12.080 --> 00:02:14.080]  和門徒顯現了兩次
[00:02:14.080 --> 00:02:18.080]  並且在門徒面前也行了很多神蹟
[00:02:18.080 --> 00:02:20.080]  去到第21章就說到
[00:02:20.080 --> 00:02:25.080]  當時一群門徒在提比利亞海裡聚集
[00:02:25.080 --> 00:02:26.080]  圍在一起
[00:02:26.080 --> 00:02:29.080]  包括今天的主角彼得
[00:02:29.080 --> 00:02:31.080]  在《晚安福音》也記載
[00:02:31.080 --> 00:02:34.080]  天使說其實耶穌復活之後
[00:02:34.080 --> 00:02:37.080]  就會在加利亞大地顯現
[00:02:37.080 --> 00:02:41.080]  所以來自不同鄉下的門徒聚集在這裡
[00:02:41.080 --> 00:02:43.080]  也很合理
[00:02:43.080 --> 00:02:47.080]  有一晚彼得就和一群兄弟說
[00:02:47.080 --> 00:02:50.080]  不如我們去打魚吧
[00:02:50.080 --> 00:02:51.080]  然後那群兄弟就說
[00:02:51.080 --> 00:02:54.080]  好啊 我們就一起去
[00:02:54.080 --> 00:02:56.080]  大家想想
[00:02:56.080 --> 00:02:59.080]  到底彼得在發生了這麼多事情之後
[00:02:59.080 --> 00:03:01.080]  說自己怎樣怎樣愛耶穌
[00:03:01.080 --> 00:03:04.080]  但是就三次不認他
