
[00:00:00.000 --> 00:00:05.520]  多謝每一位在現場參加崇拜的電影姊妹
[00:00:05.520 --> 00:00:10.000]  今天不同了,今天沒有在門口點名
[00:00:10.000 --> 00:00:18.160]  所以進來的時候才知道有認識的人來了
[00:00:18.160 --> 00:00:21.760]  特別是我看到一整組人一起來
[00:00:21.760 --> 00:00:26.560]  可能剛剛吃完飯,要習慣在附近找吃的
[00:00:26.560 --> 00:00:28.560]  那邊貴很多
[00:00:28.560 --> 00:00:32.960]  那邊的價錢還可以
[00:00:32.960 --> 00:00:34.960]  一個星期吃一餐還可以
[00:00:34.960 --> 00:00:38.960]  可能要適應一下
[00:00:38.960 --> 00:00:40.960]  新朋友可能要適應一下
[00:00:40.960 --> 00:00:43.520]  都是佐敦站近尖沙咀站
[00:00:43.520 --> 00:00:45.520]  雖然地址是尖沙咀
[00:00:45.520 --> 00:00:47.520]  在奧斯丁度
[00:00:47.520 --> 00:00:51.280]  但應該是佐敦恆豐中心出口最快到這裡
[00:00:51.280 --> 00:00:53.280]  不用介紹了
[00:00:53.280 --> 00:00:56.800]  因為我上星期報告完之後
[00:00:56.800 --> 00:00:58.800]  如果看不到Google map就幫不到他
[00:00:58.800 --> 00:01:00.800]  我就被人問
[00:01:00.800 --> 00:01:02.800]  潘Sir不懂得看Google map,什麼方法最快去
[00:01:02.800 --> 00:01:07.920]  我真的告訴他,是佐敦站最近
[00:01:07.920 --> 00:01:13.520]  很開心大家一起來崇拜
[00:01:13.520 --> 00:01:18.080]  今天的講題是上帝視覺
[00:01:18.080 --> 00:01:23.520]  不知道你對這個字或用詞有什麼聯想
[00:01:23.520 --> 00:01:28.640]  如果玩遊戲的話,有上帝視覺就無往而不利
[00:01:28.640 --> 00:01:32.880]  因為整盤數都看了,知道要怎麼玩
[00:01:32.880 --> 00:01:34.880]  不知道你會不會打麻將
[00:01:34.880 --> 00:01:36.880]  不打麻將不要緊
[00:01:36.880 --> 00:01:38.880]  上帝視覺對於你來說是什麼呢
[00:01:38.880 --> 00:01:44.000]  有些人你了解是一個預視的能力
[00:01:44.000 --> 00:01:46.000]  或者是中觀全局的能力
[00:01:46.000 --> 00:01:48.000]  但對於我來說
[00:01:48.000 --> 00:01:51.760]  上帝視覺是第三身去看那件事
[00:01:51.760 --> 00:01:55.520]  很多時候你都會牽涉在當中
[00:01:55.520 --> 00:01:57.520]  或者成為其中一部分的人
[00:01:57.520 --> 00:01:59.520]  但有時候你抽一抽出來
[00:01:59.520 --> 00:02:01.520]  成為第三身去看這件事的時候
[00:02:01.520 --> 00:02:07.760]  我相信你的感受或你的看法
