
[00:00:00.000 --> 00:00:09.000]  今天我們會看的經文,我先講一下經文的重點
[00:00:09.000 --> 00:00:14.000]  經文是尼希米記,記載以色列亡國之後
[00:00:14.000 --> 00:00:21.000]  有一個領袖尼希米帶領一群在耶路撒冷的百姓
[00:00:21.000 --> 00:00:24.000]  想重建城牆
[00:00:24.000 --> 00:00:29.000]  在重建的過程中,正受到敵人的攻擊滋擾
[00:00:29.000 --> 00:00:35.000]  迫使這群百姓打算放棄,不再建下去
[00:00:35.000 --> 00:00:44.000]  我會從經文的主要脈絡,和大家想一想今天的中心思想
[00:00:44.000 --> 00:00:49.000]  我們曾經為一些事堅持了很久
[00:00:49.000 --> 00:00:55.000]  但一直看不到成效,甚至在過程中受到一定的打擊
[00:00:55.000 --> 00:00:59.000]  你有沒有想過放棄?
[00:00:59.000 --> 00:01:04.000]  尼希米很火速地回應了這群百姓意志消沉
[00:01:04.000 --> 00:01:09.000]  然後在經文中,我們今天會看到其中一句
[00:01:09.000 --> 00:01:18.000]  他說從那天起,這群百姓用另一種態度去完成眼前一個不可能的事
[00:01:18.000 --> 00:01:25.000]  有時候是困境逼出我們內心的真性情
[00:01:25.000 --> 00:01:29.000]  這種性情可能連你自己都不知道
[00:01:29.000 --> 00:01:36.000]  你當是能力解鎖也好,或是上帝升級你也好
[00:01:36.000 --> 00:01:40.000]  這種性情就是使你從那天起
[00:01:40.000 --> 00:01:47.000]  成為一手作弓一手拿兵器的人
[00:01:47.000 --> 00:01:52.000]  今天我嘗試從這段經文,讓我們一起思想
[00:01:52.000 --> 00:01:55.000]  究竟你有什麼原則去堅持?
[00:01:55.000 --> 00:01:57.000]  有什麼理由去放棄?
[00:01:57.000 --> 00:02:01.000]  讓我們先讀一讀經文
[00:02:01.000 --> 00:02:05.000]  如果大家看到PowerPoint都可以讀一讀這段經文
[00:02:05.000 --> 00:02:07.000]  預備起
[00:02:07.000 --> 00:02:15.000]  剛才所讀的經文是敵人其中兩次攻擊以色列民和尼希米
[00:02:15.000 --> 00:02:19.000]  我們今天會分兩段先了解他們做過什麼事
[00:02:19.000 --> 00:02:22.000]  尼希米又做了什麼回應
[00:02:22.000 --> 00:02:25.000]  第一個段落是四章的一至六節
[00:02:25.000 --> 00:02:28.000]  敵人去譏笑他們
[00:02:28.000 --> 00:02:30.000]  跟他們說你建城牆是沒用的
[00:02:30.000 --> 00:02:32.000]  你們浪費心機
[00:02:32.000 --> 00:02:36.000]  就算狐狸跳上去,你的城牆都會倒塌
[00:02:36.000 --> 00:02:40.000]  他想用譏笑去打擊他們的信心
[00:02:40.000 --> 00:02:45.000]  讓他們不能夠繼續做下去
[00:02:45.000 --> 00:02:49.000]  你讀什麼書?讀來有用嗎?
[00:02:49.000 --> 00:02:51.000]  大學留給你的嗎?
[00:02:51.000 --> 00:02:54.000]  你這麼拼命做什麼?
[00:02:54.000 --> 00:02:56.000]  你想拼命升職嗎?
[00:02:56.000 --> 00:02:58.000]  你信什麼耶穌?
[00:02:58.000 --> 00:03:01.000]  信到你今天這樣
[00:03:01.000 --> 00:03:06.000]  學什麼人讀神學做傳道人?
[00:03:06.000 --> 00:03:09.000]  這些我全部都聽過
[00:03:09.000 --> 00:03:12.000]  敵人對你的藐視
[00:03:12.000 --> 00:03:16.000]  尼希米沒有用口舌去回應
[00:03:16.000 --> 00:03:18.000]  他做了什麼?
[00:03:18.000 --> 00:03:20.000]  他禱告神
[00:03:20.000 --> 00:03:24.000]  他跟上帝分工一人做一樣
[00:03:24.000 --> 00:03:28.000]  他說我們的神求你誰聽
[00:03:28.000 --> 00:03:31.000]  因為我們被藐視
[00:03:31.000 --> 00:03:35.000]  這個我們不單止是尼希米和那班百姓
[00:03:35.000 --> 00:03:39.000]  他更把神包括在我們裡面
[00:03:39.000 --> 00:03:43.000]  因為這班敵人藐視上帝
[00:03:43.000 --> 00:03:48.000]  覺得上帝做的事是搞笑的
[00:03:48.000 --> 00:03:52.000]  他禱告神說我和你都被藐視
[00:03:52.000 --> 00:03:54.000]  於是他跟神分工
[00:03:54.000 --> 00:03:57.000]  神就專心對付敵人
[00:03:57.000 --> 00:04:00.000]  交給你不用客氣,尼希米這樣說
[00:04:00.000 --> 00:04:02.000]  而我們百姓是做什麼?
[00:04:02.000 --> 00:04:04.000]  專心建城牆
[00:04:04.000 --> 00:04:06.000]  很多時候我們禱告反過來
[00:04:06.000 --> 00:04:09.000]  我們希望神專心建城牆
[00:04:09.000 --> 00:04:12.000]  我們繼續跟敵人開火
[00:04:12.000 --> 00:04:14.000]  我們不忿氣
[00:04:14.000 --> 00:04:16.000]  神幫我完成這些工作
[00:04:16.000 --> 00:04:18.000]  神即其事
[00:04:18.000 --> 00:04:20.000]  但尼希米不是這樣
[00:04:20.000 --> 00:04:21.000]  剛剛相反
[00:04:21.000 --> 00:04:25.000]  他將敵人交在神的手裡
[00:04:25.000 --> 00:04:28.000]  我們做我們的事
[00:04:28.000 --> 00:04:31.000]  所以如果你繼續看下去尼希米記
[00:04:31.000 --> 00:04:33.000]  你會發現當他建好城牆之後
[00:04:33.000 --> 00:04:36.000]  他做了一個很特別的舉動
[00:04:36.000 --> 00:04:42.000]  就是叫所有百姓站在城牆上讚美神
[00:04:42.000 --> 00:04:44.000]  回應那句話
[00:04:44.000 --> 00:04:47.000]  就是狐狸站上去都會倒
[00:04:47.000 --> 00:04:52.000]  我們現在所有百姓都站在城牆上
[00:04:52.000 --> 00:04:55.000]  第一段經文給我們看
[00:04:55.000 --> 00:04:57.000]  我們需要有專心
[00:04:57.000 --> 00:04:59.000]  當他們專心的時候
