
[00:00:00.000 --> 00:00:09.600]  我們回想單是這一年,回想一下也有很多關是很難過的
[00:00:09.600 --> 00:00:13.520]  今天所看的經文較為有些特別
[00:00:13.520 --> 00:00:18.520]  很多關口可能是來自外奸或艱難的事
[00:00:18.520 --> 00:00:22.800]  不過今天所看的經文是耶穌設的一關
[00:00:22.800 --> 00:00:29.360]  有一個叫少年觀的人來求問耶穌怎樣可以得著永生
[00:00:29.360 --> 00:00:33.320]  耶穌沒有回答他,反而設了一個難關給他
[00:00:33.320 --> 00:00:37.560]  今天我想和大家一起思想一個主題
[00:00:37.560 --> 00:00:45.280]  在福音書裡面,或者耶穌自己常常提到我們要撇下、捨去、放手
[00:00:45.280 --> 00:00:48.560]  究竟是關於什麼呢?
[00:00:48.560 --> 00:00:51.160]  我先說答案
[00:00:51.160 --> 00:00:53.480]  耶穌常常提到這些事情
[00:00:53.480 --> 00:01:00.000]  是叫我和主之間不要存在太多人與事
[00:01:00.000 --> 00:01:05.480]  不要設太多前提在我和主之間
[00:01:05.480 --> 00:01:07.480]  究竟為什麼要這樣做呢?
[00:01:07.480 --> 00:01:11.720]  我們嘗試透過今天所看的經文分三個部分
[00:01:11.720 --> 00:01:18.320]  一同去想一下,究竟主為什麼要我撇下、捨去和放手
[00:01:18.320 --> 00:01:24.600]  今天所看的經文是《馬可福音》十章十七至二十二節
[00:01:24.600 --> 00:01:29.400]  相信如果回教會久了的頂子們對這段經文都有印象
[00:01:29.400 --> 00:01:32.920]  我們一同先讀出這段經文,預備
[00:01:32.920 --> 00:01:37.120]  經文的主角是一位叫少年觀的角色
[00:01:37.120 --> 00:01:42.040]  在當時的世界來說,觀也可以是宗教的領袖
[00:01:42.040 --> 00:01:45.440]  我們通常叫人做阿Sir
[00:01:45.440 --> 00:01:50.440]  可能他是警察,也可能是學校的老師
[00:01:50.440 --> 00:01:54.120]  這是宗教的老師
[00:01:54.120 --> 00:01:57.560]  他去求教耶穌一件事
[00:01:57.560 --> 00:02:03.840]  就是他問我當做什麼事才可以承受永生呢?
[00:02:03.840 --> 00:02:07.440]  他想問他要做什麼作為一個阿Sir
[00:02:07.440 --> 00:02:12.160]  我想知道做什麼可以承受永生
[00:02:12.160 --> 00:02:15.000]  耶穌聽到這個問題沒有直接回答他
[00:02:15.000 --> 00:02:18.040]  反而跟他說了一番話
[00:02:18.040 --> 00:02:23.960]  就是為什麼要叫耶穌做良善的夫子
[00:02:23.960 --> 00:02:26.600]  因為對這個宗教領袖來說
[00:02:26.600 --> 00:02:30.800]  良善的定義就是一個守律法的老師
[00:02:30.800 --> 00:02:34.240]  他現在走到耶穌面前,好像同行請教
[00:02:34.240 --> 00:02:38.680]  就是一個阿Sir,請教另一個守律法守得很好的阿Sir
[00:02:38.680 --> 00:02:43.360]  究竟我再做什麼可以承受永生呢?
[00:02:43.360 --> 00:02:46.520]  耶穌就是先跟他談這個問題
[00:02:46.520 --> 00:02:50.040]  究竟你定義的那種良善
[00:02:50.040 --> 00:02:52.760]  跟我定義的那種良善
[00:02:52.760 --> 00:02:55.200]  會不會有很大的出入呢?
[00:02:55.200 --> 00:03:01.040]  耶穌說良善不是你想的那種守律法的那一種
[00:03:01.040 --> 00:03:05.720]  耶穌說除了神之外,再沒有良善的
[00:03:05.720 --> 00:03:11.200]  耶穌是從神的屬性去說這一份良善
[00:03:11.200 --> 00:03:14.640]  如果我們同意這個答案之後
[00:03:14.640 --> 00:03:17.960]  耶穌之後所問的問題
[00:03:17.960 --> 00:03:20.040]  對那個官的挑戰
[00:03:20.040 --> 00:03:23.280]  他就是用神的角度跟他談
[00:03:23.280 --> 00:03:25.960]  關於你想問的問題
[00:03:25.960 --> 00:03:28.600]  我不是從老師的角度回答你
[00:03:28.600 --> 00:03:31.800]  你既然說我是良善,神是良善
[00:03:31.800 --> 00:03:35.600]  那我就從神的角度跟你談一下
[00:03:35.600 --> 00:03:38.520]  你的強項關於守律法
[00:03:38.520 --> 00:03:42.120]  所以接下來,耶穌就開始問他了
[00:03:42.120 --> 00:03:48.000]  耶穌問了十誡裡面其中的六條誡命的五條半
[00:03:48.000 --> 00:03:50.600]  關於人與人相處的
[00:03:50.600 --> 00:03:52.920]  不是六條,是五條半
[00:03:52.920 --> 00:03:57.960]  你有沒有留意到其中一條是十誡裡面不是這樣寫的?
[00:03:57.960 --> 00:04:00.320]  記不記得哪一條?第十誡
[00:04:00.320 --> 00:04:03.520]  「不可貪戀別人的」
[00:04:03.520 --> 00:04:04.760]  耶穌沒有問這條
[00:04:04.760 --> 00:04:07.960]  他改為「不可窺負人」
[00:04:07.960 --> 00:04:10.600]  他問他半條而已
[00:04:10.600 --> 00:04:14.400]  對於耶穌望見的少年官來說
[00:04:14.400 --> 00:04:16.200]  他是一個好人
[00:04:16.200 --> 00:04:21.000]  他知道他真的沒有為了貪婪別人的東西
[00:04:21.000 --> 00:04:22.880]  去壓榨別人
[00:04:22.880 --> 00:04:24.520]  他沒有窺負別人
