
[00:00:00.000 --> 00:00:07.320]  2026年第一次在講壇當中跟大家一起去敬拜
[00:00:07.320 --> 00:00:13.880]  一起去聽上帝的說話,看聖經
[00:00:13.880 --> 00:00:19.040]  在預備留堂的今年的信息當中
[00:00:19.040 --> 00:00:22.720]  關於Flow Church這個主題
[00:00:22.720 --> 00:00:26.640]  其實過去那六年,無論自己教書
[00:00:26.640 --> 00:00:34.280]  或者去講解留堂的牧羊系統和更新是甚麼的時候
[00:00:34.280 --> 00:00:38.000]  其實都講過很多不同的場合
[00:00:38.000 --> 00:00:41.720]  但以港道為一個粵題去講
[00:00:41.720 --> 00:00:44.240]  其實都想了一段時間
[00:00:44.240 --> 00:00:47.000]  其實用哪一個角度去切入
[00:00:47.000 --> 00:00:52.520]  讓弟兄姊妹了解其實Flow Church在做甚麼呢?
[00:00:52.520 --> 00:00:58.080]  選擇了二弗所書跟大家一起去了解
[00:00:58.080 --> 00:01:01.480]  過去你看二弗所書在不同階段看
[00:01:01.480 --> 00:01:05.960]  但二弗所書一直以來都是在教會的發展
[00:01:05.960 --> 00:01:11.600]  和教會的藍圖,一個圖標的環境當中去理解
[00:01:11.600 --> 00:01:14.000]  正是上帝的計劃
[00:01:14.000 --> 00:01:19.240]  從遠古的計劃去到耶穌基督實現了
[00:01:19.240 --> 00:01:22.960]  成就了到人接受耶穌基督的救恩
[00:01:22.960 --> 00:01:27.240]  以至開展教會成為多人的祝福
[00:01:27.240 --> 00:01:31.480]  二弗所書是一個起承轉合的過程
[00:01:31.480 --> 00:01:34.800]  在經文的時候,由第一章開始
[00:01:34.800 --> 00:01:38.440]  跟大家重溫一點
[00:01:38.440 --> 00:01:40.360]  第一章十三節是這樣說的
[00:01:40.360 --> 00:01:43.520]  「你們既聽見真理的靈,真理的道
[00:01:43.520 --> 00:01:46.040]  就是那叫你們得救的福音
[00:01:46.040 --> 00:01:47.720]  也信了基督
[00:01:47.720 --> 00:01:52.760]  既然信他,就受了所應許的聖靈為印記」
[00:01:52.760 --> 00:01:56.960]  我們是因聽道而信道
[00:01:56.960 --> 00:02:02.560]  是因聽道而受感動去接受耶穌基督的福音
[00:02:02.560 --> 00:02:05.440]  正正在接受耶穌基督的福音的時候
[00:02:05.440 --> 00:02:09.720]  就應驗了在約翰福音裡面說到
[00:02:09.720 --> 00:02:12.560]  耶穌說祂會離開
[00:02:12.560 --> 00:02:15.800]  但祂會賜真理的聖靈來到
[00:02:15.800 --> 00:02:19.240]  而這個保衛師會常伴你左右
[00:02:19.240 --> 00:02:21.920]  聖靈Para Kratos
[00:02:21.920 --> 00:02:23.680]  Para是圍著的意思
[00:02:23.680 --> 00:02:24.880]  Kratos是Speak
[00:02:24.880 --> 00:02:26.400]  會對你說話的
[00:02:26.400 --> 00:02:28.800]  這個說話的上帝的靈
[00:02:28.800 --> 00:02:31.400]  會繼續讓我們明白真理
[00:02:31.400 --> 00:02:35.120]  這是從創世讓我們明白到
[00:02:35.120 --> 00:02:39.200]  原來上帝又是這麼遠
[00:02:39.200 --> 00:02:41.240]  但又是那麼近
[00:02:41.240 --> 00:02:42.800]  不是遙不可及
[00:02:42.800 --> 00:02:45.320]  但又是你找祂的時候
[00:02:45.320 --> 00:02:47.440]  祂會跟你說話
[00:02:47.440 --> 00:02:48.640]  在第一章
[00:02:48.640 --> 00:02:51.400]  頭半章的時候說了一句話
[00:02:51.400 --> 00:02:54.480]  到了第十五到二十三節的時候
[00:02:54.480 --> 00:02:56.040]  第一章十八節
[00:02:56.040 --> 00:02:58.680]  「並且照明你們心中的眼睛
[00:02:58.680 --> 00:03:02.520]  使你們知道祂的恩兆有何等指貌
[00:03:02.520 --> 00:03:06.640]  祂在聖徒中得基業
[00:03:06.640 --> 00:03:09.440]  何等豐盛的榮耀」
[00:03:09.440 --> 00:03:11.840]  原來不是僅僅知道
[00:03:11.840 --> 00:03:15.240]  真理的靈會上伴我們左右之外
[00:03:15.240 --> 00:03:18.120]  原來祂也會開啟我們的眼睛
[00:03:18.120 --> 00:03:21.760]  看到一些我們從來都沒有看過的東西
[00:03:21.760 --> 00:03:25.320]  又或者看到一些我們過去沒有看重的東西
[00:03:25.320 --> 00:03:26.880]  以致我們的價值觀
[00:03:26.880 --> 00:03:28.200]  我們的信仰
[00:03:28.200 --> 00:03:30.280]  是在改變我們的視野
[00:03:30.280 --> 00:03:33.440]  從而改變我們生活的擺位
[00:03:33.440 --> 00:03:36.840]  這件事可能過去你還沒信主的時候
