
[00:00:00.000 --> 00:00:05.400]  我感受到剛才那種安靜和退休的感覺
[00:00:05.400 --> 00:00:10.200]  如果你這個月還未退休
[00:00:10.200 --> 00:00:12.200]  或者接下來你想退休
[00:00:12.200 --> 00:00:17.040]  我建議大家可以拿今晚的祖師歌
[00:00:17.040 --> 00:00:19.040]  給自己一個安靜的時刻
[00:00:19.040 --> 00:00:21.680]  因為在過程當中
[00:00:21.680 --> 00:00:24.320]  讓大家一起經歷
[00:00:24.320 --> 00:00:27.080]  祖師歌的提醒和幫助
[00:00:27.080 --> 00:00:33.280]  我這個月的講道經文
[00:00:33.280 --> 00:00:36.480]  其實是在呼應上一個月的講道經文
[00:00:36.480 --> 00:00:40.880]  在這個月題傳奇的過程當中
[00:00:40.880 --> 00:00:44.960]  在這裡我講過好幾次
[00:00:44.960 --> 00:00:49.880]  在最後一季思考和回想的過程當中
[00:00:49.880 --> 00:00:51.880]  都是關於Throat Church的
[00:00:51.880 --> 00:00:57.880]  上一個月的月題的內容是
[00:00:57.880 --> 00:01:00.880]  彼得和哥利留之間發生的事情
[00:01:00.880 --> 00:01:03.880]  一個雙重聖靈的工作
[00:01:03.880 --> 00:01:07.200]  在彼得和哥利留當中都發生了
[00:01:07.200 --> 00:01:12.800]  接著那群猶太人不明白為什麼會發生這樣的事情
[00:01:12.800 --> 00:01:16.800]  彼得就是讓那群猶太人明白到
[00:01:16.800 --> 00:01:19.280]  其實上帝正在做新事
[00:01:19.280 --> 00:01:22.080]  上帝正在做的事情我們不太明白
[00:01:22.080 --> 00:01:24.680]  但上帝其實是繼續在做事
[00:01:24.680 --> 00:01:30.480]  讓那群江東父老嘗試開一個新的向度
[00:01:30.480 --> 00:01:32.880]  去看看上帝的工作
[00:01:32.880 --> 00:01:36.080]  今天的講道經文其實是呼應的
[00:01:36.080 --> 00:01:38.680]  因為上次那頓飯局
[00:01:38.680 --> 00:01:41.680]  其實有些事情還未完
[00:01:41.680 --> 00:01:46.280]  有些魚缸仍然在發酵
[00:01:46.280 --> 00:01:49.280]  魚缸的原因是因為
[00:01:49.280 --> 00:01:51.880]  上帝繼續在外邦人當中做事
[00:01:51.880 --> 00:01:54.280]  上帝繼續在外邦人當中做事的時候
[00:01:54.280 --> 00:01:56.680]  很多外邦人都信了主
[00:01:56.680 --> 00:02:02.080]  和猶太人的猶太歸順的基督徒有些衝突
[00:02:02.080 --> 00:02:05.080]  今天的經文選了在
