
[00:00:00.000 --> 00:00:04.200]  在我們全體群體獻上我們的頌土
[00:00:04.200 --> 00:00:07.400]  來到張林奇的第二個主日
[00:00:07.400 --> 00:00:11.400]  我們一起獻上我們悔改自省的禱告
[00:00:11.400 --> 00:00:16.400]  求你閲立,將我們各人等而未見的罪
[00:00:16.400 --> 00:00:18.400]  我們再次在你面前陳明
[00:00:18.400 --> 00:00:21.400]  這一個孩子,唯有你自己的聖言
[00:00:21.400 --> 00:00:24.400]  來當中提醒我們
[00:00:24.400 --> 00:00:26.400]  求主你幫助我們
[00:00:26.400 --> 00:00:28.400]  今天你自己去對我們說話
[00:00:28.400 --> 00:00:30.400]  藉著你自己的話語
[00:00:30.400 --> 00:00:34.400]  你的這樣的力度去提醒我們
[00:00:34.400 --> 00:00:37.400]  應用在我們每個人個別的生命裏面
[00:00:37.400 --> 00:00:40.400]  好讓我們能夠面對這個世代
[00:00:40.400 --> 00:00:42.400]  逢春命裘,阿門
[00:00:42.400 --> 00:00:45.400]  節目平安
[00:00:45.400 --> 00:00:49.400]  歡迎大家來到Full Church的崇拜裏面
[00:00:49.400 --> 00:00:51.400]  天氣冷了很多
[00:00:51.400 --> 00:00:53.400]  大家都穿多件衣服
[00:00:53.400 --> 00:00:57.400]  來到十二月我們繼續有這個傳奇的月體
[00:00:57.400 --> 00:01:01.400]  今天的講題叫做
[00:01:01.400 --> 00:01:05.400]  你令我生命重化做傳奇
[00:01:05.400 --> 00:01:08.400]  這個是沒有發音的字
[00:01:08.400 --> 00:01:10.400]  因為這是一個emoji
[00:01:10.400 --> 00:01:13.400]  你可以叫它吸煙
[00:01:13.400 --> 00:01:15.400]  或者叫它煲煙
[00:01:15.400 --> 00:01:17.400]  文雅一點就叫做抽煙
[00:01:17.400 --> 00:01:19.400]  今天看到小朋友在
[00:01:19.400 --> 00:01:20.400]  吸煙不好的
[00:01:20.400 --> 00:01:22.400]  今天想跟大家說
[00:01:23.400 --> 00:01:28.400]  這個emoji本身是沒有讀音的
[00:01:28.400 --> 00:01:33.400]  不過如果要用一個動作來表達的話
[00:01:33.400 --> 00:01:36.400]  我們大概就用這個動作來表達出來
[00:01:36.400 --> 00:01:43.400]  大家平時有沒有這個習慣
[00:01:43.400 --> 00:01:45.400]  我的意思不是說吸煙
[00:01:45.400 --> 00:01:47.400]  有這個動作
[00:01:47.400 --> 00:01:50.400]  我不能夠不說
[00:01:50.400 --> 00:01:52.400]  這個手勢我是從敬拜學回來的
[00:01:52.400 --> 00:01:54.400]  每次敬拜隊
[00:01:54.400 --> 00:01:55.400]  完了之後
[00:01:55.400 --> 00:01:58.400]  收好東西後面debriefing的時候
[00:01:58.400 --> 00:02:00.400]  他們每次debriefing的時候
[00:02:00.400 --> 00:02:01.400]  傾談之間
[00:02:01.400 --> 00:02:04.400]  有些人說到一些不順心的事情
[00:02:04.400 --> 00:02:05.400]  他們就會有這個動作
[00:02:05.400 --> 00:02:07.400]  就是這樣
[00:02:07.400 --> 00:02:08.400]  敬拜隊的WhatsApp群組
[00:02:08.400 --> 00:02:10.400]  都間中出現這些emoji
[00:02:10.400 --> 00:02:12.400]  整班敬拜隊在那裏
[00:02:12.400 --> 00:02:14.400]  完了之後就在那裏煲煙
[00:02:14.400 --> 00:02:17.400]  分享
[00:02:17.400 --> 00:02:20.400]  其實這個是什麼意思呢
[00:02:20.400 --> 00:02:21.400]  我想了很久
[00:02:21.400 --> 00:02:23.400]  都不肯學一下這個語言是什麼意思
[00:02:23.400 --> 00:02:26.400]  經過我幾個月在敬拜隊裏面的
[00:02:26.400 --> 00:02:28.400]  觀察、研究和學習
[00:02:28.400 --> 00:02:33.400]  以下就是我對這個動作的詮釋和理解
[00:02:33.400 --> 00:02:37.400]  就是對現實感到唏噓和感慨
[00:02:37.400 --> 00:02:41.400]  卻找不到合適的說話來抒發情感
[00:02:41.400 --> 00:02:42.400]  他因著基督徒的緣故
[00:02:42.400 --> 00:02:44.400]  一直沒有吸煙的習慣
[00:02:44.400 --> 00:02:46.400]  因此選擇用這個動作來宣洩
[00:02:46.400 --> 00:02:48.400]  現實的無奈與不滿
[00:02:48.400 --> 00:02:49.400]  我可以回答這個意思
[00:02:49.400 --> 00:02:51.400]  對不對
[00:02:51.400 --> 00:02:53.400]  回答這個意思
[00:02:53.400 --> 00:02:55.400]  每次這樣的時候
[00:02:55.400 --> 00:02:57.400]  我都會回答這個意思
[00:02:57.400 --> 00:03:00.400]  今天我們就說到大衛
[00:03:00.400 --> 00:03:03.400]  都有這樣的故事
[00:03:03.400 --> 00:03:06.400]  大衛是一個好人
[00:03:06.400 --> 00:03:08.400]  大衛也是一個壞人
[00:03:08.400 --> 00:03:10.400]  大衛是一個牧羊人
[00:03:10.400 --> 00:03:12.400]  後來就成為軍王
[00:03:12.400 --> 00:03:14.400]  他是一名詩人
[00:03:14.400 --> 00:03:16.400]  也是一名戰士
[00:03:16.400 --> 00:03:21.400]  他曾經在草原上擊敗哥利亞的民族英雄
[00:03:21.400 --> 00:03:23.400]  不過在他晚年裏面
[00:03:23.400 --> 00:03:26.400]  做錯了很多事情
[00:03:26.400 --> 00:03:28.400]  謀害別人
[00:03:28.400 --> 00:03:30.400]  所以大衛的生命
[00:03:30.400 --> 00:03:34.400]  與我們生命有很大的相關
[00:03:34.400 --> 00:03:37.400]  沒有一個人永遠都是好的
[00:03:37.400 --> 00:03:39.400]  所以網上有句很意思的說話
[00:03:39.400 --> 00:03:42.400]  You either die a hero
[00:03:42.400 --> 00:03:46.400]  or live long enough to see yourself become a villain
[00:03:46.400 --> 00:03:48.400]  要麼你成為英雄
[00:03:48.400 --> 00:03:50.400]  死的時候成為英雄
[00:03:50.400 --> 00:03:52.400]  要麼你活得夠長
[00:03:52.400 --> 00:03:54.400]  你就成為一個反派
[00:03:54.400 --> 00:03:58.400]  這是我在《貧民生馬》裏面看到的一句說話
[00:03:58.400 --> 00:04:02.400]  有人用這句說話去說譚詠麟
[00:04:02.400 --> 00:04:08.400]  今天我們說的經文是在《殺母》二記上的第21章
[00:04:08.400 --> 00:04:14.400]  總的來說我們稱這段經文是處於大衛興起史的故事裏面
[00:04:14.400 --> 00:04:16.400]  所謂大衛興起史
[00:04:16.400 --> 00:04:18.400]  History of David's Rise
[00:04:18.400 --> 00:04:20.400]  簡稱為HDR
[00:04:20.400 --> 00:04:23.400]  就是由《殺母》二記上第16章
[00:04:23.400 --> 00:04:27.400]  到《殺母》二記下第5章之間的一段經文
[00:04:27.400 --> 00:04:30.400]  從《殺母》二記上第16章開始
[00:04:30.400 --> 00:04:32.400]  大衛就被殺母以高立
[00:04:32.400 --> 00:04:35.400]  17章打敗巨人哥利亞
[00:04:35.400 --> 00:04:38.400]  19章無端端被蘇羅追殺
[00:04:38.400 --> 00:04:39.400]  落難
[00:04:39.400 --> 00:04:44.400]  22章大衛就開始建立他自己的陣營
[00:04:44.400 --> 00:04:47.400]  然後就去到《殺母》二記下第5章
[00:04:47.400 --> 00:04:50.400]  大衛終於統一整個以色列文
[00:04:50.400 --> 00:04:55.400]  所以整個歷史是記載著大衛的高低起跌
[00:04:55.400 --> 00:04:58.400]  非常精彩的故事
[00:04:58.400 --> 00:05:00.400]  整個故事的起源
[00:05:00.400 --> 00:05:03.400]  或者我們先說從一件事件開始
[00:05:03.400 --> 00:05:07.400]  有一天大衛得罪了一個人
[00:05:07.400 --> 00:05:08.400]  大衛得罪了一個人
[00:05:08.400 --> 00:05:13.400]  從此令他的生命徹徹底底地轉變
[00:05:13.400 --> 00:05:15.400]  究竟大衛得罪了誰?
[00:05:15.400 --> 00:05:18.400]  大衛得罪了蘇羅
[00:05:18.400 --> 00:05:21.400]  原來不是大衛得罪他
[00:05:21.400 --> 00:05:25.400]  而是蘇羅無端端不喜歡大衛
[00:05:25.400 --> 00:05:27.400]  蘇羅很憎恨大衛
[00:05:27.400 --> 00:05:29.400]  其實可能連蘇羅自己
