
[00:00:00.000 --> 00:00:06.000]  我們從歲首到年終都敬拜主
[00:00:06.000 --> 00:00:09.000]  上次跟大家說到,不知道大家記不記得
[00:00:09.000 --> 00:00:11.000]  我不是回來追數
[00:00:11.000 --> 00:00:14.000]  你們許了的願應該自己去還
[00:00:14.000 --> 00:00:17.000]  上次跟大家思想薩姆爾
[00:00:17.000 --> 00:00:21.000]  薩姆爾是上帝興起的先知
[00:00:21.000 --> 00:00:24.000]  他是準備建立以色列國的
[00:00:24.000 --> 00:00:27.000]  今天跟大家思想另外一個先知
[00:00:27.000 --> 00:00:29.000]  是耶利米
[00:00:29.000 --> 00:00:32.000]  他是上帝興起準備宣告
[00:00:32.000 --> 00:00:35.000]  以色列要亡國
[00:00:35.000 --> 00:00:38.000]  一頭一尾,上帝都興起先知
[00:00:38.000 --> 00:00:42.000]  耶利米先知大概二十歲左右蒙召
[00:00:42.000 --> 00:00:46.000]  他見證著國家的興衰、戰敗
[00:00:46.000 --> 00:00:49.000]  經歷了四十多年多
[00:00:49.000 --> 00:00:51.000]  他到六十歲的時候
[00:00:51.000 --> 00:00:55.000]  他與他的國民一同被擄
[00:00:55.000 --> 00:00:59.000]  這個先知又經歷人生另一個階段
[00:00:59.000 --> 00:01:02.000]  今天我會透過導讀的方式
[00:01:02.000 --> 00:01:04.000]  我們會找幾節經文
[00:01:04.000 --> 00:01:07.000]  嘗試掌握耶利米書
[00:01:07.000 --> 00:01:10.000]  甚至是這位先知的人生
[00:01:10.000 --> 00:01:13.000]  耶利米的蒙召我們無法模仿
[00:01:13.000 --> 00:01:15.000]  因為他是很特別的蒙召
[00:01:15.000 --> 00:01:17.000]  但他經歷過的事
[00:01:17.000 --> 00:01:20.000]  他如何走過這些艱難的路
[00:01:20.000 --> 00:01:22.000]  我們是可以學習的
[00:01:22.000 --> 00:01:26.000]  今天想跟大家思想一個主題
[00:01:26.000 --> 00:01:30.000]  有人說人生好像坐在一部列車一樣
[00:01:30.000 --> 00:01:35.000]  環繞我們的風景是不斷轉換
[00:01:35.000 --> 00:01:39.000]  我們的經歷、我們的際遇都不斷變
[00:01:39.000 --> 00:01:41.000]  風景轉了
[00:01:41.000 --> 00:01:45.000]  你的心境、你的心靈有沒有跟著轉呢?
[00:01:45.000 --> 00:01:48.000]  今天是最後的一天
[00:01:48.000 --> 00:01:49.000]  在敬拜裏面
[00:01:49.000 --> 00:01:53.000]  我都希望在2023年結束的時候
[00:01:53.000 --> 00:01:58.000]  跟大家思想一道風景、一種心靈
[00:01:58.000 --> 00:02:01.000]  我們先讀經文
[00:02:01.000 --> 00:02:05.000]  經文應該在PowerPoint裏面大家看到
[00:02:05.000 --> 00:02:07.000]  我們會讀這八節經文
[00:02:07.000 --> 00:02:08.000]  如果大家都看到的
[00:02:08.000 --> 00:02:10.000]  都請你為我讀出
[00:02:10.000 --> 00:02:12.000]  預備,1、2、3
[00:02:12.000 --> 00:02:15.000]  我們今天會先理解經文
[00:02:15.000 --> 00:02:17.000]  然後在第二個階段
[00:02:17.000 --> 00:02:19.000]  會盡心去想一想
[00:02:19.000 --> 00:02:22.000]  究竟什麼叫一道風景、一種心靈
[00:02:22.000 --> 00:02:26.000]  最後我會就著這段經文對我自己的提醒
[00:02:26.000 --> 00:02:29.000]  成為彼此的鼓勵
[00:02:29.000 --> 00:02:30.000]  我們先理解經文
[00:02:30.000 --> 00:02:35.000]  剛才經文的一至三節是全卷耶利米書的引言
[00:02:35.000 --> 00:02:41.000]  耶利米先知經歷了40年的侍奉的履歷
[00:02:41.000 --> 00:02:44.000]  裏面的一至三節有幾樣東西我們需要知道
[00:02:44.000 --> 00:02:46.000]  有幾個背景的資料
[00:02:46.000 --> 00:02:49.000]  第一,耶利米出生在阿拿德
[00:02:49.000 --> 00:02:51.000]  這是祭司之城
[00:02:51.000 --> 00:02:54.000]  是利美人所居住的地方
[00:02:54.000 --> 00:02:57.000]  上帝所選擇的是出自正統的
[00:02:57.000 --> 00:03:00.000]  耶利米是出自正統的祭司血統
[00:03:00.000 --> 00:03:03.000]  第二就是耶利米這個名字
[00:03:03.000 --> 00:03:06.000]  如果你有看舊約聖經的話
[00:03:06.000 --> 00:03:10.000]  你會發現這個名字很普遍
[00:03:10.000 --> 00:03:13.000]  大概出現了十次不同的耶利米
[00:03:13.000 --> 00:03:16.000]  大概就像阿強一樣
[00:03:16.000 --> 00:03:18.000]  有很多阿強在
[00:03:18.000 --> 00:03:24.000]  這個名字的意思就是願神尋得他的居所
[00:03:24.000 --> 00:03:27.000]  是神同在的另一種表達
[00:03:27.000 --> 00:03:30.000]  耶利米的意思就是神同在
[00:03:30.000 --> 00:03:32.000]  在場的另一種表達
[00:03:32.000 --> 00:03:34.000]  然後第三個資料
[00:03:34.000 --> 00:03:41.000]  我們會發現耶利米先知侍奉了最少有三代的王朝
[00:03:41.000 --> 00:03:43.000]  第一代就是約西亞
[00:03:43.000 --> 00:03:47.000]  大概他二十歲初蒙召的時候
[00:03:47.000 --> 00:03:48.000]  如果你熟悉聖經
[00:03:48.000 --> 00:03:51.000]  你知道約西亞是一個好君王
[00:03:51.000 --> 00:03:54.000]  他打算扭轉國家的命運
[00:03:54.000 --> 00:03:57.000]  除去偶像大興土木
[00:03:57.000 --> 00:03:59.000]  耶利米出道的時候
[00:03:59.000 --> 00:04:01.000]  他遇到一個好上司
[00:04:01.000 --> 00:04:03.000]  正是他發揮的時候
[00:04:03.000 --> 00:04:08.000]  不過耶利米書沒有記載這段他稍為光輝的日子
[00:04:08.000 --> 00:04:10.000]  反而他集中記載
[00:04:10.000 --> 00:04:12.000]  約西亞的兩個兒子
[00:04:12.000 --> 00:04:14.000]  約亞勁和西底加
