
[00:00:00.000 --> 00:00:02.000]  各位定姐妹晚安
[00:00:02.000 --> 00:00:08.320]  當初聽到《擊殺》系列講道的時候
[00:00:08.320 --> 00:00:12.000]  我第一個想起的人是羅德太太
[00:00:12.000 --> 00:00:17.440]  或者是因為我的研究興趣是關於《聖經》裏面的女性
[00:00:17.440 --> 00:00:21.760]  我在想那個瞬間變成鹽柱
[00:00:21.760 --> 00:00:24.440]  《聖經》沒有提過她的名字的她
[00:00:24.440 --> 00:00:27.360]  為何會有這個遭遇呢?
[00:00:27.360 --> 00:00:31.760]  她被擊殺的責任是否完全在她身上呢?
[00:00:31.760 --> 00:00:35.040]  《聖經》沒有記述羅德太太的名字
[00:00:35.040 --> 00:00:38.320]  但在猶太拉比的傳統裏面
[00:00:38.320 --> 00:00:39.640]  她有名字的
[00:00:39.640 --> 00:00:42.240]  猶太的典籍
[00:00:42.240 --> 00:00:44.640]  有些稱呼她為Edo
[00:00:44.640 --> 00:00:46.320]  或者叫Edith
[00:00:46.320 --> 00:00:50.480]  但這些名字都沒有在《聖經》的正典出現
[00:00:50.480 --> 00:00:54.200]  追事者刻意不提她的名字
[00:00:54.200 --> 00:00:58.640]  可能是要告訴我們我們的注意力不是在她的身份
[00:00:58.640 --> 00:01:02.200]  而是她的行為和後果
[00:01:02.200 --> 00:01:05.760]  《聖經》裏面提及她的次數不多
[00:01:05.760 --> 00:01:11.280]  首先出現在《創世紀》19章1到13節
[00:01:11.280 --> 00:01:15.760]  那裏講述羅德一家住在索多瑪
[00:01:15.760 --> 00:01:18.840]  耶和華的使者來到就跟羅德說
[00:01:18.840 --> 00:01:21.280]  13節他說我們要毀滅這個地方
[00:01:21.280 --> 00:01:26.280]  因為控告城內百姓的聲音在耶和華面前非常大
[00:01:26.280 --> 00:01:30.040]  耶和華要派我們來毀滅這個地方
[00:01:30.040 --> 00:01:36.960]  使者就吩咐羅德要帶同他太太、女兒和一切屬羅德的人
[00:01:36.960 --> 00:01:39.440]  要離開索多瑪
[00:01:39.440 --> 00:01:43.600]  17節講到使者帶了他們出來之後
[00:01:43.600 --> 00:01:46.560]  就跟他們說要走了
[00:01:46.560 --> 00:01:48.160]  不要回頭
[00:01:48.160 --> 00:01:51.040]  也不要在平原裏站著
[00:01:51.040 --> 00:01:54.880]  要往山上跑免得你們被剿滅
[00:01:54.880 --> 00:01:59.760]  26節就是羅德的妻子向他的後面回頭一看
[00:01:59.760 --> 00:02:02.720]  就變成了一根鹽柱
[00:02:02.720 --> 00:02:06.240]  羅德的太太在逃難的時候
[00:02:06.240 --> 00:02:10.640]  回頭望著被燒毀的索多瑪
[00:02:10.640 --> 00:02:14.760]  她的回首就讓她變成鹽柱
[00:02:14.760 --> 00:02:18.880]  這裏是舊約對她的敘述
[00:02:18.880 --> 00:02:22.920]  而新約路加福音17章32節
[00:02:22.920 --> 00:02:25.000]  耶穌也特別提起她
[00:02:25.000 --> 00:02:30.080]  跟我們說你們要想想羅德的妻子
[00:02:30.080 --> 00:02:32.520]  我們就想想
[00:02:32.520 --> 00:02:38.080]  當我看到鹽柱大嫂回首事件的敘事裏
[00:02:38.080 --> 00:02:41.880]  令我會想起好幾個問題
[00:02:41.880 --> 00:02:45.960]  為何使者帶了他們出來之後
[00:02:45.960 --> 00:02:52.840]  安置他們在城外的時候要特別吩咐不要回頭呢
[00:02:52.840 --> 00:02:54.520]  他說了兩件事
[00:02:54.520 --> 00:02:55.960]  不要回頭看
[00:02:55.960 --> 00:02:58.640]  還有不要在平原裏站著
[00:02:58.640 --> 00:03:01.000]  要往山上跑
[00:03:01.000 --> 00:03:04.200]  很奇怪的
[00:03:04.200 --> 00:03:06.560]  你越叫人不要做那件事
[00:03:06.560 --> 00:03:09.960]  你就越想做
