
[00:00:00.000 --> 00:00:03.000]  在前幾天聽了一個故事
[00:00:03.000 --> 00:00:08.000]  有一個媽媽回家的時候很晚
[00:00:08.000 --> 00:00:10.000]  即是十一、二點
[00:00:10.000 --> 00:00:14.000]  她的子女們很想黏著她
[00:00:14.000 --> 00:00:16.000]  所以遲遲不肯睡覺
[00:00:16.000 --> 00:00:19.000]  等到媽媽回家的時候
[00:00:19.000 --> 00:00:22.000]  媽媽脫了口罩
[00:00:22.000 --> 00:00:25.000]  準備洗澡的時候
[00:00:25.000 --> 00:00:27.000]  那對子女跟她說了一句話
[00:00:27.000 --> 00:00:32.000]  她說:媽媽,為甚麼你的口罩印這麼深?
[00:00:32.000 --> 00:00:34.000]  怎麼不脫掉?
[00:00:34.000 --> 00:00:40.000]  媽媽心裡不知道怎樣回應、怎樣回答
[00:00:40.000 --> 00:00:43.000]  到之後那天早上
[00:00:43.000 --> 00:00:50.000]  媽媽一早就收拾行裝準備出發
[00:00:50.000 --> 00:00:54.000]  子女知道媽媽要出發的時候
[00:00:54.000 --> 00:00:57.000]  隨眼星鬆地跑到媽媽面前
[00:00:57.000 --> 00:00:59.000]  看著媽媽一眼
[00:00:59.000 --> 00:01:03.000]  她問媽媽一句話
[00:01:03.000 --> 00:01:08.000]  她說:媽媽,為甚麼昨天那些口罩印
[00:01:08.000 --> 00:01:11.000]  經過一晚都好像沒有脫掉?
[00:01:11.000 --> 00:01:20.000]  你可以想像這個媽媽是做我們很尊敬的
[00:01:20.000 --> 00:01:23.000]  香港醫護界其中一員
[00:01:23.000 --> 00:01:28.000]  所以希望在這個疫情的時候
[00:01:28.000 --> 00:01:33.000]  我們仍然尊敬、深深尊敬
[00:01:33.000 --> 00:01:40.000]  在不同崗位裡堅守著的每一個香港人
[00:01:40.000 --> 00:01:44.000]  香港的醫護仍然值得我們尊敬
[00:01:44.000 --> 00:01:48.000]  香港的醫護仍然值得很多人
[00:01:48.000 --> 00:01:54.000]  附上很多很多對他的敬愛
[00:01:54.000 --> 00:01:58.000]  無論疫情如何
[00:01:58.000 --> 00:02:01.000]  我相信我們每一個人都在面對
[00:02:01.000 --> 00:02:07.000]  在這兩三個星期裡很多複雜的事情
[00:02:07.000 --> 00:02:11.000]  無論是俄羅斯侵佔烏克蘭
[00:02:11.000 --> 00:02:14.000]  或者香港疫情突然間
[00:02:14.000 --> 00:02:17.000]  每天的數字過於慢計
[00:02:17.000 --> 00:02:21.000]  你身邊的朋友很多人都已經
[00:02:21.000 --> 00:02:26.000]  有很多不同的方法面對疫情
[00:02:26.000 --> 00:02:32.000]  我相信每一個人都在這個時候心情極度複雜
[00:02:32.000 --> 00:02:35.000]  做父母的你知道在這個星期開始
[00:02:35.000 --> 00:02:38.000]  子女開始沒有課
[00:02:38.000 --> 00:02:44.000]  又是另一個令人糟糕的事情發展中
[00:02:44.000 --> 00:02:49.000]  香港或許真的會面對很多很難的事情
