
[00:00:00.000 --> 00:00:03.000]  先打開燈,是否已經打開了?
[00:00:03.000 --> 00:00:06.000]  好像是,這麼巧?
[00:00:06.000 --> 00:00:08.000]  弟兄姊妹平安
[00:00:08.000 --> 00:00:11.000]  很反應,謝謝你們
[00:00:11.000 --> 00:00:15.000]  一道三劈,我們聽到第三課了
[00:00:15.000 --> 00:00:18.000]  今天也不用什麼引言吧
[00:00:18.000 --> 00:00:24.000]  我想帶大家用新約引用舊約的角度
[00:00:24.000 --> 00:00:29.000]  嘗試了解多一些寶萊這個特別的寓言
[00:00:29.000 --> 00:00:33.000]  在進入4章21至31節之前
[00:00:33.000 --> 00:00:35.000]  我們先有一個框架
[00:00:35.000 --> 00:00:40.000]  就是加拿大教會和寶萊面對一個什麼樣的問題
[00:00:40.000 --> 00:00:44.000]  整體來說是一個有關身份焦慮的問題
[00:00:44.000 --> 00:00:48.000]  我們想像一下,如果你在加拿大教會
[00:00:48.000 --> 00:00:52.000]  你本來覺得單靠耶穌就已經很自由
[00:00:52.000 --> 00:00:56.000]  但是這個時候有一群很有權威的前輩
[00:00:56.000 --> 00:00:58.000]  那群猶太基督徒來到你的面前
[00:00:58.000 --> 00:01:00.000]  他們不是說耶穌不好
[00:01:00.000 --> 00:01:03.000]  而是單靠耶穌是不夠的
[00:01:03.000 --> 00:01:06.000]  他們告訴你,在這個社會裡
[00:01:06.000 --> 00:01:08.000]  你需要有一張身份證
[00:01:08.000 --> 00:01:11.000]  而當時這張證就是國禮
[00:01:11.000 --> 00:01:13.000]  那個identity marker
[00:01:13.000 --> 00:01:16.000]  這個不只是一個宗教儀式
[00:01:16.000 --> 00:01:18.000]  更加是一個社會的入場券
[00:01:18.000 --> 00:01:22.000]  當時的社會極度依賴社會承認
[00:01:22.000 --> 00:01:25.000]  沒有國禮,猶太人不會接納你
[00:01:25.000 --> 00:01:27.000]  外邦人也會覺得你很古怪
[00:01:27.000 --> 00:01:31.000]  這群猶太基督徒就看準了人的恐懼
[00:01:31.000 --> 00:01:36.000]  他提供了一個很實在、很穩定的解決方案
[00:01:36.000 --> 00:01:40.000]  你跟規矩做,你捱一刀,你就會安全了
[00:01:40.000 --> 00:01:43.000]  所以本來就罵爆他們
[00:01:43.000 --> 00:01:47.000]  因為本來他們是應該領受一份信仰
[00:01:47.000 --> 00:01:49.000]  但是他們由領受的信仰
[00:01:49.000 --> 00:01:54.000]  轉回好像外邦人那種掌控的宗教
[00:01:54.000 --> 00:01:57.000]  我在想,我們現在的基督徒
[00:01:57.000 --> 00:02:00.000]  我們的identity marker是什麼呢?
[00:02:00.000 --> 00:02:02.000]  可能是乖一點吧
[00:02:02.000 --> 00:02:04.000]  有愛心
[00:02:04.000 --> 00:02:06.000]  很熱心侍奉,會傳福音
[00:02:06.000 --> 00:02:08.000]  會祈禱,會回教會
[00:02:08.000 --> 00:02:10.000]  會感恩,會關心別人
[00:02:10.000 --> 00:02:12.000]  再厲害一點,會奉獻
[00:02:12.000 --> 00:02:16.000]  這些可能是傳統意義上的marker
[00:02:16.000 --> 00:02:18.000]  又或者我們也會認同
[00:02:18.000 --> 00:02:20.000]  愛、和平、公義
[00:02:20.000 --> 00:02:23.000]  這些基督徒的價值觀
[00:02:23.000 --> 00:02:25.000]  這個identity marker就是
[00:02:25.000 --> 00:02:28.000]  你做一個有基督價值觀的好人
[00:02:28.000 --> 00:02:32.000]  我們甚至會跟別人討論、思考一下信仰
[00:02:32.000 --> 00:02:35.000]  我們可以做到這個樣子
[00:02:35.000 --> 00:02:38.000]  這個是我們人可以做到的
[00:02:38.000 --> 00:02:40.000]  但是拯救
[00:02:40.000 --> 00:02:42.000]  拯救是一個神蹟
[00:02:42.000 --> 00:02:46.000]  拯救不是人可以做到的
[00:02:46.000 --> 00:02:48.000]  我希望今天講到最後
[00:02:48.000 --> 00:02:52.000]  大家會領受到真正的identity marker是什麼
[00:02:52.000 --> 00:02:54.000]  框架來到這裡
[00:02:54.000 --> 00:02:57.000]  我們看了這段經文已經有兩個星期的時間
[00:02:57.000 --> 00:03:01.000]  我們知道當中有指涉到舊約裏面的創世紀
[00:03:01.000 --> 00:03:02.000]  和二賽亞書
[00:03:02.000 --> 00:03:05.000]  所以今天我會從三個層次
[00:03:05.000 --> 00:03:07.000]  跟大家一起去解釋
[00:03:07.000 --> 00:03:08.000]  第一個創世紀
[00:03:08.000 --> 00:03:12.000]  第二個就是二賽亞書對創世紀的引用
[00:03:12.000 --> 00:03:16.000]  第三個就是保羅對二賽亞書和創世紀的引用
[00:03:16.000 --> 00:03:18.000]  大家準備好了嗎?
[00:03:18.000 --> 00:03:20.000]  大家準備好了嗎?
[00:03:20.000 --> 00:03:22.000]  我們第一層看創世紀
[00:03:22.000 --> 00:03:27.000]  撒拉代表的是一個不辱婦人的主題
[00:03:27.000 --> 00:03:32.000]  講的是你年紀大到根本沒有生孩子的可能
[00:03:32.000 --> 00:03:36.000]  但是上帝可以在這個不可能的情況下
[00:03:36.000 --> 00:03:37.000]  帶來拯救
[00:03:37.000 --> 00:03:39.000]  給他一個兒子
[00:03:39.000 --> 00:03:41.000]  我們在這裡再出一個小結
[00:03:41.000 --> 00:03:43.000]  原來這個就是一直以來
[00:03:43.000 --> 00:03:47.000]  聖經所講的靠應許而生的後代
[00:03:47.000 --> 00:03:48.000]  到這裡
[00:03:48.000 --> 00:03:51.000]  第二層就是二賽亞書
[00:03:51.000 --> 00:03:53.000]  當時的以色列人秘魯
[00:03:53.000 --> 00:03:55.000]  國家荒涼
[00:03:55.000 --> 00:03:58.000]  錫安在二賽亞書裏面被形容為
[00:03:58.000 --> 00:04:00.000]  好像一個不辱婦人
[00:04:00.000 --> 00:04:02.000]  他覺得自己的人生玩完了
[00:04:02.000 --> 00:04:05.000]  但是上帝就好像應許撒拉那樣
[00:04:05.000 --> 00:04:07.000]  同樣應許錫安
[00:04:07.000 --> 00:04:08.000]  你是會復興的
[00:04:08.000 --> 00:04:10.000]  以色列地現在沒有人
