
[00:00:00.000 --> 00:00:04.000]  受歡迎來到一到三吃的第二個系列
[00:00:04.000 --> 00:00:06.000]  今天是講巴別塔
[00:00:06.000 --> 00:00:08.000]  那麼
[00:00:08.000 --> 00:00:10.000]  引言就不用說了
[00:00:10.000 --> 00:00:12.000]  就應該三個都不同的了
[00:00:12.000 --> 00:00:14.000]  那就先聽第一課吧
[00:00:14.000 --> 00:00:18.000]  不知道大家對巴別塔的認識有多少
[00:00:18.000 --> 00:00:23.000]  或者是過去有沒有查經過程當中了解過巴別塔的內容呢
[00:00:23.000 --> 00:00:25.000]  那麼
[00:00:25.000 --> 00:00:27.000]  希望今天和你重新認識巴別塔
[00:00:27.000 --> 00:00:33.000]  希望今天和你重溫巴別塔的內容之餘
[00:00:33.000 --> 00:00:35.000]  當中一起去想想
[00:00:35.000 --> 00:00:38.000]  其實巴別塔對我們的啟發是什麼
[00:00:38.000 --> 00:00:40.000]  又或者其實它帶給我們
[00:00:40.000 --> 00:00:43.000]  在屬靈生命上有什麼提醒呢
[00:00:43.000 --> 00:00:45.000]  重溫下一段經文
[00:00:45.000 --> 00:00:47.000]  我們一起試試讀一段經文吧
[00:00:47.000 --> 00:00:49.000]  《創世紀》第十一章一至九節
[00:00:49.000 --> 00:00:51.000]  請
[00:00:51.000 --> 00:00:55.000]  天上帝求主你繼續對我們說話
[00:00:55.000 --> 00:00:58.000]  因為這是祢的聖言
[00:00:58.000 --> 00:01:01.000]  是祢在歷世歷代教導我們
[00:01:01.000 --> 00:01:05.000]  求主你今天營救對我們提醒幫助
[00:01:05.000 --> 00:01:07.000]  祈禱奉耶穌的名及
[00:01:07.000 --> 00:01:09.000]  阿們
[00:01:09.000 --> 00:01:11.000]  重溫了這一段經文
[00:01:11.000 --> 00:01:14.000]  如果大家讀《創世紀》的過程當中
[00:01:14.000 --> 00:01:19.000]  都可能會發現不同的內容的編排
[00:01:19.000 --> 00:01:22.000]  第十一章之前當然是第十章了
[00:01:22.000 --> 00:01:25.000]  第十章裏面說的是
[00:01:25.000 --> 00:01:28.000]  閃行瓦窟羅瓦的後裔
[00:01:28.000 --> 00:01:31.000]  因為之前羅瓦經歷過洪水
[00:01:31.000 --> 00:01:33.000]  一個上帝審判
[00:01:33.000 --> 00:01:35.000]  尤其是上帝救贖的過程
[00:01:35.000 --> 00:01:37.000]  然後說羅瓦的後裔
[00:01:37.000 --> 00:01:39.000]  閃行瓦窟的族譜
[00:01:39.000 --> 00:01:41.000]  然後十一章是巴別塔
[00:01:41.000 --> 00:01:44.000]  十二章是另一個境地
[00:01:44.000 --> 00:01:46.000]  就是阿伯蘭的出現
[00:01:46.000 --> 00:01:51.000]  所以在十章和十二章中間
[00:01:51.000 --> 00:01:53.000]  加插了巴別塔的技術
[00:01:53.000 --> 00:01:55.000]  其實有什麼心意
[00:01:55.000 --> 00:01:57.000]  或者有什麼內容要我們去了解
[00:01:57.000 --> 00:02:02.000]  為什麼那個罪事者要在一個族譜的開展
[00:02:02.000 --> 00:02:05.000]  到另外一個我們在後面看看
[00:02:05.000 --> 00:02:07.000]  是上帝的選人
[00:02:07.000 --> 00:02:09.000]  一個阿伯蘭
[00:02:09.000 --> 00:02:13.000]  一個被上帝呼召出來
[00:02:13.000 --> 00:02:18.000]  去承擔或者承受一個這麼大的祝福的選民
[00:02:18.000 --> 00:02:23.000]  這個中間巴別塔的事件對我們來說是什麼一回事呢?
[00:02:23.000 --> 00:02:26.000]  剛才大家從第一節開始到第九節的時候
[00:02:26.000 --> 00:02:28.000]  基本上整個罪事就完結了
[00:02:28.000 --> 00:02:32.000]  因為已經將那件事完結了
[00:02:32.000 --> 00:02:34.000]  那成名叫巴別
[00:02:34.000 --> 00:02:36.000]  巴別是什麼意思呢?
[00:02:36.000 --> 00:02:38.000]  巴別就是巴比倫
[00:02:38.000 --> 00:02:40.000]  其實在一個
[00:02:40.000 --> 00:02:43.000]  如果大家讀聖經的時候
[00:02:43.000 --> 00:02:45.000]  都會看聖經地圖的時候
[00:02:45.000 --> 00:02:48.000]  巴別倫的範圍很闊
[00:02:48.000 --> 00:02:50.000]  現在最大的
[00:02:50.000 --> 00:02:54.000]  可能你會看到一些供應或者付足的地方
[00:02:54.000 --> 00:02:58.000]  他就在幼法拉底河和底格里斯河
[00:02:58.000 --> 00:03:01.000]  一個兩河流域當中很富庶的地方
[00:03:01.000 --> 00:03:03.000]  物產很豐富的地方
[00:03:03.000 --> 00:03:05.000]  也是很多神的地方
[00:03:05.000 --> 00:03:07.000]  很多神敬拜的地方
[00:03:07.000 --> 00:03:10.000]  其中我想大家要處理這段經文
