
[00:00:00.000 --> 00:00:03.080]  在開始之先,讓我們一起低頭祈禱
[00:00:03.080 --> 00:00:08.440]  三一的上主,感謝祢親自啟示祢的聖業
[00:00:08.440 --> 00:00:13.440]  求天父祢帶領我們,讓我們在今日裏面繼續去認識祢的說話
[00:00:13.440 --> 00:00:15.800]  因為祢的說話是滿有能力
[00:00:15.800 --> 00:00:18.600]  求聖靈親自觸摸我們每一個
[00:00:18.600 --> 00:00:21.000]  讓我們按照我們個人的處境
[00:00:21.000 --> 00:00:24.360]  讓祢的說話去安慰、鼓勵、醫治
[00:00:24.360 --> 00:00:28.280]  我們的祈禱是奉大目者耶穌基督的名字而求
[00:00:28.280 --> 00:00:29.400]  阿們
[00:00:29.400 --> 00:00:32.880]  今日講到的主題是「笑」
[00:00:32.880 --> 00:00:36.200]  不知道講起笑的時候,大家會想起什麼呢?
[00:00:36.200 --> 00:00:39.720]  大家平時會因為什麼而笑呢?
[00:00:39.720 --> 00:00:44.840]  首先我想起我的同工,Emmy牧者和阿廷牧者
[00:00:44.840 --> 00:00:49.400]  如果你坐在他們兩個旁邊開會或者退休一起吃飯的時候
[00:00:49.400 --> 00:00:52.760]  那種笑聲就好像環迴立體聲一樣
[00:00:52.760 --> 00:00:56.560]  大家都知道他們的笑聲是很有感染力、很有力量
[00:00:56.560 --> 00:00:57.840]  相信大家都明白
[00:00:57.840 --> 00:01:00.080]  笑有很多種
[00:01:00.080 --> 00:01:06.680]  上兩個星期我就跟一位組員和他準備結婚的另一半見面
[00:01:06.680 --> 00:01:08.000]  我就跟他們說
[00:01:08.000 --> 00:01:11.080]  不如你們分享一下你們的愛情故事
[00:01:11.080 --> 00:01:15.440]  他們兩個就含情脈脈地看著對方
[00:01:15.440 --> 00:01:17.640]  充滿愛地說
[00:01:17.640 --> 00:01:19.440]  「你先說吧」
[00:01:19.440 --> 00:01:22.920]  另一個就說「不是的,我想聽你先說」
[00:01:22.920 --> 00:01:26.120]  他們一邊互望,一邊互相推揚
[00:01:26.120 --> 00:01:29.680]  一直在甜笑
[00:01:29.680 --> 00:01:32.000]  說一下另一種笑
[00:01:32.000 --> 00:01:35.400]  有一個女生的名字叫做佳儀
[00:01:35.400 --> 00:01:38.000]  我寫法就是佳是站在別人旁邊
[00:01:38.000 --> 00:01:41.040]  然後兩個土字,佳儀
[00:01:41.040 --> 00:01:46.160]  有一個人就叫了她吉儀
[00:01:46.160 --> 00:01:48.520]  她還完全不知道自己叫錯
[00:01:48.520 --> 00:01:51.480]  不停地叫她吉儀
[00:01:51.480 --> 00:01:52.960]  大家知道什麼是吉儀吧?
[00:01:52.960 --> 00:01:54.520]  因為大家懂得笑
