
[00:00:00.000 --> 00:00:03.000]  生活在一個充滿張力的世界
[00:00:03.000 --> 00:00:05.200]  我們不是感到無力
[00:00:05.200 --> 00:00:08.200]  就是迷失和淚透
[00:00:08.200 --> 00:00:12.400]  我們還如何去想自由這個題目呢?
[00:00:12.400 --> 00:00:16.600]  今天我們所看的《經文.以西傑書》
[00:00:16.600 --> 00:00:19.500]  有絕對自由的神
[00:00:19.500 --> 00:00:23.700]  祂向失去自由的以西傑
[00:00:23.700 --> 00:00:27.400]  給了一個八上加根的呼召
[00:00:28.000 --> 00:00:31.400]  不過神對以西傑的呼召之後
[00:00:31.400 --> 00:00:34.400]  也加添了一個秘訣給他
[00:00:34.400 --> 00:00:38.600]  這個秘訣我稱為心無旁騖的自由
[00:00:38.600 --> 00:00:42.000]  就是當以西傑下定決心
[00:00:42.000 --> 00:00:46.000]  明白要為這些事情付代價
[00:00:46.000 --> 00:00:51.200]  他就不再受很多世俗的價值觀去牽引
[00:00:51.200 --> 00:00:54.600]  就算旁邊有一匹馬跑過
[00:00:54.600 --> 00:00:56.800]  他都魂然不覺
[00:00:57.100 --> 00:01:02.000]  因為他心裡充滿了這種自由的力量
[00:01:02.000 --> 00:01:05.700]  我為今天的講道先做一個總結
[00:01:05.700 --> 00:01:11.000]  我們當然渴望在生活上的自由
[00:01:11.000 --> 00:01:13.000]  帶給我們的歡愉
[00:01:13.000 --> 00:01:15.300]  但我們也不要忘記
[00:01:15.300 --> 00:01:19.700]  我們的神給我們心靈裡的自由
[00:01:19.700 --> 00:01:23.900]  生活的自由是一種歡愉和快樂
[00:01:24.300 --> 00:01:27.100]  心靈的自由是一種力量
[00:01:27.100 --> 00:01:32.100]  讓我們今天先讀我們所選定的經文
[00:01:32.100 --> 00:01:36.100]  以西傑書的第三章四至十一節
[00:01:36.100 --> 00:01:39.500]  如果大家看到螢光幕
[00:01:39.500 --> 00:01:40.700]  都可以一起讀出
[00:01:40.700 --> 00:01:42.100]  預備起
[00:01:42.100 --> 00:01:46.300]  以西傑書是寫在以西傑被擄的時間
[00:01:46.300 --> 00:01:50.900]  我們會先初步了解第一章作為一個背景
[00:01:51.300 --> 00:01:56.100]  以西傑領受異象是他坐在巴比倫的河邊
[00:01:56.100 --> 00:01:58.100]  當他被擄的時候
[00:01:58.100 --> 00:01:59.900]  神的異象就出現
[00:01:59.900 --> 00:02:05.300]  第一章通常我們會被很多奇異的景象去吸引
[00:02:05.300 --> 00:02:07.900]  究竟什麼叫鷹頭人
[00:02:07.900 --> 00:02:09.500]  什麼叫風火輪
[00:02:09.500 --> 00:02:13.700]  我們常常都著迷於去解釋這些異象
[00:02:13.700 --> 00:02:16.300]  但我們要明白
[00:02:16.300 --> 00:02:19.100]  以西傑現在是被擄在巴比倫
[00:02:19.500 --> 00:02:24.100]  巴比倫已經通處牛鬼蛇神的偶像
[00:02:24.100 --> 00:02:27.100]  他根本就好像生活在西遊記一樣
[00:02:27.100 --> 00:02:31.500]  所以當他看到這些我們覺得很怪異的東西
[00:02:31.500 --> 00:02:34.100]  對以西傑來說是很正常的
[00:02:34.100 --> 00:02:37.900]  真正令到以西傑驚訝的異象
[00:02:37.900 --> 00:02:39.900]  是整章的經文
[00:02:39.900 --> 00:02:43.900]  一路引導以西傑往上看
[00:02:43.900 --> 00:02:46.700]  他在天空裡面看到活物
[00:02:46.700 --> 00:02:49.100]  活物之上又有靈
[00:02:49.500 --> 00:02:51.500]  活物之上又有窮倉
[00:02:51.500 --> 00:02:53.700]  窮倉上有寶座
[00:02:53.700 --> 00:02:55.900]  寶座上有人形
[00:02:55.900 --> 00:02:58.100]  人形上有榮光
[00:02:58.100 --> 00:03:01.300]  然後他看到耶和華的形象
[00:03:01.300 --> 00:03:06.500]  這是整個異象讓我們看到一件很重要的事情
[00:03:06.500 --> 00:03:08.100]  第一
[00:03:08.100 --> 00:03:13.300]  對上帝來說是沒有國界之分
[00:03:13.300 --> 00:03:15.700]  不會因為那裡是巴比倫
[00:03:15.700 --> 00:03:17.100]  上帝就不出現
[00:03:17.700 --> 00:03:21.300]  就算地上的政權以色列被人打敗
[00:03:21.300 --> 00:03:23.500]  不等於上帝被打敗
[00:03:23.500 --> 00:03:27.900]  這是以西傑見異象令他驚訝的地方
[00:03:27.900 --> 00:03:29.900]  另外一樣
[00:03:29.900 --> 00:03:35.900]  令以西傑跪下的不是地上的邪惡政權
[00:03:35.900 --> 00:03:40.700]  令以西傑俯伏的是上帝的榮光
[00:03:40.700 --> 00:03:46.100]  不是巴比倫的惡讓以西傑跪下
[00:03:46.900 --> 00:03:48.900]  讓以西傑自己俯伏的
[00:03:48.900 --> 00:03:50.700]  是他見到上帝
[00:03:50.700 --> 00:03:53.700]  這是異象給我們的提醒
[00:03:53.700 --> 00:03:57.500]  然後由第二至到第三章的時候
[00:03:57.500 --> 00:04:00.500]  神就向以西傑發出呼召
[00:04:00.500 --> 00:04:03.700]  我選了第三章的四至七節
[00:04:03.700 --> 00:04:06.900]  作為我們對整個呼召的認知
[00:04:06.900 --> 00:04:09.500]  神對以西傑說
[00:04:09.500 --> 00:04:12.500]  你去那些不肯聽從神
[00:04:12.500 --> 00:04:15.700]  他們堅硬心的以色列人
[00:04:15.700 --> 00:04:19.300]  自己人裡面宣講神的心意
[00:04:19.300 --> 00:04:23.300]  他說那些言語不通的反而會聽你說
[00:04:23.300 --> 00:04:27.300]  但是自己人偏偏不聽你說
[00:04:27.300 --> 00:04:30.900]  以西傑就要去自己人裡面
[00:04:30.900 --> 00:04:33.700]  宣講一些他不聽的訊息
[00:04:33.700 --> 00:04:36.100]  其實這個道理不難明
[00:04:36.100 --> 00:04:39.900]  很多教仔專家是教不懂自己家裡的兒子
[00:04:39.900 --> 00:04:45.100]  很多老師也沒辦法治好家裡的皇帝女
[00:04:45.500 --> 00:04:49.300]  耶穌也說先知在家鄉不受歡迎
[00:04:49.300 --> 00:04:52.100]  與其說神給了一個
[00:04:52.100 --> 00:04:55.900]  滿有張力的召命給以西傑
[00:04:55.900 --> 00:04:58.900]  我認為神更加給了一個
[00:04:58.900 --> 00:05:03.300]  他要一生和挫敗結伴的人生給他
[00:05:03.300 --> 00:05:06.100]  這是上帝對以西傑的呼召
[00:05:06.100 --> 00:05:10.500]  他一生都要面對人間捍衛失敗的事情
[00:05:10.500 --> 00:05:12.900]  這是神對他的呼召
[00:05:13.900 --> 00:05:15.900]  不過神沒有停在這裡
[00:05:15.900 --> 00:05:17.900]  不只是給了一個難題
[00:05:17.900 --> 00:05:20.100]  神給了一個秘訣給他
[00:05:20.100 --> 00:05:21.300]  如何去處理
[00:05:21.300 --> 00:05:23.100]  由二章一節起
[00:05:23.100 --> 00:05:25.100]  神一直稱他為仁慈
