
[00:00:00.000 --> 00:00:05.320]  感謝神我們透過很入心的敬拜
[00:00:05.320 --> 00:00:09.320]  讓我們再次轉目望向我們的上帝
[00:00:09.320 --> 00:00:12.360]  今天跟大家一起藉著一段
[00:00:12.360 --> 00:00:13.880]  應該大家很熟悉
[00:00:13.880 --> 00:00:17.560]  可能每年納次都會讀的經文
[00:00:17.560 --> 00:00:18.560]  《創世記》
[00:00:18.560 --> 00:00:21.560]  我們重複讀了這段經文很多次
[00:00:21.560 --> 00:00:25.560]  這段經文究竟有什麼提醒給我們呢?
[00:00:25.560 --> 00:00:29.560]  《創世記》在猶太人的聖經裡
[00:00:29.560 --> 00:00:30.920]  希伯來的聖經
[00:00:30.920 --> 00:00:34.640]  它不是叫做《創世記》
[00:00:34.640 --> 00:00:39.040]  猶太人會用他們聖經原文的第一句
[00:00:39.040 --> 00:00:43.040]  頭兩個字作為書卷的名字
[00:00:43.040 --> 00:00:44.120]  所以在猶太人裡
[00:00:44.120 --> 00:00:48.800]  這本書叫做《起初》又或者《起源》
[00:00:48.800 --> 00:00:51.840]  其實相對於《創世》這個字
[00:00:51.840 --> 00:00:56.040]  《起源》、《起初》就更加適合這本書
[00:00:56.040 --> 00:01:00.040]  因為這本書講述了很多的起源
[00:01:00.040 --> 00:01:01.720]  世界的起源
[00:01:01.720 --> 00:01:03.560]  人類的起源
[00:01:03.560 --> 00:01:05.560]  罪惡的起源
[00:01:05.560 --> 00:01:08.360]  神拯救計劃的起源
[00:01:08.360 --> 00:01:11.800]  以色列民族的起源
[00:01:11.800 --> 00:01:14.880]  在《創世記》的第一、二章裡
[00:01:14.880 --> 00:01:19.000]  我們看到神創造這個世界
[00:01:19.000 --> 00:01:22.800]  我們除了可以體會到神的偉大
[00:01:22.800 --> 00:01:25.720]  以及我們的渺小之外
[00:01:25.720 --> 00:01:27.720]  究竟這兩章的經文
[00:01:27.720 --> 00:01:31.720]  又有什麼我們值得去學呢?
[00:01:31.720 --> 00:01:35.400]  就好像剛剛在靈師之先
[00:01:35.400 --> 00:01:37.560]  帶領我們去思想的
[00:01:37.560 --> 00:01:41.920]  就是究竟神創造了一片什麼的世界
[00:01:41.920 --> 00:01:46.960]  這片世界跟我們又有什麼關係呢?
[00:01:46.960 --> 00:01:50.680]  丁子妹 今天我很想跟大家去思想
[00:01:50.680 --> 00:01:55.040]  我們面對一個又混亂又黑暗的世界
[00:01:55.040 --> 00:01:59.480]  我們要承認我們沒辦法扭轉這個局面
[00:01:59.480 --> 00:02:01.480]  不過
[00:02:01.480 --> 00:02:04.080]  我們仍然有一些的本領
[00:02:04.080 --> 00:02:08.080]  可以將上帝賜給你和我的每一天
[00:02:08.080 --> 00:02:10.800]  活得漂亮一點
[00:02:10.800 --> 00:02:13.600]  讓你身邊愛你的人
[00:02:13.600 --> 00:02:15.080]  你愛的人
[00:02:15.080 --> 00:02:18.800]  讓他們活得好一點
[00:02:18.800 --> 00:02:21.120]  今天整篇的講道
[00:02:21.120 --> 00:02:23.320]  我們會分三部分
[00:02:23.320 --> 00:02:26.120]  但我們仍然圍繞著一個訊息
[00:02:26.120 --> 00:02:27.480]  一個主題
[00:02:27.480 --> 00:02:29.640]  我很希望你聽完之後
[00:02:29.640 --> 00:02:32.880]  你仍然記得這一句話
[00:02:32.880 --> 00:02:36.920]  在你人生最閃亮的一刻
[00:02:36.920 --> 00:02:40.920]  不是你成功的那一刻
[00:02:40.920 --> 00:02:46.120]  而是你決定踏進不安的一剎
[00:02:46.120 --> 00:02:48.320]  你最閃亮的那一刻
[00:02:48.320 --> 00:02:51.120]  不是你名成利就的那一刻
