
[00:00:00.000 --> 00:00:02.000]  讓姐妹們平安
[00:00:02.000 --> 00:00:06.000]  旁邊也戴了口罩
[00:00:06.000 --> 00:00:08.000]  還有不舒服的人也不少
[00:00:08.000 --> 00:00:10.000]  多喝點水
[00:00:10.000 --> 00:00:12.000]  早點睡
[00:00:12.000 --> 00:00:18.000]  上一個禮拜我們聽了
[00:00:18.000 --> 00:00:20.000]  兒時貼記當中的訊息
[00:00:20.000 --> 00:00:22.000]  一個人
[00:00:22.000 --> 00:00:28.000]  他重提他的身份
[00:00:28.000 --> 00:00:30.000]  在當中
[00:00:30.000 --> 00:00:32.000]  一個群體的救贖
[00:00:32.000 --> 00:00:34.000]  工作的影響力
[00:00:34.000 --> 00:00:36.000]  今天的經文
[00:00:36.000 --> 00:00:38.000]  也是舊約
[00:00:38.000 --> 00:00:40.000]  都是一個人
[00:00:40.000 --> 00:00:42.000]  一群群體
[00:00:42.000 --> 00:00:44.000]  在一個地方
[00:00:44.000 --> 00:00:46.000]  一群人一起
[00:00:46.000 --> 00:00:48.000]  做點事
[00:00:48.000 --> 00:00:50.000]  在當中也像第二節
[00:00:50.000 --> 00:00:52.000]  我們也和弟兄姊妹一起
[00:00:52.000 --> 00:00:54.000]  去嘗試
[00:00:54.000 --> 00:00:56.000]  在新一里路的時候
[00:00:56.000 --> 00:00:58.000]  一群人一起
[00:00:58.000 --> 00:01:00.000]  做點事
[00:01:00.000 --> 00:01:02.000]  希望在我們生命當中
[00:01:02.000 --> 00:01:04.000]  做點新事
[00:01:04.000 --> 00:01:06.000]  或許可能
[00:01:06.000 --> 00:01:08.000]  對於你們來說
[00:01:08.000 --> 00:01:10.000]  不是完全新
[00:01:10.000 --> 00:01:12.000]  但我們相信
[00:01:12.000 --> 00:01:14.000]  我們的上帝在我們的群體當中
[00:01:14.000 --> 00:01:16.000]  常常都有一些
[00:01:16.000 --> 00:01:18.000]  給我們新的發現
[00:01:18.000 --> 00:01:20.000]  新的行動
[00:01:20.000 --> 00:01:22.000]  弟兄姊妹既然不知道
[00:01:22.000 --> 00:01:24.000]  大家過去讀的時候
[00:01:24.000 --> 00:01:26.000]  你的著眼點在哪裏
[00:01:26.000 --> 00:01:28.000]  或者在過程當中
[00:01:28.000 --> 00:01:30.000]  是否在弟兄姊妹
[00:01:30.000 --> 00:01:32.000]  這個領導的行徑
[00:01:32.000 --> 00:01:34.000]  或者一些
[00:01:34.000 --> 00:01:36.000]  在領導學當中的學習
[00:01:36.000 --> 00:01:38.000]  但我自己
[00:01:38.000 --> 00:01:40.000]  在弟兄姊妹裡面最大的感受
[00:01:40.000 --> 00:01:42.000]  就是他從一個
[00:01:42.000 --> 00:01:44.000]  他自身的出發
[00:01:44.000 --> 00:01:46.000]  去擁抱一個群體
[00:01:46.000 --> 00:01:48.000]  我再重申
[00:01:48.000 --> 00:01:50.000]  就是他從一個
[00:01:50.000 --> 00:01:52.000]  自述在弟兄姊妹
[00:01:52.000 --> 00:01:54.000]  見到的文字裏
[00:01:54.000 --> 00:01:56.000]  他自己自述他見到的事情
