
[00:00:00.000 --> 00:00:06.000]  弟兄姊妹平安 願你平安 願你的身體平安
[00:00:06.000 --> 00:00:12.000]  知道在這星期 很多福音教的弟兄姊妹都身體患病
[00:00:12.000 --> 00:00:22.000]  無論你是在家裏 房間裏 還是在臥床裏 參加崇拜
[00:00:22.000 --> 00:00:30.000]  我們在基督耶穌裏面是在一起的 以同一個聖靈來被招聚
[00:00:30.000 --> 00:00:41.000]  在戰火瀰漫的世界裏面 在一個疫情滿佈的香港
[00:00:41.000 --> 00:00:46.000]  我們今天奉主耶穌基督的名來聚會
[00:00:46.000 --> 00:00:50.000]  因此無論剛才的敬拜到現在的講道
[00:00:50.000 --> 00:00:55.000]  我們在一起是靠著上帝來一同聚集
[00:00:55.000 --> 00:01:01.000]  我們在一起來祈禱
[00:01:01.000 --> 00:01:07.000]  教會的元首基督耶穌 你是我們教會的元首
[00:01:07.000 --> 00:01:11.000]  你是我們眾流磅肢體的頭
[00:01:11.000 --> 00:01:14.000]  我們一起來去呼求你
[00:01:14.000 --> 00:01:19.000]  你是那位拯救世界的救主 黑暗中的光輝
[00:01:19.000 --> 00:01:22.000]  今天我們一同來到你面前
[00:01:22.000 --> 00:01:25.000]  我們一起來去呼求禱告
[00:01:25.000 --> 00:01:28.000]  將我們的身心獻上
[00:01:28.000 --> 00:01:31.000]  將我們的全人獻上
[00:01:31.000 --> 00:01:37.000]  我們願意來聆聽在這個年頭 這個時刻
[00:01:37.000 --> 00:01:42.000]  你對我們每一個人親自的 個別的說話
[00:01:42.000 --> 00:01:44.000]  幫助孩子 孩子不配
[00:01:44.000 --> 00:01:52.000]  但是你今天藉著網絡 將你的說話宣告給我們聽
[00:01:52.000 --> 00:01:58.000]  讓我們能夠得著 知道他怎樣走
[00:01:58.000 --> 00:02:01.000]  求神你幫助我們
[00:02:01.000 --> 00:02:04.000]  奉基督的宿命至祈求 阿門
[00:02:04.000 --> 00:02:09.000]  今天我們會看《出一及記》的第一章
[00:02:09.000 --> 00:02:13.000]  《出一及記》第一章是整卷書的序言
[00:02:13.000 --> 00:02:16.000]  第一章的出一及記是沒有摩西的
[00:02:16.000 --> 00:02:22.000]  但是如果你都發覺整個的聖經已經開始來交代
[00:02:22.000 --> 00:02:26.000]  摩西時代的社會背景 政治因素
[00:02:26.000 --> 00:02:30.000]  埃及人和以色列人之間的張力
[00:02:30.000 --> 00:02:37.000]  當時候的種種文化 經濟 基建所帶來的一些地緣政治的問題
[00:02:37.000 --> 00:02:39.000]  這個背景是重要的
[00:02:39.000 --> 00:02:41.000]  因為大家都應該一定要知道
[00:02:41.000 --> 00:02:48.000]  因為這個是作為摩西興起的一些很重要的政治背景因素
[00:02:48.000 --> 00:02:52.000]  這個是作為一個引言裏面來交代的事情
[00:02:52.000 --> 00:02:58.000]  大家都知道《出一及記》的起點是創世紀古時的幾百年後
[00:02:58.000 --> 00:03:02.000]  聖經描述 埃及有新任的法老王上場
[00:03:02.000 --> 00:03:06.000]  這個新的法老大大 千秋百世
[00:03:06.000 --> 00:03:10.000]  新人士新作風 他要將猶太人看為一個問題
[00:03:10.000 --> 00:03:15.000]  並且作為一個問題來頒佈一些新的國家的政策
[00:03:15.000 --> 00:03:17.000]  所以你看到反猶這件事
[00:03:17.000 --> 00:03:20.000]  甚至乎是全國性的反猶
[00:03:20.000 --> 00:03:22.000]  是已經有幾千年歷史
[00:03:22.000 --> 00:03:25.000]  不是單單是德國希特勒時代才有
[00:03:25.000 --> 00:03:30.000]  所以這個法老的大大在他的任期期間
[00:03:30.000 --> 00:03:35.000]  一連串的實行了幾個不同的政治的政策
[00:03:35.000 --> 00:03:37.000]  去欺壓猶太人
[00:03:37.000 --> 00:03:38.000]  今天講到很簡單
[00:03:38.000 --> 00:03:40.000]  就是我們細心去留意一下
[00:03:40.000 --> 00:03:43.000]  這個法老的幾個不同的政治政策
[00:03:43.000 --> 00:03:45.000]  在發現 《出一及記》第一章
[00:03:45.000 --> 00:03:47.000]  他講了三個階段
[00:03:47.000 --> 00:03:51.000]  三個不同的反猶政策
[00:03:51.000 --> 00:03:54.000]  我們看到這三個政策裏面
[00:03:54.000 --> 00:03:57.000]  目的就是要去解決 去認為解決問題
[00:03:57.000 --> 00:04:01.000]  並且分成三個階段來實行
[00:04:01.000 --> 00:04:04.000]  我們先看第一章第八節開始
[00:04:04.000 --> 00:04:06.000]  我們先這樣講
[00:04:06.000 --> 00:04:12.000]  他説有不認識猶太人的弱勢的薪王起來
[00:04:12.000 --> 00:04:16.000]  智利 埃及對他的百姓說
[00:04:16.000 --> 00:04:19.000]  漢南 即使列民比我們還多
[00:04:19.000 --> 00:04:21.000]  又比我們強盛
[00:04:21.000 --> 00:04:24.000]  內巴 我們不如用巧計待他們
[00:04:24.000 --> 00:04:25.000]  恐怕他們多起來
[00:04:25.000 --> 00:04:28.000]  日後若遇什麼戰爭的事
[00:04:28.000 --> 00:04:30.000]  就聯合我們的仇敵攻擊我們
[00:04:30.000 --> 00:04:32.000]  離開這地去了
[00:04:32.000 --> 00:04:35.000]  於是埃及人就派督公去管制他們
[00:04:35.000 --> 00:04:38.000]  加重彈撫害他們
[00:04:38.000 --> 00:04:40.000]  他們為法老建造兩座積火城
[00:04:40.000 --> 00:04:43.000]  就是比東和塞塞
[00:04:43.000 --> 00:04:46.000]  於是越發撫害他們
[00:04:46.000 --> 00:04:49.000]  他們就越多起來 越發蔓延
[00:04:49.000 --> 00:04:51.000]  埃及人就因以色列人受煩
[00:04:51.000 --> 00:04:54.000]  埃及人嚴嚴地使以色列人做工
[00:04:54.000 --> 00:04:57.000]  使他們因做苦工覺得命苦
[00:04:57.000 --> 00:04:59.000]  無論是和泥是做磚
[00:04:59.000 --> 00:05:02.000]  是做各田間各樣的工
[00:05:02.000 --> 00:05:06.000]  做一切的工上都嚴嚴地待他們
[00:05:06.000 --> 00:05:09.000]  我見到這個是法老大大一個
[00:05:09.000 --> 00:05:10.000]  第一個的政策階段
[00:05:10.000 --> 00:05:12.000]  第一個的措施
[00:05:12.000 --> 00:05:13.000]  第一個措施是
[00:05:13.000 --> 00:05:15.000]  首先政府立即宣佈
[00:05:15.000 --> 00:05:18.000]  即是埃及人裏面的
[00:05:18.000 --> 00:05:19.000]  即是埃及地裏面的以色列人
[00:05:19.000 --> 00:05:20.000]  要被降格
[00:05:20.000 --> 00:05:23.000]  立即成為社會上的次等人口
[00:05:23.000 --> 00:05:26.000]  他們被剝削他們的經濟自由
[00:05:26.000 --> 00:05:28.000]  立例被強迫轉型
[00:05:28.000 --> 00:05:30.000]  成為一些的苦力
[00:05:30.000 --> 00:05:31.000]  當然這個是一個
[00:05:31.000 --> 00:05:33.000]  政策上一石二鳥的一個效果
[00:05:33.000 --> 00:05:36.000]  法老是除了為了要減低
[00:05:36.000 --> 00:05:38.000]  以色列人的社會上的影響之外
[00:05:38.000 --> 00:05:41.000]  更加是要去善用他們的勞動力
[00:05:41.000 --> 00:05:43.000]  成為推動社會經濟的力量
[00:05:43.000 --> 00:05:45.000]  國家搞好一些經濟
