
[00:00:00.000 --> 00:00:02.640]  各位丁姊妹,晚安
[00:00:02.640 --> 00:00:06.600]  很開心大家能來到Fold Church的敬拜崇拜當中
[00:00:06.600 --> 00:00:09.520]  我相信有不少的海外丁姊妹
[00:00:09.520 --> 00:00:12.320]  可能是你離開以後
[00:00:12.320 --> 00:00:14.920]  你第一次復活節的崇拜
[00:00:14.920 --> 00:00:17.840]  心願復活大能的主
[00:00:17.840 --> 00:00:20.800]  在你不同的地方與你一起
[00:00:20.800 --> 00:00:23.720]  更願意復活大能的主
[00:00:23.720 --> 00:00:26.560]  的恩典和能力與香港
[00:00:26.560 --> 00:00:30.120]  那些仍然很忠心在醫護裏面
[00:00:30.120 --> 00:00:33.080]  服侍的護士醫生
[00:00:33.080 --> 00:00:36.960]  甚至各樣職能的人同在
[00:00:36.960 --> 00:00:40.200]  求恩典的主時常保護著他們
[00:00:40.200 --> 00:00:43.920]  今天我們會看比起前書的四章一至六節
[00:00:43.920 --> 00:00:48.360]  接下來的翻譯是我的翻譯
[00:00:48.360 --> 00:00:50.720]  如果你看一下第一節的話
[00:00:50.720 --> 00:00:57.640]  希望這幾節的聖經給我們一個想法和觀念
[00:00:57.640 --> 00:01:01.120]  應對我們現在面對的處境
[00:01:01.120 --> 00:01:03.600]  讓我們重新思考一下
[00:01:03.600 --> 00:01:07.480]  到底上帝的話語,祂自己的聲音
[00:01:07.480 --> 00:01:10.880]  如何跟今天,跟我們每一個人說話
[00:01:10.880 --> 00:01:14.680]  這六節聖經基本上如果你看和學本的話
[00:01:14.680 --> 00:01:17.160]  其實會引起很多的爭議
[00:01:17.160 --> 00:01:21.120]  又或者會引起很多不同的討論和想法
[00:01:21.120 --> 00:01:23.360]  但希望藉著這個翻譯
[00:01:23.360 --> 00:01:27.280]  給我們有多一點對這段經文的理解
[00:01:27.280 --> 00:01:30.320]  讓我們可以重新思考一下
[00:01:30.320 --> 00:01:33.040]  這段經文其實跟我們說的訊息
[00:01:33.040 --> 00:01:36.000]  是一個什麼訊息呢
[00:01:36.000 --> 00:01:38.640]  比起前書四章一至六節
